        sn       zhel       zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       BV     eBV    covBV_M      ml       m              mu    host      dist    edist   caltype  
  SN2001el   0.003896   0.003676   0.952   0.006   12.818   0.009   -10.9   0.0121   0.0012    1.723e-05    0.165   0.011   0.000117   10.49   10.49       10.486288   N1448   31.2757    0.055         t  
  SN2004ef   0.030967    0.02977   0.816   0.003   16.863   0.004    -9.0   0.0458   0.0046    4.988e-06     0.13   0.005    2.5e-05    10.9    10.9   10.8975354675     N/A      -1.0     -1.0      none  
  SN2004eo    0.01569   0.014737   0.818   0.005   15.113   0.007   -12.3    0.093   0.0093    1.176e-05     0.05   0.011   0.000113   11.13   11.13    11.131664945     N/A      -1.0     -1.0      none  
  SN2004ey   0.015777   0.014627    1.01   0.003   14.777   0.002    -8.9   0.1197    0.012    2.232e-06   -0.043   0.003      8e-06   10.04   10.04   10.0404512448     N/A      -1.0     -1.0      none  
  SN2004gc   0.032078   0.030713   0.923   0.023   16.758   0.063     4.6   0.1781   0.0178   -4.775e-05    0.182   0.078   0.006085   10.52   10.52   10.5173947285     N/A      -1.0     -1.0      none  
  SN2004gs   0.026627   0.028277   0.689   0.004   17.164   0.005    -3.9   0.0257   0.0026    3.039e-06    0.195   0.007      5e-05   10.78   10.78    10.784639013     N/A      -1.0     -1.0      none  
  SN2004gu   0.045827   0.046897    1.25   0.011   17.434   0.013    -0.8   0.0223   0.0022   -2.754e-05    0.154   0.016    0.00025   10.45   10.45   10.4473776733     N/A      -1.0     -1.0      none  
   SN2005A   0.019127    0.01834   0.963   0.011   18.118    0.02    -3.6   0.0259   0.0026    1.222e-05    1.001   0.025   0.000625    11.3    11.3   11.2995415307     N/A      -1.0     -1.0      none  
   SN2005M   0.021997    0.02558   1.208   0.002   15.939   0.002    -8.3   0.0273   0.0027    1.711e-06    0.032   0.003      8e-06   10.32   10.32   10.3157163725     N/A      -1.0     -1.0      none  
   SN2005W   0.008883    0.00795   0.923   0.008   14.198   0.006    -7.8   0.0615   0.0062    1.183e-05    0.164   0.008    7.2e-05   10.56   10.56   10.5577535175     N/A      -1.0     -1.0      none  
  SN2005ag    0.07937    0.08008    1.19   0.007   18.423   0.005    -1.0   0.0331   0.0033   -1.913e-05    -0.02   0.007      5e-05   11.43   11.43   11.4349360493     N/A      -1.0     -1.0      none  
  SN2005al   0.012393   0.013287   0.858   0.003   14.881   0.005    -1.0   0.0483   0.0048   -1.608e-06   -0.055   0.007      5e-05   10.73   10.73    10.730334537     N/A      -1.0     -1.0      none  
  SN2005am   0.007893   0.008967   0.725   0.003   13.685   0.004    -0.4   0.0433   0.0043   -6.263e-07    0.066   0.006    3.2e-05    11.0    11.0   10.9996781218     N/A      -1.0     -1.0      none  
  SN2005be      0.035   0.035577    0.76   0.018   16.943   0.055     6.4   0.0294   0.0029     -5.4e-05    0.029   0.067   0.004546    10.7    10.7    10.701107715     N/A      -1.0     -1.0      none  
  SN2005bg    0.02307   0.024157   1.002   0.027   15.873   0.049     2.7   0.0264   0.0026   -0.0001614    0.045   0.061    0.00377   10.25   10.25   10.2463611311     N/A      -1.0     -1.0      none  
  SN2005bl   0.024043   0.025113   0.387   0.012   18.511    0.03    -6.4    0.025   0.0025    0.0001085    0.705   0.037   0.001384    11.2    11.2    11.196731076     N/A      -1.0     -1.0      none  
  SN2005bo   0.013887   0.015013    0.85   0.007   15.669   0.005    -0.3   0.0396    0.004   -8.452e-06    0.246   0.007      5e-05   10.59   10.59   10.5857894737     N/A      -1.0     -1.0      none  
  SN2005el     0.0149   0.014883    0.84   0.004   14.886   0.007    -7.1   0.0976   0.0098    7.911e-06    -0.06    0.01    9.8e-05   10.94   10.94   10.9443259544     N/A      -1.0     -1.0      none  
  SN2005eq   0.028957    0.02835   1.125   0.011   16.312   0.007    -3.9   0.0629   0.0063   -1.342e-05    0.071    0.01    9.8e-05   10.88   10.88   10.8832348984     N/A      -1.0     -1.0      none  
  SN2005hc   0.045907   0.044497   1.193   0.006   17.319   0.004    -4.7    0.028   0.0028   -2.854e-06    0.014   0.006    3.2e-05   10.81   10.81   10.8118195051     N/A      -1.0     -1.0      none  
