sn,host,ml,m,mu,dist,edist,caltype
SN1981B,N4536,10.42,10.47,10.68,30.91,0.05,ct
SN1990N,N4639,10.07,10.14,10.24,31.53,0.07,c
SN1994ae,N3370,9.55,9.69,9.83,32.05,0.05,ct
SN1995al,N3021,9.76,9.87,9.97,32.50,0.09,ct
SN1998aq,N3982,9.86,10.02,10.1,31.74,0.07,c
SN1998bu,N3368,11.09,11.26,11.54,30.31,0.04,t
SN2001el,N1448,10.22,10.69,10.73,31.32,0.06,t
SN2002fk,N1309,9.78,9.94,10.64,32.52,0.06,ct
SN2003du,U9391,8.47,8.6,8.74,32.92,0.06,c
SN2005cf,N5917,10,10,10,32.26,0.1,c
SN2006dd,N1316,11.75,11.79,11.8,31.46,0.04,t
SN2007af,N5584,9.69,9.82,9.87,31.79,0.05,ct
SN2007sr,N4038,9.85,10.05,10.17,31.9,0.1,ct
SN2009ig,N1015,10,10,10,32.50,0.08,c
SN2011fe,M101,10,10,10,29.14,0.04,ct
SN2011by,N3972,10,10,10,31.59,0.07,c
SN2012fr,N1365,11.06,11.25,11.32,31.31,0.06,ct
SN1980N,N1316,11.75,11.79,11.8,31.46,0.04,t
SN1981D,N1316,11.75,11.79,11.8,31.46,0.04,t
SN1989B,N3627,10,10,10,31.22,0.04,t
SN1994D,N4526,10,10,10,31.00,0.07,t
SN2006mr,N1316,11.75,11.79,11.8,31.46,0.04,t
SN2012cg,N4424,10,10,10,31.00,0.06,ct
SN2007on,N1404,10.78,11.04,11.45,31.42,0.05,t    
SN2011iv,N1404,10.78,11.04,11.45,31.42,0.05,t
SN2012ht,N3347,10,10,10,31.91,0.04,c
SN2013dy,N7250,10,10,10,31.50,0.08,c
SN2015F,N2442,10,10,10,31.51,0.05,c

