sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.24,0.05,12.4,0.0226,0.0023,-5.679e-06,,,,0.455,0.011,0.0,NGC5490,34.267,0.08,9.028,0.023,0.0,0.0,11.14,11.06,11.22,N/A,N/A,0,s
PTF13ebh,0.01326,0.012484,0.632,0.004,15.083,0.023,-9.5,0.0668,0.0067,-1.362e-05,,,,0.117,0.009,0.0,NGC0890,33.296,0.081,0.0,0.0,0.0,0.0,10.86,10.809999999999999,10.91,N/A,N/A,0,s
SN1980N,0.005871,0.0055142,0.903,0.006,12.691,0.082,8.3,0.018,0.0018,3.136e-05,31.817,0.394,Ho,0.07,0.012,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN1981D,0.005871,0.0055129,0.792,0.033,12.871,0.087,6.9,0.0178,0.0018,3.485e-06,31.817,0.394,Ho,0.172,0.038,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN1996X,0.00689,0.0078918,0.918,0.013,13.471,0.15,15.4,0.0596,0.006,-6.48e-05,32.596,0.275,Ho,-0.031,0.019,0.0,NGC5061,32.26,0.19,,,,,11.057,10.971,11.143,N/A,N/A,0,s
SN2000cx,0.007929,0.0068909,0.843,0.005,13.91,0.028,-4.5,0.0698,0.007,1.167e-05,32.301,0.315,Ho,0.053,0.008,0.0,NGC0524,32.212,0.09,0.0,0.0,0.0,0.0,10.929,10.84,11.018,N/A,N/A,0,s
SN2003hv,0.005601,0.0050833,0.789,0.019,12.798,0.071,5.4,0.0133,0.0013,-4.088e-06,31.641,0.427,Ho,-0.079,0.061,0.0,NGC1201,31.347,0.074,0.0,0.0,0.0,0.0,10.565,10.504999999999999,10.625,N/A,N/A,0,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.739,0.008,-6.7,0.0179,0.0018,3.595e-06,31.815,0.394,Ho,-0.065,0.007,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN2007on,0.00649,0.0061833,0.589,0.003,13.126,0.014,-7.8,0.0098,0.001,-1.206e-05,31.998,0.004,Ho,0.115,0.012,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2008R,0.0134933,0.0128867,0.632,0.006,15.275,0.078,3.1,0.0618,0.0062,-0.0001117,,,,0.12,0.011,0.0,NGC1200,33.66,0.08,0.0,0.0,0.0,0.0,11.25,11.13,11.37,N/A,N/A,0,s
SN2008hs,0.017349,0.0166411,0.625,0.006,16.276,0.026,-7.4,0.0497,0.005,1.698e-05,,,,0.086,0.024,0.0,NGC0910,34.459,0.093,9.357,0.033,77.9,3.3,11.504,11.401,11.607,N/A,N/A,0,s
SN2008hv,0.01254,0.01358,0.867,0.004,15.278,0.011,35.9,0.0279,0.0028,2.523e-06,,,,-0.047,0.011,0.0,NGC2765,33.725,0.083,0.0,0.0,0.0,0.0,10.55,10.370000000000001,10.73,N/A,N/A,0,s
SN2008ia,0.0219833,0.02254,0.834,0.006,16.289,0.026,37.9,0.1954,0.0195,1.469e-05,,,,-0.035,0.016,0.0,ESO125-G006,34.896,0.195,0.0,0.0,0.0,0.0,10.77,10.27,11.27,N/A,N/A,0,s
SN2010Y,0.0109,0.0112644,0.66,0.006,15.287,0.023,-5.4,0.0117,0.0012,5.197e-06,,,,0.02,0.016,0.0,NGC3392,33.861,0.088,10.862,0.05,59.2,2.4,10.58,10.474,10.686,N/A,N/A,0,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.658,0.025,0.1,0.0098,0.001,-3.169e-05,32.066,0.351,Ho,0.03,0.011,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2012cg,0.001458,0.0025798,1.024,0.008,12.323,0.016,-10.0,0.0179,0.0018,4.607e-05,30.168,0.841,Ho,0.075,0.009,0.0,NGC4424,31.02,0.18,,,,,9.706,9.623,9.789,N/A,N/A,0,s
