sn,host,ml,m,mu,dist,edist,caltype
SN1981B,N4536,10.42,10.47,10.68,30.91,0.05,c
SN1990N,N4639,10.07,10.14,10.24,31.53,0.07,c
SN1994ae,N3370,9.55,9.69,9.83,32.05,0.05,c
SN1995al,N3021,9.76,9.87,9.97,32.50,0.09,c
SN1998aq,N3982,9.86,10.02,10.1,31.74,0.07,c
SN2001el,N1448,10.34,10.34,10.34,31.28,0.06,c
SN2002fk,N1309,9.78,9.94,10.64,32.52,0.06,c
SN2003du,U9391,8.47,8.6,8.74,32.92,0.06,c
SN2005cf,N5917,9.6,9.65,9.6,32.26,0.1,c
SN2007af,N5584,9.69,9.82,9.87,31.79,0.05,c
SN2007sr,N4038,9.85,10.05,10.17,31.29,0.1,c
SN2009ig,N1015,10.35,10.35,10.35,32.50,0.08,c
SN2011fe,M101,10.23,10.23,10.23,29.14,0.04,c
SN2011by,N3972,9.47,9.47,9.47,31.59,0.07,c
SN2012fr,N1365,11.06,11.25,11.32,31.31,0.06,c
SN2012cg,N4424,9.6,9.7,9.8,31.08,0.29,c
SN2012ht,N3347,8.06,8.06,8.06,31.91,0.04,c
SN2013dy,N7250,9.09,9.09,9.09,31.50,0.08,c
SN2015F,N2442,10.97,10.97,10.97,31.51,0.05,c

