sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
SN1970J,0.012549,0.0113134,0.93,0.027,14.865,0.033,-13.1,0.0689,0.0069,0.0005082,N/A,N/A,0,N/A,N/A,0.231,0.045,0.001089,11.267,11.34,11.413,NGC7619,33.341,0.081,s
SN1980N,0.005871,0.0055142,0.863,0.013,12.445,0.008,-12.8,0.018,0.0018,8.91e-06,N/A,N/A,0,N/A,N/A,0.083,0.013,6.4e-05,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN1981D,0.005871,0.0055129,0.817,0.045,12.448,0.034,-15.2,0.0178,0.0018,0.0009893,N/A,N/A,0,N/A,N/A,0.159,0.054,0.001156,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN1983G,0.003879,0.0049937,1.008,0.04,12.857,0.086,4.6,0.0278,0.0028,-0.0001712,N/A,N/A,0,N/A,N/A,0.219,0.091,0.007396,11.084,11.148,11.212,NGC4753,31.92,0.197,s
SN1992A,0.006261,0.0059396,0.786,0.008,12.539,0.006,-7.0,0.0144,0.0014,2.488e-05,N/A,N/A,0,N/A,N/A,0.039,0.007,3.6e-05,10.899,10.931,10.963,NGC1380,31.632,0.075,s
SN1992bo,0.018983,0.0182112,0.718,0.012,15.756,0.011,-7.6,0.0238,0.0024,7.487e-05,N/A,N/A,0,N/A,N/A,-0.002,0.014,0.000121,10.324,10.395,10.466,E352-057,34.27,0.15,s
SN1994D,0.002058,0.0031773,0.797,0.007,11.777,0.006,-11.7,0.0191,0.0019,2.191e-05,N/A,N/A,0,N/A,N/A,-0.051,0.008,3.6e-05,10.941,10.996,11.051,NGC4526,31.32,0.12,s
SN1995D,0.006561,0.0076747,1.041,0.042,13.282,0.026,-2.4,0.0484,0.0048,0.0004588,N/A,N/A,0,N/A,N/A,0.058,0.029,0.000676,10.527,10.597,10.666,NGC2962,32.532,0.084,s
SN1996X,0.006945,0.0079468,0.9,0.029,13.043,0.022,-3.4,0.0596,0.006,0.0002803,N/A,N/A,0,N/A,N/A,-0.026,0.026,0.000484,10.971,11.057,11.143,NGC5061,32.26,0.19,s
SN1997E,0.013539,0.013527,0.841,0.013,15.181,0.007,-3.2,0.1101,0.011,3.447e-05,N/A,N/A,0,N/A,N/A,0.081,0.01,4.9e-05,11.129,11.199,11.268,NGC2258,33.781,0.094,s
SN1998bp,0.010431,0.0101674,0.607,0.021,15.381,0.016,-1.8,0.0667,0.0067,1.525e-05,N/A,N/A,0,N/A,N/A,0.307,0.021,0.000256,10.392,10.462,10.531,NGC6495,33.1,0.15,s
SN2000cx,0.008016,0.0069779,0.853,0.005,13.107,0.005,-9.1,0.0698,0.007,1.272e-05,N/A,N/A,0,N/A,N/A,0.062,0.007,2.5e-05,10.839,10.929,11.019,NGC0524,32.21,0.09,s
SN2003hv,0.005624,0.0051063,0.791,0.02,12.44,0.05,1.8,0.0133,0.0013,-1.413e-05,N/A,N/A,0,N/A,N/A,-0.089,0.062,0.0025,10.501,10.565,10.629,NGC1201,31.347,0.074,s
SN2006dd,0.005871,0.0055129,0.96,0.003,12.266,0.006,-10.6,0.0179,0.0018,7.029e-06,N/A,N/A,0,N/A,N/A,-0.039,0.008,3.6e-05,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN2007on,0.006494,0.0061833,0.583,0.003,13.047,0.006,-9.1,0.0098,0.001,5.52e-06,N/A,N/A,0,N/A,N/A,0.118,0.008,3.6e-05,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2008Q,0.008016,0.0069785,0.781,0.019,13.462,0.012,-9.5,0.0716,0.0072,0.0001403,N/A,N/A,0,N/A,N/A,-0.04,0.016,0.000144,10.839,10.929,11.019,NGC524,31.922,0.212,s
SN2011iv,0.006494,0.0061867,0.698,0.009,12.468,0.007,-3.4,0.0098,0.001,2.503e-05,N/A,N/A,0,N/A,N/A,0.049,0.01,4.9e-05,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2012cg,0.001458,0.0025798,1.047,0.015,12.078,0.009,-15.8,0.0179,0.0018,8.24e-05,N/A,N/A,0,N/A,N/A,0.161,0.011,8.1e-05,9.623,9.706,9.789,NGC4424,31.02,0.18,s
SN2014bv,0.005594,0.0057398,0.622,0.015,14.006,0.018,-0.2,0.0331,0.0033,-9.386e-05,N/A,N/A,0,N/A,N/A,0.212,0.022,0.000324,10.416,10.48,10.544,NGC4386,32.427,0.08,s
SN2015bp,0.004069,0.0047083,0.697,0.012,13.709,0.013,-11.4,0.0454,0.0045,8.099e-05,N/A,N/A,0,N/A,N/A,0.039,0.019,0.000169,9.841,9.979,10.116,NGC5839,32.369,0.078,s
