sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.223,0.007,-9.3,0.0226,0.0023,9.88e-06,,,,0.455,0.011,0.0,NGC5490,34.267,0.08,9.028,0.023,0.0,0.0,11.14,11.06,11.22,N/A,N/A,0,s
PTF13ebh,0.01326,0.012484,0.632,0.004,14.915,0.008,-14.8,0.0668,0.0067,5.134e-06,,,,0.117,0.009,0.0,NGC0890,33.296,0.081,0.0,0.0,0.0,0.0,10.86,10.809999999999999,10.91,N/A,N/A,0,s
SN1980N,0.005871,0.0055142,0.903,0.006,12.423,0.017,-2.8,0.018,0.0018,1.097e-05,31.817,0.394,Ho,0.07,0.012,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN1983G,0.00206,0.0031747,0.901,0.049,12.704,0.098,5.7,0.0278,0.0028,-0.0002932,30.619,0.684,Ho,0.213,0.077,0.0,NGC4753,31.92,0.197,,,,,11.148,11.084,11.212,N/A,N/A,0,s
SN1992bo,0.01851,0.0177382,0.734,0.006,15.826,0.009,-9.3,0.0238,0.0024,1.03e-05,34.355,0.122,Ho,-0.003,0.012,0.0,E352-057,34.27,0.15,,,,,10.395,10.324,10.466,N/A,N/A,0,s
SN1994D,0.00149,0.0026093,0.824,0.005,11.943,0.006,-14.8,0.0191,0.0019,9.897e-06,30.193,0.832,Ho,-0.047,0.009,0.0,NGC4526,31.32,0.12,,,,,10.996,10.941,11.051,N/A,N/A,0,s
SN1995D,0.006561,0.0076747,1.175,0.009,13.37,0.008,-7.7,0.0484,0.0048,3.336e-05,32.535,0.283,Ho,-0.053,0.01,0.0,NGC2962,32.532,0.084,0.0,0.0,0.0,0.0,10.597,10.527999999999999,10.666,N/A,N/A,0,s
SN1996X,0.00689,0.0078918,0.918,0.013,13.113,0.014,-4.7,0.0596,0.006,4.013e-05,32.596,0.275,Ho,-0.031,0.019,0.0,NGC5061,32.26,0.19,,,,,11.057,10.971,11.143,N/A,N/A,0,s
SN1997E,0.01354,0.013528,0.836,0.011,15.117,0.008,-4.5,0.1101,0.011,2.321e-05,33.766,0.16,Ho,0.046,0.01,0.0,NGC2258,33.781,0.094,0.0,0.0,0.0,0.0,11.199,11.129999999999999,11.268,N/A,N/A,0,s
SN1998bp,0.01043,0.0101664,0.563,0.012,14.999,0.013,-4.1,0.0667,0.0067,6.342e-05,33.146,0.213,Ho,0.263,0.016,0.0,NGC6495,33.1,0.15,,,,,10.462,10.392,10.531,N/A,N/A,0,s
SN1999ej,0.01372,0.0127757,0.779,0.023,15.432,0.006,-4.1,0.0605,0.006,6.506e-06,,,,0.017,0.007,0.0,NGC0495,34.049,0.081,10.116,0.036,64.5,2.4,10.99,10.897,11.083,N/A,N/A,0,s
SN2000cx,0.007929,0.0068909,0.843,0.005,13.254,0.007,-10.2,0.0698,0.007,8.526e-06,32.301,0.315,Ho,0.053,0.008,0.0,NGC0524,32.212,0.09,0.0,0.0,0.0,0.0,10.929,10.84,11.018,N/A,N/A,0,s
SN2002cs,0.01577,0.0153173,1.236,0.016,15.13,0.014,-12.2,0.0878,0.0088,7.288e-05,,,,0.047,0.016,0.0,NGC6702,33.992,0.087,9.302,0.027,62.9,2.5,11.324,11.229,11.419,N/A,N/A,0,s
