sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
SN1970J,0.0132,0.0119644,0.95,0.054,14.808,0.067,-14.0,0.0689,0.0069,0.002535,N/A,N/A,0,9,9,0.18,0.104,0.004489,11.267,11.34,11.413,NGC7619,33.341,0.081,s
SN1980N,0.005871,0.0055142,0.903,0.006,12.458,0.009,-1.5,0.018,0.0018,4.425e-06,N/A,N/A,0,9,9,0.07,0.012,8.1e-05,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN1981D,0.005871,0.0055129,0.792,0.033,12.551,0.034,-5.4,0.0178,0.0018,0.0001706,N/A,N/A,0,9,9,0.172,0.038,0.001156,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN1983G,0.00206,0.0031747,0.901,0.049,12.902,0.074,2.7,0.0278,0.0028,-1.557e-05,N/A,N/A,0,9,9,0.213,0.077,0.005476,11.084,11.148,11.212,NGC4753,31.92,0.197,s
SN1992A,0.006261,0.0059396,0.786,0.008,12.539,0.006,-7.0,0.0144,0.0014,2.488e-05,N/A,N/A,0,9,9,0.039,0.007,3.6e-05,10.899,10.931,10.963,NGC1380,31.632,0.075,s
SN1992bo,0.01851,0.0177382,0.734,0.006,15.791,0.009,-7.9,0.0238,0.0024,2.896e-05,N/A,N/A,0,9,9,-0.003,0.012,8.1e-05,10.324,10.395,10.466,E352-057,34.27,0.15,s
SN1994D,0.00149,0.0026093,0.824,0.005,11.84,0.006,-11.6,0.0191,0.0019,1.055e-05,N/A,N/A,0,9,9,-0.047,0.009,3.6e-05,10.941,10.996,11.051,NGC4526,31.32,0.12,s
SN1995D,0.006561,0.0076747,1.175,0.009,13.267,0.008,-2.2,0.0484,0.0048,-1.534e-05,N/A,N/A,0,9,9,-0.053,0.01,6.4e-05,10.527,10.597,10.666,NGC2962,32.532,0.084,s
SN1996X,0.00689,0.0078918,0.918,0.013,13.077,0.016,-3.4,0.0596,0.006,6.341e-05,N/A,N/A,0,9,9,-0.031,0.019,0.000256,10.971,11.057,11.143,NGC5061,32.26,0.19,s
SN1997E,0.01354,0.013528,0.836,0.011,15.194,0.007,-3.3,0.1101,0.011,2.951e-05,N/A,N/A,0,9,9,0.046,0.01,4.9e-05,11.129,11.199,11.268,NGC2258,33.781,0.094,s
SN1998bp,0.01043,0.0101664,0.563,0.012,15.384,0.012,-1.9,0.0667,0.0067,9.189e-06,N/A,N/A,0,9,9,0.263,0.016,0.000144,10.392,10.462,10.531,NGC6495,33.1,0.15,s
SN2000cx,0.007929,0.0068909,0.843,0.005,13.122,0.006,-9.0,0.0698,0.007,1.128e-05,N/A,N/A,0,9,9,0.053,0.008,3.6e-05,10.839,10.929,11.019,NGC524,31.922,0.212,s
SN2003hv,0.005601,0.0050833,0.789,0.019,12.449,0.049,1.8,0.0133,0.0013,-1.044e-05,N/A,N/A,0,9,9,-0.079,0.061,0.002401,10.501,10.565,10.629,NGC1201,31.347,0.074,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.245,0.005,-10.6,0.0179,0.0018,4.918e-06,N/A,N/A,0,9,9,-0.065,0.007,2.5e-05,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN2007on,0.00649,0.0061833,0.589,0.003,13.032,0.009,-8.4,0.0098,0.001,6.431e-06,N/A,N/A,0,9,9,0.115,0.012,8.1e-05,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2008Q,0.007935,0.0068975,0.789,0.02,13.469,0.012,-6.6,0.0716,0.0072,0.0001272,N/A,N/A,0,9,9,-0.041,0.016,0.000144,10.839,10.929,11.019,NGC524,31.922,0.212,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.463,0.008,-3.4,0.0098,0.001,1.166e-05,N/A,N/A,0,9,9,0.03,0.011,6.4e-05,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2012cg,0.001458,0.0025798,1.024,0.008,12.002,0.008,-17.5,0.0179,0.0018,3.188e-05,N/A,N/A,0,9,9,0.075,0.009,6.4e-05,9.623,9.706,9.789,NGC4424,31.02,0.18,s
SN2014bv,0.005594,0.0057398,0.622,0.015,14.006,0.018,-0.2,0.0331,0.0033,-9.386e-05,N/A,N/A,0,9,9,0.212,0.022,0.000324,10.416,10.48,10.544,NGC4386,32.427,0.08,s
SN2015bp,0.004069,0.0047083,0.71,0.007,13.779,0.01,-5.2,0.0454,0.0045,3.304e-05,N/A,N/A,0,9,9,0.083,0.013,0.0001,9.841,9.979,10.116,NGC5839,32.369,0.078,s
SN2016coj,0.004483,0.0048465,0.811,0.008,13.101,0.009,-11.5,0.0163,0.0016,3.193e-05,N/A,N/A,0,9,9,0.0,0.013,8.1e-05,11.019,11.083,11.147,NGC4125,31.922,0.258,s
SN2017fgc,0.007722,0.0066745,1.171,0.012,14.02,0.014,-13.3,0.0294,0.0029,-5.612e-06,N/A,N/A,0,9,9,0.376,0.017,0.000196,10.507,10.568,10.629,NGC0474,32.536,0.133,s
SN2018aoz,0.005801,0.006934,0.855,0.008,12.511,0.008,-11.9,0.0721,0.0072,3.635e-05,N/A,N/A,0,9,9,-0.222,0.01,6.4e-05,11.139,11.204,11.269,NGC3923,31.795,0.101,s
SN2020ue,0.003129,0.0042534,0.714,0.011,11.983,0.01,-9.6,0.0241,0.0024,6.045e-05,N/A,N/A,0,9,9,-0.089,0.013,0.0001,10.742,10.803,10.864,NGC4636,30.83,0.13,s
