sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
SN1970J,0.0132,0.0119644,0.95,0.054,14.628,0.079,-9.1,0.0689,0.0069,0.002351,N/A,N/A,0,9,9,0.18,0.104,-0.006241,11.267,11.34,11.413,NGC7619,33.582,0.151,s
SN1980N,0.005871,0.0055142,0.903,0.006,12.388,0.008,-2.9,0.018,0.0018,-5.356e-07,N/A,N/A,0,9,9,0.07,0.012,-6.4e-05,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN1981D,0.005871,0.0055129,0.792,0.033,12.379,0.018,-6.7,0.0178,0.0018,0.0001347,N/A,N/A,0,9,9,0.172,0.038,-0.000324,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN1983G,0.00206,0.0031747,0.901,0.049,12.689,0.022,-3.9,0.0278,0.0028,-5.061e-05,N/A,N/A,0,9,9,0.213,0.077,-0.000484,11.084,11.148,11.212,NGC4753,31.92,0.197,s
SN1992A,0.006261,0.0059396,0.786,0.008,12.5,0.004,-8.2,0.0144,0.0014,1.684e-05,N/A,N/A,0,9,9,0.039,0.007,-1.6e-05,10.899,10.931,10.963,NGC1380,31.632,0.075,s
SN1992bo,0.01851,0.0177382,0.734,0.006,15.794,0.008,-9.1,0.0238,0.0024,1.669e-05,N/A,N/A,0,9,9,-0.003,0.012,-6.4e-05,10.324,10.395,10.466,E352-057,34.27,0.15,s
SN1994D,0.00149,0.0026093,0.824,0.005,11.887,0.007,-12.9,0.0191,0.0019,1.549e-05,N/A,N/A,0,9,9,-0.047,0.009,-4.9e-05,10.941,10.996,11.051,NGC4526,31.32,0.12,s
SN1995D,0.006561,0.0076747,1.175,0.009,13.32,0.006,-9.9,0.0484,0.0048,9.209e-06,N/A,N/A,0,9,9,-0.053,0.01,-3.6e-05,10.527,10.597,10.666,NGC2962,32.6,0.15,s
SN1996X,0.00689,0.0078918,0.918,0.013,13.108,0.01,-6.1,0.0596,0.006,4.419e-05,N/A,N/A,0,9,9,-0.031,0.019,-0.0001,10.971,11.057,11.143,NGC5061,32.26,0.19,s
SN1997E,0.01354,0.013528,0.836,0.011,15.148,0.007,-4.7,0.1101,0.011,4.278e-05,N/A,N/A,0,9,9,0.046,0.01,-4.9e-05,11.129,11.199,11.268,NGC2258,33.5,0.15,s
SN1998bp,0.01043,0.0101664,0.563,0.012,15.121,0.01,-3.1,0.0667,0.0067,4.135e-05,N/A,N/A,0,9,9,0.263,0.016,-0.0001,10.392,10.462,10.531,NGC6495,33.1,0.15,s
SN2000cx,0.007929,0.0068909,0.843,0.005,13.069,0.006,-10.4,0.0698,0.007,9.673e-06,N/A,N/A,0,9,9,0.053,0.008,-3.6e-05,10.839,10.929,11.019,NGC0524,31.92,0.21,s
SN2003hv,0.005601,0.0050833,0.789,0.019,12.528,0.036,0.5,0.0133,0.0013,-8.536e-06,N/A,N/A,0,9,9,-0.079,0.061,-0.001296,10.501,10.565,10.629,NGC1201,31.566,0.304,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.31,0.005,-14.3,0.0179,0.0018,6.264e-06,N/A,N/A,0,9,9,-0.065,0.007,-2.5e-05,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN2007on,0.00649,0.0061833,0.589,0.003,12.917,0.008,-9.6,0.0098,0.001,4.708e-06,N/A,N/A,0,9,9,0.115,0.012,-6.4e-05,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2008Q,0.007935,0.0068975,0.789,0.02,13.51,0.01,-7.8,0.0716,0.0072,8.224e-05,N/A,N/A,0,9,9,-0.041,0.016,-0.0001,10.839,10.929,11.019,NGC524,31.922,0.212,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.433,0.007,-4.5,0.0098,0.001,1.473e-05,N/A,N/A,0,9,9,0.03,0.011,-4.9e-05,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2012cg,0.001458,0.0025798,1.024,0.008,11.927,0.005,-18.7,0.0179,0.0018,5.628e-06,N/A,N/A,0,9,9,0.075,0.009,-2.5e-05,9.623,9.706,9.789,NGC4424,31.02,0.18,s
SN2014bv,0.005594,0.0057398,0.622,0.015,13.794,0.013,-1.4,0.0331,0.0033,1.03e-06,N/A,N/A,0,9,9,0.212,0.022,-0.000169,10.416,10.48,10.544,NGC4386,32.19,0.494,s
SN2015bp,0.004069,0.0047083,0.71,0.007,13.696,0.008,-12.9,0.0454,0.0045,2.138e-05,N/A,N/A,0,9,9,0.083,0.013,-6.4e-05,9.841,9.979,10.116,NGC5839,31.737,0.315,s
SN2016coj,0.004483,0.0048465,0.811,0.008,13.101,0.009,-12.8,0.0163,0.0016,3.716e-05,N/A,N/A,0,9,9,0.0,0.013,-8.1e-05,11.019,11.083,11.147,NGC4125,31.922,0.258,s
SN2017fgc,0.007722,0.0066745,1.171,0.012,13.644,0.009,-14.4,0.0294,0.0029,4.941e-05,N/A,N/A,0,9,9,0.376,0.017,-8.1e-05,10.507,10.568,10.629,NGC0474,32.536,0.133,s
SN2018aoz,0.005801,0.006934,0.855,0.008,12.608,0.007,-13.1,0.0721,0.0072,2.54e-05,N/A,N/A,0,9,9,-0.222,0.01,-3.6e-05,11.139,11.204,11.269,NGC3923,31.795,0.101,s
