sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
SN1980N,0.005871,0.0055142,0.903,0.006,12.982,0.024,1.5,0.018,0.0018,-1.051e-06,N/A,N/A,0,9,9,0.07,0.012,0.0,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN1983G,0.00206,0.0031747,0.901,0.049,12.766,0.197,10.0,0.0278,0.0028,0.0002057,N/A,N/A,0,9,9,0.213,0.077,0.0,11.084,11.148,11.212,NGC4753,31.92,0.197,s
SN1992bo,0.01851,0.0177382,0.734,0.006,16.332,0.012,-5.6,0.0238,0.0024,1.222e-05,N/A,N/A,0,9,9,-0.003,0.012,0.0,10.324,10.395,10.466,E352-057,34.27,0.15,s
SN1994D,0.00149,0.0026093,0.824,0.005,12.517,0.01,-7.1,0.0191,0.0019,1.321e-05,N/A,N/A,0,9,9,-0.047,0.009,0.0,10.941,10.996,11.051,NGC4526,31.32,0.12,s
SN1995D,0.006561,0.0076747,1.175,0.009,13.965,0.01,0.7,0.0484,0.0048,3.809e-05,N/A,N/A,0,9,9,-0.053,0.01,0.0,10.527,10.597,10.666,NGC2962,32.6,0.15,s
SN1996X,0.00689,0.0078918,0.918,0.013,13.704,0.023,-0.2,0.0596,0.006,-2.954e-06,N/A,N/A,0,9,9,-0.031,0.019,0.0,10.971,11.057,11.143,NGC5061,32.26,0.19,s
SN1997E,0.01354,0.013528,0.836,0.011,15.635,0.013,0.1,0.1101,0.011,-1.374e-05,N/A,N/A,0,9,9,0.046,0.01,0.0,11.129,11.199,11.268,NGC2258,33.5,0.15,s
SN1998bp,0.01043,0.0101664,0.563,0.012,15.395,0.017,-1.0,0.0667,0.0067,1.561e-05,N/A,N/A,0,9,9,0.263,0.016,0.0,10.392,10.462,10.531,NGC6495,33.1,0.15,s
SN2000cx,0.007929,0.0068909,0.843,0.005,13.988,0.012,-6.3,0.0698,0.007,1.121e-05,N/A,N/A,0,9,9,0.053,0.008,0.0,10.839,10.929,11.019,NGC0524,31.92,0.21,s
SN2003hv,0.005601,0.0050833,0.789,0.019,13.118,0.061,4.2,0.0133,0.0013,-5.358e-06,N/A,N/A,0,9,9,-0.079,0.061,0.0,10.501,10.565,10.629,NGC1201,31.566,0.304,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.889,0.008,-7.3,0.0179,0.0018,2.813e-06,N/A,N/A,0,9,9,-0.065,0.007,0.0,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN2007on,0.00649,0.0061833,0.589,0.003,13.387,0.022,-7.3,0.0098,0.001,-2.419e-06,N/A,N/A,0,9,9,0.115,0.012,0.0,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2008Q,0.007935,0.0068975,0.789,0.02,14.047,0.018,-2.1,0.0716,0.0072,8.175e-05,N/A,N/A,0,9,9,-0.041,0.016,0.0,10.839,10.929,11.019,NGC524,31.922,0.212,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.825,0.014,-1.5,0.0098,0.001,-1.565e-05,N/A,N/A,0,9,9,0.03,0.011,0.0,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2012cg,0.001458,0.0025798,1.024,0.008,12.449,0.012,-13.0,0.0179,0.0018,5.844e-06,N/A,N/A,0,9,9,0.075,0.009,0.0,9.623,9.706,9.789,NGC4424,31.02,0.18,s
SN2015bp,0.004069,0.0047083,0.71,0.007,14.195,0.014,-3.2,0.0454,0.0045,-2.129e-05,N/A,N/A,0,9,9,0.083,0.013,0.0,9.841,9.979,10.116,NGC5839,31.737,0.315,s
SN2016coj,0.004483,0.0048465,0.811,0.008,13.741,0.014,-9.0,0.0163,0.0016,2.064e-05,N/A,N/A,0,9,9,0.0,0.013,0.0,11.019,11.083,11.147,NGC4125,31.922,0.258,s
SN2017fgc,0.007722,0.0066745,1.171,0.012,14.187,0.016,-10.4,0.0294,0.0029,5.3e-05,N/A,N/A,0,9,9,0.376,0.017,0.0,10.507,10.568,10.629,NGC0474,32.536,0.133,s
SN2018aoz,0.005801,0.006934,0.87,0.004,13.423,0.011,-1.5,0.0721,0.0072,2.127e-05,N/A,N/A,0,9,9,0.01,0.01,0.0,11.139,11.204,11.269,NGC3923,31.795,0.101,s
