sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
SN1970J,0.0132,0.0119644,0.95,0.054,14.742,0.091,0.1,0.0689,0.0069,0.001199,N/A,N/A,0,9,9,0.18,0.104,0.0,11.267,11.34,11.413,NGC7619,33.341,0.081,s
SN1983G,0.00206,0.0031747,0.901,0.049,13.632,0.127,4.5,0.0278,0.0028,-0.0001563,N/A,N/A,0,9,9,0.213,0.077,0.0,11.084,11.148,11.212,NGC4753,31.92,0.197,s
SN1994D,0.00149,0.0026093,0.824,0.005,11.848,0.021,-7.0,0.0191,0.0019,1.322e-05,N/A,N/A,0,9,9,-0.047,0.009,0.0,10.941,10.996,11.051,NGC4526,31.32,0.12,s
SN1996X,0.00689,0.0078918,0.918,0.013,13.274,0.04,-1.9,0.0596,0.006,1.428e-05,N/A,N/A,0,9,9,-0.031,0.019,0.0,10.971,11.057,11.143,NGC5061,32.26,0.19,s
SN1997E,0.01354,0.013528,0.836,0.011,15.617,0.015,-1.0,0.1101,0.011,6.351e-06,N/A,N/A,0,9,9,0.046,0.01,0.0,11.129,11.199,11.268,NGC2258,33.781,0.094,s
SN1998bp,0.01043,0.0101664,0.563,0.012,16.098,0.025,-0.3,0.0667,0.0067,-2.644e-05,N/A,N/A,0,9,9,0.263,0.016,0.0,10.392,10.462,10.531,NGC6495,33.1,0.15,s
SN2000cx,0.007929,0.0068909,0.843,0.005,13.644,0.025,-5.5,0.0698,0.007,2.639e-06,N/A,N/A,0,9,9,0.053,0.008,0.0,10.839,10.929,11.019,NGC524,31.922,0.212,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.882,0.356,63.3,0.0179,0.0018,8.221e-06,N/A,N/A,0,9,9,-0.065,0.007,0.0,11.482,11.514,11.546,NGC1316,31.59,0.05,s
SN2007on,0.00649,0.0061833,0.589,0.003,13.627,0.012,-6.9,0.0098,0.001,6.751e-07,N/A,N/A,0,9,9,0.115,0.012,0.0,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.908,0.009,-1.8,0.0098,0.001,-1.586e-06,N/A,N/A,0,9,9,0.03,0.011,0.0,10.897,10.932,10.967,NGC1404,31.526,0.072,s
SN2012cg,0.001458,0.0025798,1.024,0.008,12.376,0.015,-13.0,0.0179,0.0018,4.653e-05,N/A,N/A,0,9,9,0.075,0.009,0.0,9.623,9.706,9.789,NGC4424,31.02,0.18,s
SN2015bp,0.004069,0.0047083,0.71,0.007,14.139,0.017,-3.6,0.0454,0.0045,1.999e-05,N/A,N/A,0,9,9,0.083,0.013,0.0,9.841,9.979,10.116,NGC5839,32.369,0.078,s
