sn,host,ml,m,mu,dist,edist,caltype
SN1980N,N1316,11.75,11.79,11.8,31.465,0.04,t
SN1981B,N4536,10.42,10.47,10.68,30.969,0.05,ct
SN1981D,N1316,11.75,11.79,11.8,31.465,0.04,t
SN1994ae,N3370,9.55,9.69,9.83,32.278,0.05,ct
SN1995al,N3021,9.76,9.87,9.97,32.226,0.04,ct
SN1998bu,N3368,11.09,11.26,11.54,30.318,0.04,t
SN2001el,N1448,10.22,10.69,10.73,31.325,0.06,t
SN2002fk,N1309,9.78,9.94,10.64,32.504,0.07,ct
SN2006dd,N1316,11.75,11.79,11.8,31.465,0.04,t
SN2007af,N5584,9.69,9.82,9.87,31.827,0.1,ct
SN2007sr,N4038,9.85,10.05,10.17,31.686,0.05,ct
SN2011fe,M101,10.23,10.23,10.23,29.083,0.04,ct
SN2012fr,N1365,11.06,11.25,11.32,31.365,0.06,ct
SN1989B,N3627,11.02,11.02,11.02,30.226,0.04,t
SN1994D,N4526,11.05,11.0,11.0,31.003,0.07,t
SN2012cg,N4424,9.6,9.7,9.8,31.005,0.06,ct
SN2011iv,N1404,10.78,11.04,11.45,31.36,0.06,t
SN2017cbv,N5643,9.85,9.99,10.12,30.48,0.08,t
SN2013aa,N5643,9.85,9.99,10.12,30.48,0.08,t
