sn,host,ml,m,mu,dist,edist,caltype
SN1980N,N1316,11.75,11.79,11.8,31.46,0.04,t
SN1981B,N4536,10.42,10.47,10.68,30.96,0.05,ct
SN1981D,N1316,11.75,11.79,11.8,31.46,0.04,t
SN1994ae,N3370,9.55,9.69,9.83,32.27,0.05,ct
SN1995al,N3021,9.76,9.87,9.97,32.22,0.04,ct
SN1998bu,N3368,11.09,11.26,11.54,30.31,0.04,t
SN2001el,N1448,10.22,10.69,10.73,31.32,0.06,t
SN2002fk,N1309,9.78,9.94,10.64,32.50,0.07,ct
SN2006dd,N1316,11.75,11.79,11.8,31.46,0.04,t
SN2007af,N5584,9.69,9.82,9.87,31.82,0.1,ct
SN2007sr,N4038,9.85,10.05,10.17,31.68,0.05,ct
SN2011fe,M101,10.23,10.23,10.23,29.08,0.04,ct
SN2012fr,N1365,11.06,11.25,11.32,31.36,0.06,ct
SN1989B,N3627,11.02,11.02,11.02,30.22,0.04,t
SN1994D,N4526,11.05,11.0,11.0,31.00,0.07,t
SN2012cg,N4424,9.6,9.7,9.8,31.00,0.06,ct
SN2011iv,N1404,10.78,11.04,11.45,31.42,0.06,t
SN2007on,N1404,10.78,11.04,11.45,31.42,0.06,t
