sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
CSP15aae,0.0161833,0.0169733,0.505,0.005,17.94,0.015,-5.1,0.0226,0.0023,2.369e-06,,,,0.455,0.011,0.0,NGC5490,34.267,0.08,9.028,0.023,0.0,0.0,11.14,11.06,11.22,N/A,N/A,0,s
PTF13ebh,0.01326,0.012484,0.632,0.004,15.723,0.01,-11.5,0.0668,0.0067,2.291e-06,,,,0.117,0.009,0.0,NGC0890,33.296,0.081,0.0,0.0,0.0,0.0,10.86,10.809999999999999,10.91,N/A,N/A,0,s
SN1970J,0.0132,0.0119644,0.95,0.054,14.742,0.091,0.1,0.0689,0.0069,0.001199,33.499,0.181,Ho,0.18,0.104,0.0,NGC7619,33.341,0.081,0.0,0.0,0.0,0.0,11.34,11.267,11.413,N/A,N/A,0,s
SN1983G,0.00206,0.0031747,0.901,0.049,13.632,0.127,4.5,0.0278,0.0028,-0.0001563,30.619,0.684,Ho,0.213,0.077,0.0,NGC4753,31.92,0.197,,,,,11.148,11.084,11.212,N/A,N/A,0,s
SN1994D,0.00149,0.0026093,0.824,0.005,11.848,0.021,-7.0,0.0191,0.0019,1.322e-05,30.193,0.832,Ho,-0.047,0.009,0.0,NGC4526,31.32,0.12,,,,,10.996,10.941,11.051,N/A,N/A,0,s
SN1996X,0.00689,0.0078918,0.918,0.013,13.274,0.04,-1.9,0.0596,0.006,1.428e-05,32.596,0.275,Ho,-0.031,0.019,0.0,NGC5061,32.26,0.19,,,,,11.057,10.971,11.143,N/A,N/A,0,s
SN1997E,0.01354,0.013528,0.836,0.011,15.617,0.015,-1.0,0.1101,0.011,6.351e-06,33.766,0.16,Ho,0.046,0.01,0.0,NGC2258,33.781,0.094,0.0,0.0,0.0,0.0,11.199,11.129999999999999,11.268,N/A,N/A,0,s
SN1998bp,0.01043,0.0101664,0.563,0.012,16.098,0.025,-0.3,0.0667,0.0067,-2.644e-05,33.146,0.213,Ho,0.263,0.016,0.0,NGC6495,33.1,0.15,,,,,10.462,10.392,10.531,N/A,N/A,0,s
SN2000cx,0.007929,0.0068909,0.843,0.005,13.644,0.025,-5.5,0.0698,0.007,2.639e-06,32.301,0.315,Ho,0.053,0.008,0.0,NGC0524,32.212,0.09,0.0,0.0,0.0,0.0,10.929,10.84,11.018,N/A,N/A,0,s
SN2006dd,0.005867,0.0055089,0.951,0.003,12.882,0.356,63.3,0.0179,0.0018,8.221e-06,31.815,0.394,Ho,-0.065,0.007,0.0,NGC1316,31.59,0.05,,,,,11.514,11.482,11.546,N/A,N/A,0,s
SN2006ef,0.01787,0.0170267,0.858,0.02,15.835,0.097,11.6,0.0201,0.002,-4.779e-05,,,,-0.024,0.081,0.0,NGC0809,34.376,0.109,0.0,0.0,0.0,0.0,10.35,10.17,10.53,N/A,N/A,0,s
SN2007on,0.00649,0.0061833,0.589,0.003,13.627,0.012,-6.9,0.0098,0.001,6.751e-07,31.998,0.004,Ho,0.115,0.012,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2008R,0.0134933,0.0128867,0.632,0.006,15.867,0.013,0.2,0.0618,0.0062,-1.178e-05,,,,0.12,0.011,0.0,NGC1200,33.66,0.08,0.0,0.0,0.0,0.0,11.25,11.13,11.37,N/A,N/A,0,s
SN2008hv,0.01254,0.01358,0.867,0.004,15.082,0.012,-9.1,0.0279,0.0028,5.428e-06,,,,-0.047,0.011,0.0,NGC2765,33.725,0.083,0.0,0.0,0.0,0.0,10.55,10.370000000000001,10.73,N/A,N/A,0,s
SN2008ia,0.0219833,0.02254,0.834,0.006,16.382,0.017,-2.2,0.1954,0.0195,8.494e-07,,,,-0.035,0.016,0.0,ESO125-G006,34.896,0.195,0.0,0.0,0.0,0.0,10.77,10.27,11.27,N/A,N/A,0,s
SN2010Y,0.0109,0.0112644,0.66,0.006,15.497,0.057,-5.0,0.0117,0.0012,2.74e-05,,,,0.02,0.016,0.0,NGC3392,33.861,0.088,10.862,0.05,59.2,2.4,10.58,10.474,10.686,N/A,N/A,0,s
SN2011iv,0.00649,0.0061827,0.701,0.007,12.908,0.009,-1.8,0.0098,0.001,-1.586e-06,32.066,0.351,Ho,0.03,0.011,0.0,NGC1404,31.526,0.072,,,,,10.932,10.897,10.967,N/A,N/A,0,s
SN2012cg,0.001458,0.0025798,1.024,0.008,12.376,0.015,-13.0,0.0179,0.0018,4.653e-05,30.168,0.841,Ho,0.075,0.009,0.0,NGC4424,31.02,0.18,,,,,9.706,9.623,9.789,N/A,N/A,0,s
SN2015bp,0.004069,0.0047083,0.71,0.007,14.139,0.017,-3.6,0.0454,0.0045,1.999e-05,31.474,0.461,Ho,0.083,0.013,0.0,NGC5839,32.369,0.078,0.0,0.0,0.0,0.0,9.979,9.841999999999999,10.116,N/A,N/A,0,s
