gal,sn,mu,emu
IC 2597,SN2007cv,33.673,0.082
NGC 4036,SN2007gi,31.776,0.078
NGC 0809,SN2006ef,34.376,0.109
NGC 0890,PTF13ebh,33.296,0.081
NGC 0495,SN1999ej,34.049,0.081
NGC 2765,ASASSN-13dd,33.725,0.083
NGC 1278,SN2016ajf,34.202,0.106
NGC 6964,SN2002ha,33.685,0.096
NGC 5490,SN1997cn,34.267,0.080
NGC 3158,SN2018aaz,34.806,0.099
NGC 6702,SN2002cs,33.992,0.087
NGC 1200,SN2008R,33.660,0.080
NGC 1259,SN2008L,34.365,0.105
NGC 0910,SN2008hs,34.459,0.093
NGC 5353,SN2019ein,32.711,0.076
NGC 3392,SN2010Y,33.861,0.088
NGC 1272,SN2016arc,34.256,0.099
ESO 125-G006,SN2008ia,34.896,0.195



