IC2597 14654	SN	2496	0.062	0.88 +or- 0.12	-3.9		
NGC0057	14219	M	2496	0.068	1.28 +or- 0.08	-4.9		
NGC0315	14219	M	2496	0.057	1.20 +or- 0.23	-4.1	
NGC0383	14219	M	2496	0.062	0.88 +or- 0.11	-2.9	
NGC0410	14219	M	2496	0.052	1.80 +or- 0.07	-4.3	
NGC0507	14219	M	2496	0.055	1.80 +or- 0.16	-3.3	
NGC0524	14654	SN	2496	0.073	1.60 +or- 0.40	-1.2		
NGC0533	14219	M	2496	0.027	1.76 +or- 0.08	-4.9		
NGC0545	14219	M	2496	0.036	1.44 +or- 0.06	-2.9	
NGC0547	14219	M	2496	0.036	1.59 +or- 0.06	-4.8		
NGC0665	14219	M	2496	0.078	1.28 +or- 0.08	-2.0		
NGC0708	14219	M	2496	0.079	1.36 +or- 0.08	-4.9	
NGC0741	14219	M	2496	0.046	1.28 +or- 0.12	-4.8	
NGC0777	14219	M	2496	0.041	1.44 +or- 0.08	-4.8		
NGC0809	14654	SN	2496	0.021	1.40 +or- 0.04	-1.8	
NGC0890	14219	M,SN	2496	0.068	1.88 +or- 0.20	-2.6		
NGC0910	14654	SN	5293	0.051	1.42 +or- 0.06	-4.1		
NGC1016	14219	M	2496	0.027	1.32 +or- 0.14	-4.9		
NGC1060	14219	M	2496	0.171	1.56 +or- 0.15	-3.0		
NGC1129	14219	M	2496	0.099	1.56 +or- 0.09	-4.9
NGC1167	14219	M	2496	0.160	1.60 +or- 0.08	-2.4	
NGC1200	14654	SN	2496	0.064	1.24 +or- 0.08	-2.9		
NGC1201	14654	SN	1997	0.014	1.30 +or- 0.15	-2.6		
NGC1259	14654	SN	5293	0.140	1.34 +or- 0.04	-3.0		
NGC1272	14219	M,SN	2496	0.142	1.16 +or- 0.04	-4.0	
NGC1278	14654	SN	2496	0.145	1.40 +or- 0.12	-4.8	
NGC1453	14219	M	2496	0.093	1.74 +or- 0.16	-4.7		
NGC1573	14219	M	2496	0.121	3.00 +or- 0.14	-4.8		
NGC1600	14219	M	2496	0.038	1.60 +or- 0.19	-4.6		
NGC1684	14219	M	2496	0.051	1.56 +or- 0.08	-3.9	
NGC1700	14219	M	2496	0.038	1.44 +or- 0.18	-4.7		
NGC2258	14219	M,SN	2496	0.113	2.08 +or- 0.12	-2.0	
NGC2274	14219	M	2496	0.092	1.56 +or- 0.19	-4.8		
NGC2340	15265	M	2812	0.065	1.32 +or- 0.36	-4.8		
NGC2513	14219	M	2496	0.020	2.00 +or- 0.06	-4.9		
NGC2672	14219	M	2496	0.019	1.64 +or- 0.19	-4.8		
NGC2693	14219	M	2496	0.017	1.40 +or- 0.26	-4.8		
NGC2765	14654	SN	2496	0.028	1.92 +or- 0.20	-1.9		
NGC2962	14654	SN	2496	0.051	1.76 +or- 0.08	-1.1		
NGC3158	15265	M,SN	2612	0.012	1.26 +or- 0.19	-4.8		
NGC3392	14654	SN	2695	0.012	1.16 +or- 0.04	-3.7		
NGC3504	12450		1398	0.023	1.64 +or- 0.14	+ 2.1		
NGC3842	15265	M	2612	0.019	1.34 +or- 0.19	-4.9		
NGC4036	14654	SN	2695	0.021	1.63 +or- 0.19	-2.5		
NGC4073	15265	M	2612	0.024	2.53 +or- 0.19	-4.1		
NGC4386	14654	SN	2695	0.034	1.22 +or- 0.19	-2.0		
NGC4839	15265	M	2612	0.009	1.34 +or- 0.19	-3.9		
NGC4874	11711	M	4794	0.008	1.56 +or- 0.10	-3.6	
NGC4914	14219	M	2496	0.012	0.92 +or- 0.08	-4.0		
NGC5322	14219	M	2496	0.012	1.60 +or- 0.20	-4.8		
NGC5353	14219	M,SN	2496	0.011	1.32 +or- 0.21	-2.0	
NGC5490	14654	SN	2496	0.024	0.92 +or- 0.16	-4.9		
NGC5557	14219	M	2496	0.011	1.16 +or- 0.08	-4.8		
NGC5839	14654	SN	2496	0.046	1.64 +or- 0.08	-2.0		
NGC6482	14219	M	2496	0.089	0.88 +or- 0.04	-4.9		
NGC6702	14654	SN	2496	0.094	0.84 +or- 0.08	-4.9		
NGC6964	14654	SN	2496	0.087	1.76 +or- 0.08	-4.5		
NGC7052	14219	M	2496	0.108	0.88 +or- 0.28	-4.9		
NGC7242	15265	M	2612	0.133	1.38 +or- 0.19	-4.0	
NGC7619	14219	M	2496	0.072	1.56 +or- 0.06	-4.8	
ESO125-G006	14654	SN	5293	0.200	1.06 +or- 0.06	-3.5		
