name,vel,evel,dist,edist
NGC 7619,3391,26,50.02,3.52
NGC 1316,1694,8,24.99,1.75
NGC 4753,1497,24,22.08,1.59
NGC 1380,1781,14,26.26,1.85
ESO 352-057,5453,46,80.43,5.67
NGC 4526,953,24,14.05,1.05
NGC 2962,2301,24,33.94,2.4
NGC 5061,2383,28,35.14,2.49
NGC 2258,4055,36,59.81,4.22
NGC 6495,3049,14,44.97,3.16
NGC 0524,2092,22,30.85,2.18
NGC 1201,1531,16,22.58,1.6
NGC 1404,1855,8,27.36,1.92
NGC 4424,774,24,11.41,0.87
NGC 4386,1721,27,25.38,1.81
NGC 5839,1412,14,20.82,1.47
NGC 4125,1390,16,20.50,1.45
NGC 0474,2001,23,29.51,2.09
NGC 3923,2079,25,30.66,2.18
NGC 4636,1275,24,18.81,1.36




