sn,ra,dec,gal,zc,hra,hdec
SN2004dt,30.553208,-0.097639,NGC 799,5915.0,30.551407,-0.100629
SN2004ef,340.541750,19.994556,UGC 12158,9290.0,340.543792,19.996972
SN2004eo,308.225792,9.928528,NGC 6928,4707.0,308.209250,9.926417
SN2004ey,327.282542,0.444222,UGC 11816,4733.0,327.280395,0.447329
SN2004gc,80.458125,6.676028,ARP 327,9623.320000,80.447577,6.676977
SN2004gs,129.596583,17.627722,MCG +03-22-020,7988.0,129.599366,17.631331
SN2004gu,191.603000,11.948917,FGC 175A,13748.0,191.603417,11.949556
SN2005A,37.680208,-2.938833,NGC 958,5738.0,37.678458,-2.939000
SN2005ag,224.181875,9.328472,2MASS J14564320+0919366,23811.0,224.180042,9.326778	
SN2005al,207.501375,-30.576167,NGC 5304,3718.0,207.506167,-30.578472
SN2005am,139.054458,-16.304444,NGC 2811,2368.0,139.046292,-16.312722
SN2005be,224.886333,16.669889,2MASS J14593308+1640068,10500.0,224.887820,16.668583
SN2005bg,184.321583,16.371556,MCG +03-31-93,6921.0,184.321792,16.371500
SN2005bl,181.051083,20.406889,NGC 4059,7213.0,181.047066,20.409837
SN2005bo,192.420958,-11.096472,NGC 4708,4166.0,192.422833,-11.093028
SN2005el,77.953000,5.194278,NGC 1819,4470.0,77.942250,5.200611
SN2005eq,47.205458,-7.033250,MCG -01-09-006,8687.0,47.201345,-7.040616
SN2005gj,45.299792,-0.553861,SDSS J030111.99-003313.5,18480.0,45.299977,-0.553766	
SN2005hc,29.199750,-0.213722,MCG +00-06-003,13772.0,29.202101,-0.212574
SN2005hj,21.701125,-1.238000,APMUKS(BJ) B012415.21-012950.3,17390.0,21.701904,-1.238149
SN2005hk,6.961958,-1.197917,UGC 272,3895.0,6.957241,-1.199990
SN2005iq,359.635417,-18.709167,MCG -03-01-008,10206.0,359.632607,-18.714015
SN2005ir,19.182792,0.793694,SDSS J011643.87+004736.9,22892.0,19.182792,0.793611	
SN2005kc,338.530583,5.568417,NGC 7311,4533.0,338.527955,5.569894
SN2005ke,53.768125,-24.944111,NGC 1371,1463.0,53.755588,-24.933233
SN2005ki,160.117583,9.202333,NGC 3332,5758.0,160.118221,9.182552	
SN2005ku,344.927542,-0.013694,2MASX J22594265-0000478,13622.0,344.927770,-0.013561
SN2005lu,39.015458,-17.263889,ESO 545-G038,9596.0,39.015125,-17.262944
SN2005M,144.384833,23.200750,NGC 2930,6599.0,144.385833,23.202500
SN2005mc,126.776500,21.646000,UGC 4414,7561.0,126.774840,21.645290	
SN2005na,105.402583,14.133250,UGC 3634,7891.0,105.403167,14.135250
SN2005W,27.690708,21.759833,NGC 691,2665.0,27.673833,21.759917
SN2006ax,171.014417,-12.291444,NGC 3663,5018.0,170.999625,-12.296444
SN2006bd,174.618583,20.526222,UGC 6609,7712.0,174.622770,20.527714
SN2006bh,340.067083,-66.485083,NGC 7329,3252.0,340.100917,-66.478972
SN2006br,202.507500,13.415778,NGC 5185,7372.0,202.509375,13.416056
SN2006bt,239.127208,20.046000,CGCG 108-013,9653.300000,239.140317,20.052369	
SN2006D,193.141417,-9.775222,MCG -01-33-34,2556.0,193.144625,-9.776694
SN2006dd,50.673416,-37.203611,NGC 1316,1760.0,50.673825,-37.208227
SN2006ef,31.081292,-8.728389,NGC 809,5361.0,31.079039,-8.735293	
SN2006ej,9.749042,-9.015722,NGC 191A,6131.0,9.751008,-9.014581
SN2006eq,322.154708,1.228111,2MASX J21283758+0113490,14840.0,322.156679,1.230171	
SN2006et,10.690917,-23.558444,NGC 232,6647.0,10.690917,-23.561361
SN2006ev,322.746917,13.989222,UGC 11758,8614.0,322.740083,13.986083
SN2006fw,26.793083,-0.147000,SDSS J014710.33-000848.7,24883.0,26.793056,-0.146877	
SN2006gj,49.399167,-1.691722,UGC 2650,8500.0,49.393667,-1.695083
SN2006gt,14.072083,-1.629444,2MASX J00561810-0137327,13422.0,14.075375,-1.625833	
SN2006hb,75.505333,-21.131972,MCG -04-12-34,4600.0,75.502813,-21.136945
SN2006hx,18.488792,0.371667,2MASX J01135716+0022171,13639.0,18.488254,0.371416	
SN2006is,79.393208,-23.781722,APMUKS(BJ) B051529.79-235009.8,9400.0,79.394047,-23.783548
SN2006kf,55.460333,8.156944,UGC 2829,6386.0,55.461917,8.159833
SN2006lu,138.823458,-25.600083,2MASX J09151727-2536001,16010.0,138.821958,-25.600083
SN2006mr,50.679333,-37.208138,NGC 1316,1760.0,50.673825,-37.208227
SN2006ob,27.950458,0.263417,UGC 1333,17759.0,27.952124,0.263830
SN2006os,43.754583,16.009667,UGC 2384,9836.0,43.752375,16.012417
SN2006ot,33.770167,-20.766167,ESO 544-G31,15871.0,33.769166,-20.767699
SN2006py,340.425208,-0.136917,SDSS J224142.04-000812.9,17358.0,340.425196,-0.136932
SN2006X,185.724958,15.809194,NGC 4321,1571.0,185.728463,15.821818	
SN2007A,6.319417,12.886806,NGC 105,5290.0,6.319167,12.889444	
SN2007af,215.587625,-0.393778,NGC 5584,1638.0,215.599029,-0.387669
SN2007ai,243.223917,-21.630194,MCG -04-38-004,9492.0,243.222333,-21.623333
SN2007al,149.827000,-19.473833,2MASX J09591870-1928233,3634.0,149.828000,-19.473139
SN2007as,141.900042,-80.177556,ESO 18-G18,5268.0,141.918500,-80.179944
SN2007ax,125.680250,22.554694,NGC 2577,2057.0,125.681023,22.553077
SN2007ba,229.177625,7.396611,UGC 9798,11546.0,229.174233,7.396909	
SN2007bc,169.810708,20.809028,UGC 6332,6227.0,169.819236,20.813559
SN2007bd,127.888667,-1.199444,UGC 4455,9299.0,127.887000,-1.197722
SN2007bm,171.259583,-9.798278,NGC 3672,1862.0,171.260292,-9.795389
SN2007ca,202.774208,-15.101833,MCG -02-34-61,4217.0,202.765990,-15.101187	
SN2007cg,201.389917,-24.652250,ESO 508-G75,9952.0,201.389042,-24.652389
SN2007hj,345.449542,15.586500,NGC 7461,4231.0,345.451375,15.582472
SN2007hx,31.612833,-0.899528,SDSS J020627.93-005353.0,23928.0,31.616396,-0.898059	
SN2007if,17.714042,15.461083,LEDA 5068228,22244.570000,17.714042,15.461083
SN2007jd,44.972375,1.160722,SDSS J025953.65+010936.1,21775.0,44.973573,1.160060
SN2007jg,52.461750,0.056833,SDSS J032950.83+000316.0,11132.0,52.461792,0.054444	
SN2007jh,54.006417,1.103389,CGCG 391-014,12230.0,54.006612,1.104757
SN2007le,354.701708,-6.522583,NGC 7721,2015.0,354.702708,-6.517861	
SN2007mm,16.444458,-0.758833,SHK 035,19906.190000,16.440875,-0.761361	
SN2007N,192.255208,-9.452833,MCG -01-33-012,3861.0,192.256333,-9.457028	
SN2007nq,14.389875,-1.388611,UGC 595,13500.0,14.395483,-1.391089
SN2007ol,24.348750,-0.312000,2MASX J01372378-0018422,16761.0,24.349083,-0.311722
SN2007on,54.712083,-35.575000,NGC 1404,1947.0,54.716333,-35.594389
SN2007S,150.130250,4.407278,UGC 5378,4161.0,150.133281,4.407066
SN2007so,41.929708,13.254111,NGC 1109,8900.0,41.931583,13.255333	
SN2007sr,180.470000,-18.972694,NGC 4038,1642.0,180.470875,-18.867611	
SN2007st,27.176958,-48.649389,NGC 692,6350.0,27.174958,-48.648500
SN2007ux,152.333250,14.992444,2MASX J10091969+1459268,9268.0,152.332050,14.990940
SN2008ae,149.013333,10.499666,IC 577,8994.0,149.016540,10.498853
SN2008ar,186.158000,10.838167,IC 3284,7839.0,186.156498,10.839041	
SN2008bc,144.630125,-63.973778,KK 1524,4523.0,144.642125,-63.972944	
SN2008bd,154.597167,-13.103111,MCG -02-26-42,9025.0,154.598108,-13.104518
SN2008bf,181.012083,20.245167,NGC 4055,7045.112000,181.006157,20.232327	
SN2008bi,128.972458,0.706417,NGC 2618,4031.0,128.973085,0.707112	
SN2008bq,100.260458,-38.038611,ESO 308-G25,10193.0,100.262917,-38.035667	
SN2008bt,162.570333,-12.108889,NGC 3404,4606.0,162.574917,-12.108722	
SN2008bz,189.740583,11.129500,2MASX J12385810+1107502,18071.0,189.742195,11.130558
SN2008C,104.298042,20.437139,UGC 3611,4983.0,104.298875,20.437361	
SN2008cc,315.873417,-67.183639,ESO 107-G4,3116.0,315.873417,-67.181333	
SN2008cd,198.757292,-15.951889,NGC 5038,2222.0,198.758875,-15.951806	
SN2008cf,211.885667,-26.551833,LEDA 766647,13790.450000,211.884917,-26.551556	
SN2008ff,303.499833,-44.352167,PGC 64319,5758.0,303.484417,-44.351167
SN2008fl,294.186833,-37.551250,NGC 6805,5970.0,294.190458,-37.554361	
SN2008fp,109.135833,-29.325497,ESO 428-G14,1698.0,109.130026,-29.324716	
SN2008fr,17.954750,14.640833,SDSS J011149.19+143826.5,11692.0,17.954996,14.640698	
SN2008fu,45.618750,-24.455972,ESO 480-IG-021,15711.0,45.619542,-24.455833	
SN2008fw,157.233208,-44.665278,NGC 3261,2563.0,157.256083,-44.656833	
SN2008gg,21.345833,-18.172444,NGC 539,9598.0,21.340538,-18.163855
SN2008gl,20.228417,4.805306,UGC 881,10198.0,20.222791,4.801339
SN2008go,332.686792,-20.788111,2MASX J22104396-2047256,18710.0,332.683253,-20.790553
SN2008gp,50.753042,1.361889,MCG +00-9-74,10017.0,50.750000,1.365778		
SN2008ha,353.719541,18.2265,UGC 12682,1393.0,353.722917,18.227222
SN2008hj,1.007958,-11.168750,MCG -02-01-014,11360.0,1.006360,-11.174272
SN2008hu,122.311500,-18.653639,ESO 561-G18,14899.685163,122.313167,-18.664750	
SN2008hv,136.891917,3.392250,NGC 2765,3762.0,136.902677,3.392904	
SN2008ia,132.646458,-61.277944,ESO 125-6,6595.0,132.649375,-61.277917
SN2008J,38.600833,-10.844027,MCG -02-07-033,4759.000,38.602125,-10.843722
SN2008O,104.393583,-45.812306,ESO 256-G11,11649.0,104.396333,-45.811972
SN2008R,45.973750,-11.994278,NGC 1200,4048.0,45.977000,-11.991806
SN2009aa,170.926167,-22.270694,ESO 570-G20,8187.0,170.920667,-22.270500
SN2009ab,64.151625,2.764167,UGC 2998,3349.0,64.142917,2.759083	
SN2009ad,75.889083,6.659917,UGC 3236,8514.0,75.888375,6.657361
SN2009ag,107.920042,-26.685083,ESO 492-2,2590.0,107.918500,-26.705056
SN2009al,162.841958,8.578528,NGC 3388,6627.0,162.856357,8.567149	
SN2009cz,138.750083,29.735306,NGC 2789,6337.0,138.748588,29.730278
SN2009D,58.595125,-19.181722,ESO 549-G031,7497.0,58.602792,-19.190306	
SN2009dc,237.800500,25.707778,UGC 10064,6413.0,237.805328,25.701916	
SN2009ds,177.267125,-9.729139,NGC 3905,5774.0,177.270450,-9.729831	
SN2009F,74.848167,-11.130583,NGC 1725,3884.0,74.845375,-11.132306	
SN2009I,41.293333,-4.713722,NGC 1080,7845.0,41.291417,-4.710778
SN2009J,88.838041,-76.92244,IC 2160,4739.0,88.869000,-76.920250
SN2009le,32.321417,-23.412444,ESO 478-6,5332.0,32.325333,-23.415083	
SN2009P,170.161583,-3.546194,PGC 34730,7526.0,170.160958,-3.546333	
SN2009Y,220.602292,-17.246194,NGC 5728,2804.0,220.599570,-17.253081	
SN2010ae,108.977708,-57.343580,ESO 162-17,1098.0,108.977208,-57.343500	
