KUG 1237+183                  	12h40m11.39s	+18d03m42.2s
2MASX J21303015-7038489       	21h30m30.17s	-70d38m49.1s
2MASX J01504127-1431032       	01h50m41.27s	-14d31m03.1s
ESO 058- G 012                	06h43m21.64s	-69d38m29.5s
2MASX J07353554-6246099       	07h35m35.54s	-62d46m10.0s
2MASX J23331223-6034201       	23h33m12.23s	-60d34m20.1s
GALEXASC J184443.33-524819.2  	18h44m43.34s	-52d48m19.3s
2MASX J22532475+0447583       	22h53m24.75s	+04d47m58.1s
2MASX J23451480-2947009       	23h45m14.81s	-29d47m00.5s
UGC 06837                     	11h51m52.47s	+18d32m47.2s
NGC 4666                      	12h45m08.59s	-00d27m42.8s
2MASX J22571481-2058014       	22h57m14.81s	-20d58m01.5s
IC 0299                       	03h11m02.55s	-13d06m34.5s
GALEXASC J010647.95-465904.1  	01h06m47.93s	-46d59m03.5s
ESO 113- G 047                	01h26m40.14s	-57d59m50.8s
GALEXASC J000454.54-322615.3  	00h04m54.57s	-32d26m16.4s
AM 0139-655 NED02             	01h41m30.95s	-65d36m56.1s
NGC 3774                      	11h38m30.26s	-08d58m34.1s
NGC 3449                      	10h52m53.66s	-32d55m39.4s
GALEXASC J045749.46-213526.3  	04h57m49.54s	-21d35m27.0s
SDSS J093916.69+062551.1      	09h39m16.69s	+06d25m51.2s
SDSS J140455.12+085514.0      	14h04m55.14s	+08d55m14.0s
GALEXASC J025245.83-341850.6  	02h52m45.84s	-34d18m50.9s
LCRS B150313.2-052600         	15h05m51.68s	-05d37m32.9s
VCC 1810                      	12h39m50.23s	+03d47m49.3s
CGCG 064-017                  	09h59m14.76s	+12d59m16.5s
2MASX J05235106-2442201       	05h23m51.06s	-24d42m20.1s
NGC 5996                      	15h46m58.88s	+17d53m03.1s
CGCG 107-031                  	15h43m58.90s	+19d12m41.5s
ESO 561- G 012                	08h06m07.48s	-22d33m49.3s
2MASX J09202045-0738229       	09h20m20.46s	-07d38m23.2s
NGC 4866                      	12h59m27.14s	+14d10m15.8s
2MASX J06113048-1629085       	06h11m30.50s	-16d29m08.6s
ESO 366- G 015                	06h45m21.54s	-34d53m23.3s
ESO 375- G 041                	10h29m31.00s	-35d15m35.5s
CGCG 063-098                  	09h53m49.23s	+09d11m37.6s
GALEXASC J134316.80-313318.2  	13h43m16.80s	-31d33m18.2s
SDSS J090202.18+101759.7      	09h02m02.19s	+10d17m59.8s
2MASX J06070178-6921180       	06h07m01.72s	-69d21m17.8s
2MASX J01460987-6727579       	01h46m09.85s	-67d27m57.8s
SDSS J095510.00+064830.3      	09h55m10.00s	+06d48m30.4s
2MASX J05144615-6650292       	05h14m46.27s	-66d50m29.5s
2MASX J05583036-6333386       	05h58m30.37s	-63d33m38.4s
2MASX J06380745-7543288       	06h38m07.40s	-75d43m28.9s
SDSS J030559.63+043246.0      	03h05m59.63s	+04d32m46.0s
SDSS J120306.76-010132.4      	12h03m06.77s	-01d01m32.5s
CGCG 092-024                  	09h39m52.15s	+16d55m04.6s
2MASX J02022241-6544090       	02h02m22.48s	-65d44m09.4s
GALEXASC J105206.27-133420.2  	10h52m06.28s	-13d34m20.3s
SDSS J095738.31+123308.5      	            	            
2MASX J06134795-6755146       	06h13m47.99s	-67d55m14.5s
2MASX J13560316-4334319       	13h56m03.19s	-43d34m32.0s
APMUKS(BJ) B004021.02-650219.5	00h42m29.11s	-64d45m53.2s
UGC 01899                     	02h26m26.07s	+27d39m15.2s
2MASX J05371898-7543157       	05h37m18.97s	-75d43m16.0s
NGC 5490                      	14h09m57.29s	+17d32m44.0s
ESO 509- G 108                	13h47m12.16s	-24d22m22.6s
SDSS J120939.62+161212.2      	12h09m39.63s	+16d12m12.3s
SDSS J111454.06+293508.7      	11h14m54.07s	+29d35m08.8s
SDSS J135256.58+215621.1      	13h52m56.58s	+21d56m21.1s
NGC 4098                      	12h06m03.90s	+20d36m22.0s
GALEXMSC J130032.33+275842.3 ?	            	            
CGCG 421-013                  	05h15m47.57s	+06d46m41.3s
2MASX J05164149+0629376       	05h16m41.54s	+06d29m38.2s
GALEXASC J101741.80-072452.2  	10h17m41.80s	-07d24m52.2s
GALEXASC J105517.85-141757.2  	10h55m17.60s	-14d17m57.0s
SDSS J134244.72+080531.7      	13h42m44.73s	+08d05m31.8s
LCRS B133326.3-112212         	13h36m05.38s	-11d37m31.2s
2MASX J09213114-0941331       	09h21m31.15s	-09d41m33.3s
2MASX J05310364-1948063       	05h31m03.63s	-19d48m06.0s
SDSS J135002.40+093755.1      	13h50m02.40s	+09d37m55.1s
GALEXASC J125339.85-183025.6  	12h53m39.85s	-18d30m25.6s
GALEXASC J045815.88-161800.7  	04h58m15.88s	-16d18m00.7s
MCG -06-12-002                	05h00m50.63s	-38d39m16.7s
ESO 487- G 004                	05h22m17.22s	-25d36m26.8s
ESO 472- G 007                	23h54m45.17s	-25d40m23.3s
2MASX J01403375+1830406       	01h40m33.74s	+18d30m40.5s
GALEXASC J052259.58-332755.3  	05h22m59.53s	-33d27m57.1s
2MASX J03125885-1142402       	03h12m58.86s	-11d42m40.0s
2MASX J02525699+0136231       	02h52m57.01s	+01d36m23.3s
GALEXASC J024043.58-344425.0  	02h40m43.59s	-34d44m25.0s
2MASX J03102844-1629333       	03h10m28.42s	-16d29m33.5s
GALEXASC J034243.43-024007.7  	03h42m43.27s	-02d40m08.6s
GALEXASC J110738.65-294235.5  	11h07m38.65s	-29d42m35.6s
2MASX J03194423-2700201       	03h19m44.23s	-27d00m20.5s
2MASX J09591230-0900095       	09h59m12.30s	-09d00m09.6s
2MASXi J0401529-263947        	04h01m52.91s	-26d39m47.7s
2MASX J14592124-1709138       	14h59m21.23s	-17d09m13.7s
ESO 576- G 017                	13h15m12.80s	-17d58m00.4s
2MASX J04035024-0239275       	04h03m50.26s	-02d39m27.6s
LCSB S0801P                   	04h55m16.68s	-19d59m55.5s
GALEXMSC J021234.60-372019.1  	02h12m34.61s	-37d20m19.1s
2MASX J03101094-3638017       	03h10m10.93s	-36d38m01.6s
GALEXASC J102908.61-170654.2  	10h29m08.62s	-17d06m54.3s
APMUKS(BJ) B033105.19-262232.9	03h33m12.55s	-26d12m30.1s
SDSS J134410.77+030345.3      	            	            
LCRS B134534.3-112338         	13h48m14.18s	-11d38m32.4s
SDSS J103247.83+041145.5      	10h32m47.84s	+04d11m45.5s
2MASX J16065563+0300046       	16h06m55.63s	+03d00m04.6s
2MASX J15594429-1026396       	15h59m44.29s	-10d26m39.5s
GALEXASC J132408.58-132629.0  	13h24m08.58s	-13d26m29.0s
2MASX J13434760-3254381       	13h43m47.63s	-32d54m38.1s
GALEXASC J114122.65-122354.9  	11h41m22.65s	-12d23m55.0s
CGCG 068-091                  	11h55m30.49s	+11d55m25.2s
2MASX J11113635-2127597       	11h11m36.36s	-21d27m59.6s
2MASX J14281171-0403150       	14h28m11.74s	-04d03m15.1s
2MASX J11123493+1204206       	11h12m34.89s	+12d04m20.5s
GALEXASC J110123.17-153706.2  	11h01m23.17s	-15d37m06.3s
2MASS J19593264-5659334       	19h59m32.30s	-56d59m32.5s
APMUKS(BJ) B141811.91-050120.8	14h20m49.12s	-05d15m03.0s
2MASX J00145929-5112380       	00h14m59.29s	-51d12m38.1s
GALEXASC J002634.59-324825.5  	00h26m34.75s	-32d48m27.2s
2MASX J21594968-3016187       	21h59m49.61s	-30d16m19.1s
2MASX J05100559-3618388       	05h10m05.63s	-36d18m39.0s
2MASX J03283205-0412113       	03h28m32.06s	-04d12m11.5s
2MASX J03234449-3135101       	03h23m44.51s	-31d35m10.3s
GALEXMSC J040601.67-160139.7  	04h06m01.53s	-16d01m38.9s
2MASX J09442084+0435319       	09h44m20.83s	+04d35m31.6s
2MASX J12572166-1547411       	12h57m21.68s	-15d47m41.2s
SDSS J090213.35+170335.4      	09h02m13.36s	+17d03m35.5s
SDSS J085357.19+171942.6      	08h53m57.20s	+17d19m42.7s
SDSS J101405.83+064032.5      	10h14m05.84s	+06d40m32.6s
2MASX J12304088-1346236       	12h30m40.88s	-13d46m23.8s
2MASX J16301506+0555514       	16h30m15.08s	+05d55m51.4s
2MASX J10525434+2335518       	10h52m54.33s	+23d35m51.4s
SDSS J170308.90+122741.5      	            	            
ESO 508- G 016                	13h09m18.78s	-25d52m05.6s
2MASX J10594717-1649070       	10h59m47.18s	-16d49m07.2s
ESO 418- G 007                	03h29m56.56s	-28d46m32.6s
IC 1044                       	14h41m29.02s	+09d25m51.3s
SDSS J124653.32+144748.4      	12h46m53.32s	+14d47m48.4s
NGC 6240                      	16h52m58.87s	+02d24m03.3s
GALEXASC J161311.68+013532.2  	16h13m11.69s	+01d35m32.2s
NGC 7674                      	23h27m56.72s	+08d46m44.5s
2MASX J21352164+2656051       	21h35m21.67s	+26d56m04.9s
NGC 881                       	02h18m45.27s	-06d38m20.7s
NGC 7364                      	22h44m24.37s	-00d09m43.5s
SDSS J130650.44+153432.7      	13h06m50.44s	+15d34m32.8s
NGC 7042                      	21h13m45.86s	+13d34m29.7s
GALEXASC J211648.97+120052.8  	21h16m48.97s	+12d00m52.8s
SDSS J232430.20+143903.6      	23h24m30.21s	+14d39m03.6s
NGC 0890                      	02h22m01.01s	+33d15m57.8s
SDSS J084339.26+161037.5      	            	            
SDSS J120951.25+194716.5      	12h09m51.26s	+19d47m16.6s
SDSS J152512.43-014840.1      	15h25m12.43s	-01d48m40.2s
SDSS J002812.09+070940.0      	            	            
LCSB S0066P                   	00h23m48.31s	-03d51m20.7s
GALEXASC J131857.37+094244.0  	13h18m57.37s	+09d42m44.0s
UGC 07034                     	12h03m37.62s	+02d02m48.9s
NGC 3861                      	11h45m03.88s	+19d58m25.3s
SDSS J122608.78+095847.1      	12h26m08.80s	+09d58m47.2s
NGC 799                       	02h02m12.34s	-00d06m02.3s
UGC 12158                     	22h42m10.51s	+19d59m49.1s
NGC 6928                      	20h32m50.22s	+09d55m35.1s
UGC 11816                     	21h49m07.29s	+00d26m50.4s
ARP 327.00                    	05h21m47s	+06d40.6m            	            
MCG +03-22-020                	08h38m23.85s	+17d37m52.8s
FGC 175A                      	12h46m24.82s	+11d56m58.4s
NGC 958                       	02h30m42.83s	-02d56m20.4s
NGC 5304                      	13h50m01.48s	-30d34m42.5s
NGC 2811                      	09h16m11.11s	-16d18m45.8s
MCG +03-31-93                 	12h17m17.23s	+16d22m17.4s
NGC 4059                      	12h04m11.30s	+20d24m35.4s
NGC 4708                      	12h49m41.48s	-11d05m34.9s
NGC 1819                      	05h11m46.14s	+05d12m02.2s
MCG -01-09-006                	03h08m48.32s	-07d02m26.2s
MCG +00-06-003                	01h56m48.50s	-00d12m45.3s
APMUKS(BJ) B012415.21-012950.3	01h26m48.46s	-01d14m17.3s
UGC 272                       	00h27m49.74s	-01d12m00.0s
MCG -03-01-008                	23h58m31.83s	-18d42m50.5s
NGC 7311                      	22h34m06.71s	+05d34m11.6s
NGC 1371                      	03h35m01.34s	-24d55m59.6s
NGC 3332                      	10h40m28.37s	+09d10m57.2s
2MASX J22594265-0000478       	22h59m42.66s	-00d00m48.8s
ESO 545-G038                  	02h36m03.63s	-17d15m46.6s
NGC 2930                      	09h37m32.60s	+23d12m09.0s
UGC 4414                      	08h27m05.96s	+21d38m43.0s
UGC3634                       	07h01m36.76s	+14d08m06.9s
NGC 691                       	01h50m41.72s	+21d45m35.7s
NGC 3663                      	11h23m59.91s	-12d17m47.2s
UGC 6609                      	11h38m29.46s	+20d31m39.8s
NGC 7329                      	22h40m24.22s	-66d28m44.3s
NGC5185                       	13h30m02.25s	+13d24m57.8s
MCG -01-33-34                 	12h52m34.71s	-09d46m36.1s
NGC809                        	02h04m18.97s	-08d44m07.1s
NGC 191A                      	00h39m00.24s	-09d00m52.5s
NGC 232                       	00h42m45.82s	-23d33m40.9s
UGC 11758                     	21h30m57.62s	+13d59m09.9s
UGC 2650                      	03h17m34.48s	-01d41m42.3s
2MASX J00561810-013732        	            	            
MCG -04-12-34                 	05h02m00.68s	-21d08m13.0s
2MASX J01135716+0022171       	01h13m57.18s	+00d22m17.1s
APMUKS(BJ) B051529.79-235009.8	05h17m34.57s	-23d47m00.8s
UGC 2829                      	03h41m50.86s	+08d09m35.4s
NGC1316                       	03h22m41.72s	-37d12m29.6s
UGC 1333                      	01h51m48.51s	+00d15m49.8s
UGC 2384                      	02h55m00.57s	+16d00m44.7s
ESO 544-G31                   	02h15m04.60s	-20d46m03.7s
SDSS J224142.04-000812.9      	22h41m42.05s	-00d08m13.0s
NGC 4321                      	12h22m54.83s	+15d49m18.5s
NGC 105                       	00h25m16.60s	+12d53m22.0s
NGC 5584                      	14h22m23.77s	-00d23m15.6s
MCG -04-38-004                	16h12m53.36s	-21d37m24.0s
2MASX J09591870-1928233       	09h59m18.72s	-19d28m23.3s
ESO 18-G18                    	09h27m40.44s	-80d10m47.8s
NGC 2577                      	08h22m43.45s	+22d33m11.1s
UGC 9798                      	15h16m41.82s	+07d23m48.9s
UGC 6332                      	11h19m16.62s	+20d48m48.8s
UGC 4455                      	08h31m32.88s	-01d11m51.8s
NGC 3672                      	11h25m02.47s	-09d47m43.4s
MCG -02-34-61                 	13h31m03.84s	-15d06m04.3s
ESO 508-G75                   	13h25m33.37s	-24d39m08.6s
NGC 7461                      	23h01m48.33s	+15d34m56.9s
SDSS J020627.93-005353.0      	02h06m27.93s	-00d53m53.0s
SDSS J025953.65+010936.1      	02h59m53.66s	+01d09m36.2s
SDSS J032950.83+000316.0      	03h29m50.83s	+00d03m16.0s
CGCG 391-014                  	03h36m01.59s	+01d06m17.1s
NGC 7721                      	23h38m48.65s	-06d31m04.3s
SHK 035                       	01h05m45.81s	-00d45m40.9s
MCG -01-33-012                	12h49m01.52s	-09d27m25.3s
UGC 595                       	00h57m34.92s	-01d23m27.9s
2MASX J01372378-0018422       	01h37m23.78s	-00d18m42.2s
NGC 1404                      	03h38m51.92s	-35d35m39.8s
UGC 5378                      	10h00m31.99s	+04d24m25.4s
NGC 1109                      	02h47m43.58s	+13d15m19.2s
NGC 4038                      	12h01m53.01s	-18d52m03.4s
NGC 692                       	01h48m41.99s	-48d38m54.6s
2MASX J10091969+1459268       	10h09m19.69s	+14d59m27.4s
IC 577                        	09h56m03.97s	+10d29m55.9s
IC 3284                       	12h24m37.56s	+10d50m20.5s
KK 1524                       	09h38m34.11s	-63d58m22.6s
MCG -02-26-42                 	10h18m23.55s	-13d06m16.3s
NGC4055/4057                  	12h04m01.477s	+20d13m56.38s
NGC 2618                      	08h35m53.54s	+00d42m25.6s
ESO 308-G25                   	06h41m03.10s	-38d02m08.4s
NGC 3404                      	10h50m17.98s	-12d06m31.4s
2MASX J12385810+1107502       	12h38m58.13s	+11d07m50.0s
UGC 3611                      	06h57m11.73s	+20d26m14.5s
ESO 107-G4                    	21h03m29.62s	-67d10m52.8s
NGC 5038                      	13h15m02.13s	-15d57m06.5s
PGC 64319                     	20h13m56.26s	-44d21m04.2s
NGC 6805                      	19h36m45.71s	-37d33m15.7s
ESO 428-G14                   	07h16m31.21s	-29d19m29.0s
ESO 480-IG 021                	03h02m28.69s	-24d27m21.0s
NGC3261                       	10h29m01.46s	-44d39m24.6s
NGC 539                       	01h25m21.73s	-18d09m49.9s
UGC 881                       	01h20m53.47s	+04d48m04.8s
2MASX J22104396-2047256       	22h10m43.98s	-20d47m26.0s
MCG +00-9-74                  	03h23m00.00s	+01d21m56.8s
UGC 12682                     	23h34m53.50s	+18d13m38.0s
MCG -02-01-014                	00h04m01.53s	-11d10m27.4s
ESO 561-G18                   	08h09m15.16s	-18d39m53.1s
NGC 2765                      	09h07m36.64s	+03d23m34.5s
ESO 125-6                     	08h50m35.85s	-61d16m40.5s
MCG -02-07-033                	02h34m24.51s	-10d50m37.4s
ESO 256-G11                   	06h57m35.12s	-45d48m43.1s
NGC 1200                      	03h03m54.48s	-11d59m30.5s
ESO 570-G20                   	11h23m40.96s	-22d16m13.8s
UGC 2998                      	04h16m34.30s	+02d45m32.7s
UGC 3236                      	05h03m33.21s	+06d39m26.5s
ESO 492-2                     	07h11m40.44s	-26d42m18.2s
NGC3388                       	10h51m25.53s	+08d34m01.7s
NGC 2789                      	09h14m59.66s	+29d43m49.0s
ESO 549-G031                  	03h54m24.67s	-19d11m25.1s
UGC 10064                     	15h51m13.28s	+25d42m06.9s
NGC 3905                      	11h49m04.91s	-09d43m47.4s
NGC 1725                      	04h59m22.89s	-11d07m56.3s
NGC 1080                      	02h45m09.94s	-04d42m38.8s
IC 2160                       	05h55m28.56s	-76d55m12.9s
ESO 478-6                     	02h09m18.08s	-23d24m54.3s
PGC 34730                     	11h20m38.63s	-03d32m46.8s
NGC 5728                      	14h42m23.90s	-17d15m11.1s
ESO 162-17                    	07h15m54.53s	-57d20m36.6s
NGC 1404                      	03h38m51.92s	-35d35m39.8s	            	          NGC 4984                        13h08m57.23s	  -15d30m58.7s
NGC 4682                      	12h47m15.49s	-10d03m48.4s
2MASX J12571157-1724344       	12h57m11.59s	-17d24m34.2s
CGCG 048-051                  	14h53m23.40s	+02d57m59.5s
NGC 7637                      	23h26m27.66s	-81d54m41.7s
SDSS J145405.13+220540.7      	14h54m05.14s	+22d05m40.7s
2MASX J16203650-1028061       	16h20m36.52s	-10d28m06.0s
ESO 234-019                   	20h23m51.01s	-48d21m31.7s
NGC 4726                      	12h50m46.06s	-14d16m06.8s
NGC 975                       	02h33m22.75s	+09d36m06.1s
NGC 1365                      	03h33m36.37s	-36d08m25.4s
IC 0803 NED01                 	12h39m35.86s	+16d35m16.2s
NGC 7580                      	23h17m36.40s	+14d00m04.3s
IC 1657                       	01h14m07.02s	-32d39m03.2s
CSS J005017.69+243154.4       	00h50m17.69s	+24d31m54.4s
ESO 121- G 026                	06h21m38.75s	-59d44m23.7s
NGC 3447                      	10h53m26.80s	+16d46m44.0s
2MASX J04424248+1835003       	04h42m42.46s	+18d35m00.3s
CGCG 097-050                  	11h40m16.09s	+17d27m26.0s
ESO 153- G 020                	02h06m03.49s	-55d11m36.7s
