host
KUG 1237+183
2MASX J21303015-7038489
2MASX J01504127-1431032
ESO 058- G 012
2MASX J07353554-6246099
2MASX J23331223-6034201
GALEXASC J184443.33-524819.2
2MASX J22532475+0447583
2MASX J23451480-2947009
UGC 06837
NGC 4666
2MASX J22571481-2058014
IC 0299
GALEXASC J010647.95-465904.1
ESO 113- G 047
GALEXASC J000454.54-322615.3
AM 0139-655 NED02
NGC 3774
NGC 3449
GALEXASC J045749.46-213526.3
SDSS J093916.69+062551.1
SDSS J140455.12+085514.0
GALEXASC J025245.83-341850.6
LCRS B150313.2-052600
VCC 1810
CGCG 064-017
2MASX J05235106-2442201
NGC 5996
CGCG 107-031
ESO 561- G 012
2MASX J09202045-0738229
NGC 4866
2MASX J06113048-1629085
ESO 366- G 015
ESO 375- G 041
CGCG 063-098
GALEXASC J134316.80-313318.2
""
SDSS J090202.18+101759.7
2MASX J06070178-6921180
Anonymous
2MASX J01460987-6727579
SDSS J095510.00+064830.3
2MASX J05144615-6650292
2MASX J05583036-6333386
Anonymous
Anonymous
2MASX J06380745-7543288
SDSS J030559.63+043246.0
SDSS J120306.76-010132.4
""
CGCG 092-024
2MASX J02022241-6544090
""
GALEXASC J105206.27-133420.2
SDSS J095738.31+123308.5
2MASX J06134795-6755146
Anonymous
""
2MASX J13560316-4334319
Anonymous
""
APMUKS(BJ) B004021.02-650219.5
UGC 01899
2MASX J05371898-7543157
NGC 5490
ESO 509- G 108
SDSS J120939.62+161212.2
SDSS J111454.06+293508.7
SDSS J135256.58+215621.1
NGC 4098
GALEXMSC J130032.33+275842.3 ?
Anonymous
CGCG 421-013
2MASX J05164149+0629376
GALEXASC J101741.80-072452.2
GALEXASC J105517.85-141757.2
SDSS J134244.72+080531.7
LCRS B133326.3-112212
2MASX J09213114-0941331
2MASX J05310364-1948063
SDSS J135002.40+093755.1
GALEXASC J125339.85-183025.6
GALEXASC J045815.88-161800.7
MCG -06-12-002
ESO 487- G 004
ESO 472- G 007
2MASX J01403375+1830406
GALEXASC J052259.58-332755.3
2MASX J03125885-1142402
2MASX J02525699+0136231
Anonymous
GALEXASC J024043.58-344425.0
2MASX J03102844-1629333
GALEXASC J034243.43-024007.7
Anonymous
GALEXASC J110738.65-294235.5
2MASX J03194423-2700201
2MASX J09591230-0900095
2MASXi J0401529-263947
2MASX J14592124-1709138
ESO 576- G 017
2MASX J04035024-0239275
Anonymous
