sn,snra,sndec,zcmb
ASAS14ad,190.04625,18.059111,0.0274352
ASAS14hp,322.630917,-70.642875,0.0386676
ASAS14hr,27.671958,-14.518436,0.0327196
ASAS14hu,100.862167,-69.637417,0.0218919
ASAS14jc,113.897042,-62.770178,0.0117796
ASAS14jg,353.307917,-60.569861,0.014347
ASAS14jz,281.18475,-52.801522,0.0156168
ASAS14kd,343.353958,4.79925,0.0230683
ASAS14kq,356.314625,-29.78365,0.0325972
ASAS14lo,177.971292,18.541389,0.0210151
ASAS14lp,191.287917,-0.459025,0.0062254
ASAS14lq,344.330875,-20.966878,0.0250833
ASAS14lt,47.760583,-13.110767,0.0314552
ASAS14lw,16.704875,-46.983322,0.0202609
ASAS14me,21.667,-57.997031,0.017386
ASAS14mf,1.226917,-32.437397,0.0301521
ASAS14mw,25.354833,-65.617017,0.0271207
ASAS14my,174.624917,-8.976608,0.0217279
ASAS15aj,163.221917,-32.92635,0.0120218
ASAS15al,74.456792,-21.592808,0.0337612
ASAS15as,144.818958,6.430147,0.0297845
ASAS15ba,211.229542,8.920703,0.0239771
ASAS15be,43.193292,-34.314589,0.0213892
ASAS15bm,226.464917,-5.626958,0.0214395
ASAS15cb,189.959292,3.797158,0.0411361
ASAS15cd,149.811458,12.989036,0.0353887
ASAS15da,80.966167,-24.702328,0.0488203
ASAS15db,236.744542,17.884042,0.0113676
ASAS15dd,235.996125,19.211317,0.0247417
ASAS15eb,121.530833,-22.563572,0.0173082
ASAS15fr,140.085167,-7.640772,0.0345082
ASAS15ga,194.863708,14.171053,0.0076517
ASAS15go,92.877083,-16.484311,0.0192546
ASAS15gr,101.33575,-34.893919,0.0247678
ASAS15hf,157.379167,-35.259889,0.0072452
ASAS15hg,148.452583,9.193828,0.0308678
ASAS15hx,205.819542,-31.555986,0.0092051
CSP12G,135.50975,10.300028,0.0379661
CSP12J,91.756625,-69.35475,0.0149235
CSP12N,189.567458,-15.108931,0.0982741
CSP13N,144.971583,16.921222,0.0487969
CSP13Q,30.589833,-65.735739,0.0887656
CSP13Z,163.02525,-13.573528,0.0800694
CSP13aad,26.538917,-67.466694,0.0865709
CSP13aaf,148.78425,6.808722,0.0787193
CSP13aam,78.697917,-66.841417,0.0750921
CSP13aao,89.626583,-63.560639,0.0616022
CSP13aaq,64.946708,-63.722789,0.0597706
CSP13aay,51.389625,-53.738611,0.0587551
CSP13abl,99.529042,-75.727003,0.0406288
CSP13abm,46.499542,4.543944,0.027529
CSP13abs,180.778667,-1.025472,0.0783462
CSP14aaq,93.450167,-67.920833,0.0361755
CSP14aar,87.097875,-66.791583,0.0423854
CSP14abn,209.017458,-43.586083,0.0232746
CSP14acl,15.279333,-10.311083,0.0289327
CSP14acy,10.619792,-64.764167,0.0660269
CSP14adc,36.597125,27.659667,0.031651
CSP14ade,84.327667,-75.721389,0.0626358
CSP15B,206.800458,-24.371417,0.0208198
CSP15aae,212.479708,17.532111,0.0169733
KISS13j,182.415417,16.203972,0.0776331
KISS13l,168.725292,29.585,0.1330018
KISS13v,208.235958,21.939361,0.0962132
KISS15m,181.503458,20.605111,0.0253844
KISS15n,195.134708,27.978056,0.0239783
LSQ11bk,65.184375,-8.598819,0.0400251
LSQ11ot,78.951417,6.7776,0.0273222
LSQ11pn,79.173083,6.4915,0.0326611
LSQ12agq,154.423625,-7.415125,0.0653581
LSQ12aor,163.8235,-14.300383,0.0945588
LSQ12bld,205.683458,8.092706,0.084303
LSQ12btn,140.376958,-9.691628,0.0552706
LSQ12ca,82.765083,-19.7998,0.0995466
LSQ12cda,207.509667,9.62975,0.1384035
LSQ12cdl,193.4165,-18.507267,0.1090245
LSQ12fuk,74.566167,-16.299453,0.0205571
LSQ12fvl,75.2085,-38.653197,0.055977
LSQ12fxd,80.570917,-25.596392,0.0313344
LSQ12gdj,358.6805,-25.676136,0.0292813
LSQ12gef,25.140417,18.510106,0.0631798
LSQ12gln,80.747542,-33.464256,0.1021611
LSQ12gxj,43.239083,1.606736,0.034596
LSQ12gyc,41.458625,-17.929372,0.0924863
LSQ12gzm,40.181708,-34.740519,0.0993978
LSQ12hjm,47.619667,-16.493633,0.0707978
LSQ12hno,55.680208,-2.669378,0.0468084
LSQ12hnr,160.811542,-8.778025,0.1255265
LSQ12hvj,166.910917,-29.711378,0.0723911
LSQ12hxx,49.934292,-27.007133,0.0689135
LSQ12hzj,149.801792,-9.002292,0.0345752
LSQ12hzs,60.471708,-26.663931,0.0718169
LSQ13abo,224.838333,-17.152594,0.0681328
LSQ13aiz,198.811708,-17.965458,0.0102493
LSQ13cwp,60.961042,-2.654994,0.0662474
LSQ13dby,51.6785,-34.634858,0.0995683
LSQ13dcy,73.818417,-20.0015,0.0800671
LSQ13dhj,33.143667,-37.339669,0.0929027
LSQ13dkp,47.541542,-36.629142,0.0685268
LSQ13dpm,157.284667,-17.113942,0.0520617
LSQ13dqh,65.524583,-2.890067,0.1035425
LSQ13dsm,53.303458,-26.206672,0.0419767
LSQ13pf,207.059792,-11.64405,0.0870045
LSQ13ry,158.2,4.197708,0.031032
LSQ13vy,241.732708,3.004231,0.0421068
LSQ14act,239.936042,-10.444667,0.0594518
LSQ14age,201.035917,-13.440556,0.0815802
LSQ14ahc,205.951042,-32.909756,0.0517592
LSQ14ahm,175.3435,-12.399358,0.0509869
LSQ14ajn,178.878667,11.923856,0.0221584
LSQ14asu,167.899792,-21.466564,0.069594
LSQ14auy,217.047083,-4.054861,0.0832263
LSQ14azy,168.144708,12.073564,0.0469322
LSQ14ba,165.345875,-15.619525,0.0787677
LSQ14bbv,299.888,-56.991067,0.058439
LSQ14bjj,215.2045,-5.250625,0.0819882
LSQ14fms,3.74925,-51.210983,0.0773231
LSQ14foj,6.644458,-32.809192,0.0451705
LSQ14fom,329.957208,-30.270989,0.0553279
