name,sep,proj
SN2004dt,12.5659,5.0257
SN2004ef,11.1072,6.8831
SN2004eo,59.1496,18.9176
SN2004ey,13.5958,4.3718
SN2004gc,37.8697,24.2775
SN2004gs,16.1237,8.6364
SN2004gu,2.7293,2.4589
SN2005A,6.3204,2.4539
SN2005ag,8.9214,13.3825
SN2005al,17.0133,4.3153
SN2005am,41.0389,6.6660
SN2005be,6.9573,4.8495
SN2005bg,0.7495,0.3493
SN2005bl,17.2143,8.3520
SN2005bo,14.0569,3.9877
SN2005el,44.7795,13.6136
SN2005eq,30.3173,17.6106
SN2005gj,0.7487,0.8899
SN2005hc,9.4187,8.4997
SN2005hj,2.8546,3.2067
SN2005hk,18.5453,4.9242
SN2005iq,19.9099,13.5052
SN2005ir,0.2988,0.4325
SN2005kc,10.8137,3.3330
SN2005ke,56.6416,5.7051
SN2005ki,71.2477,27.7568
SN2005ku,0.9502,0.8487
SN2005lu,3.5895,2.2948
SN2005M,7.1161,3.1665
SN2005mc,6.1144,3.1054
SN2005na,7.4831,3.9611
SN2005W,56.4221,10.3017
SN2006ax,55.0561,18.7482
SN2006bd,15.1036,7.8191
SN2006bh,53.3453,11.8570
SN2006br,6.6416,3.2913
SN2006bt,49.9115,32.0931
SN2006D,12.5543,2.1994
SN2006dd,16.6589,2.0161
SN2006ef,26.1153,9.4878
SN2006ej,8.1077,3.3582
SN2006eq,10.2626,9.9374
SN2006et,10.5012,4.7058
SN2006ev,26.4122,15.2178
SN2006fw,0.4533,0.7077
SN2006gj,23.1970,13.1944
SN2006gt,17.5877,15.4898
SN2006hb,19.8019,6.1919
SN2006hx,2.1372,1.9110
SN2006is,7.1310,4.4695
SN2006kf,11.8335,5.1000
SN2006lu,4.8699,5.0639
SN2006mr,15.7958,1.9117
SN2006ob,6.1791,7.0783
SN2006os,12.5055,8.1872
SN2006ot,6.4630,6.6658
SN2006py,0.0692,0.0776
SN2006X,47.0401,5.0856
SN2007A,9.5372,3.4200
SN2007af,46.5731,5.2484
SN2007ai,25.2620,15.9823
SN2007al,4.2145,1.0452
SN2007as,14.2270,5.0809
SN2007ax,6.3633,0.8990
SN2007ba,12.1570,9.2793
SN2007bc,33.0099,13.8813
SN2007bd,8.6272,5.3513
SN2007bm,10.7002,1.3695
SN2007ca,28.6576,8.2276
SN2007cg,2.9063,1.9243
SN2007hj,15.8327,4.5604
SN2007hx,13.8728,20.9027
SN2007if,0.0000,0.0000
SN2007jd,4.9267,6.8121
SN2007jg,8.6017,6.3406
SN2007jh,4.9746,4.0110
SN2007le,17.3714,2.4045
SN2007mm,15.7853,20.0989
SN2007N,15.6215,4.1122
SN2007nq,22.0665,19.5412
SN2007ol,1.5616,1.6950
SN2007on,70.9010,9.4852
SN2007S,10.9061,3.0903
SN2007so,7.9070,4.7016
SN2007sr,378.3105,42.7357
SN2007st,5.7332,2.4573
SN2007ux,6.8359,4.2265
SN2008ae,11.7231,7.0417
SN2008ar,6.1728,3.2467
SN2008bc,19.1917,5.9025
SN2008bd,6.0450,3.6431
SN2008bf,50.3715,23.8863
SN2008bi,3.3696,0.9254
SN2008bq,12.6861,8.5946
SN2008bt,16.1464,5.0553
SN2008bz,6.8505,7.9755
SN2008C,2.9215,0.9881
SN2008cc,8.3016,1.7690
SN2008cd,5.4875,0.8369
SN2008cf,2.6130,2.3610
SN2008ff,39.8469,15.5236
SN2008fl,15.2471,6.1534
SN2008fp,18.4418,2.1538
SN2008fr,0.9851,0.7610
SN2008fu,2.6432,2.7003
SN2008fw,65.9898,11.5923
SN2008gg,35.8342,22.9144
SN2008gl,24.7241,16.7581
SN2008go,14.8039,17.7999
SN2008gp,17.7728,11.8412
SN2008ha,11.8328,1.1351
SN2008hj,20.6648,15.5306
SN2008hu,40.4017,39.2695
SN2008hv,38.7397,9.9404
SN2008ia,5.0474,2.2446
SN2008J,4.6982,1.5189
SN2008O,7.0044,5.3918
SN2008R,14.4974,3.9981
SN2009aa,18.3363,10.0582
SN2009ab,36.2690,8.2987
SN2009ad,9.5435,5.4370
SN2009ag,72.0737,12.7930
SN2009al,65.6148,29.3174
SN2009cz,18.6944,7.9966
SN2009D,40.4295,20.3644
SN2009dc,26.2791,11.3724
SN2009ds,12.0580,4.7103
SN2009F,11.6506,3.0849
SN2009I,12.6326,6.6491
SN2009J,26.4220,8.5068
SN2009le,16.0506,5.8004
SN2009P,2.3008,1.1633
SN2009Y,26.5007,5.0881
SN2010ae,1.0131,0.0767
ASAS14ad,10.2687,5.3677
ASAS14hp,16.0054,12.3315
ASAS14hr,3.2688,2.1894
ASAS14hu,31.2809,13.6562
ASAS14jc,3.1500,0.7300
ASAS14jg,15.0166,4.5372
ASAS14jz,16.5305,5.3160
ASAS14kd,3.0933,1.6169
ASAS14kq,9.1366,6.1159
ASAS14lo,20.3477,8.2132
ASAS14lp,12.8383,1.3503
ASAS14lq,64.4367,33.9222
ASAS14lt,4.2649,2.7279
ASAS14lw,13.1751,5.5703
ASAS14me,1.5614,0.5705
ASAS14mf,2.2525,1.3998
ASAS14mw,36.2244,19.9255
ASAS14my,4.4768,1.8586
ASAS15aj,6.7787,1.5157
ASAS15al,7.2200,4.8606
ASAS15as,3.3912,1.9504
ASAS15ba,0.9095,0.4245
ASAS15be,7.0050,3.0993
ASAS15bm,4.4069,1.8545
ASAS15cb,0.4680,0.3704
ASAS15cd,4.0311,2.7530
ASAS15da,16.1927,12.5636
ASAS15db,2.7647,0.6225
ASAS15dd,2.5239,1.2392
ASAS15eb,1.1941,0.4002
ASAS15fr,3.5906,2.3923
ASAS15ga,2.1816,0.2978
ASAS15go,5.0796,1.9491
ASAS15gr,18.9405,9.2721
ASAS15hf,0.1008,0.0128
ASAS15hg,9.0354,5.3835
ASAS15hx,3.6309,0.5968
CSP12G,2.2343,1.1244
CSP12J,0.9803,0.7197
CSP13aad,3.7242,1.1150
CSP13aaf,26.5318,47.6863
CSP13aam,7.2670,11.9508
CSP13aao,0.1203,0.1767
CSP13abl,8.4630,12.0420
CSP13abm,8.7173,10.3176
CSP13abs,1.8353,2.1196
CSP13N,18.9122,21.5696
CSP13Q,5.7198,4.5664
CSP13Z,5.4452,3.0790
CSP14aaq,0.5748,0.8397
CSP14abn,39.4235,38.5109
CSP14acy,3.1841,2.9809
CSP14adc,41.5793,68.3791
CSP14ade,1.5786,1.8288
CSP15aae,57.4217,85.5645
CSP15B,5.5398,8.1216
KISS13j,2.2385,1.5982
KISS13l,2.8008,2.3307
KISS13v,0.9186,1.3830
KISS15m,43.2553,19.6626
KISS15n,1.3064,0.7842
LSQ11ot,11.6346,5.4282
LSQ11pn,8.7984,11.1987
LSQ12agq,2.9675,1.9218
LSQ12aor,4.4162,5.3136
