CID_1,zCMB_1,VPEC_1,VPEC_VARIANCE,NONGAUSS
ASAS14ad,0.0274352,-1246.6816372917615,42160.27803059632,18.1118925968267
ASAS14hp,0.0386676,405.2306399248944,62944.915381209445,33.11540884526788
ASAS14hr,0.0327196,4.575271041805007,51772.03629429531,12.729060580658548
ASAS14hu,0.0218919,86.3754065966141,30916.48248066023,15.849320350363996
ASAS14jc,0.0117796,-273.5581526712225,53308.7808462698,156.30087144665274
ASAS14jg,0.014347,-459.6394435520431,47272.10502299409,19.441730647129233
ASAS14jz,0.0156168,-160.09085788320283,469769.95472142095,4651.208844614644
ASAS14kd,0.0230683,-234.96221336783682,90970.67838164308,83.82264722992953
ASAS14kq,0.0325972,-326.54331001027515,48065.982939937785,205.1870491008952
ASAS14lo,0.0210151,579.7514726184247,615119.8052657378,5292.992880913485
ASAS14lp,0.0062254,149.57719604071974,208247.45019881104,0.0
ASAS14lq,0.0250833,-184.46442941032663,88385.5373218513,42.422335170628216
ASAS14lt,0.0314552,-278.4614332876024,381024.2057806888,2686.798168250492
ASAS14lw,0.0202609,-77.07013675724549,270306.88101471815,2255.2535111732273
ASAS14me,0.017386,-51.248149147618776,62338.966636706995,225.00119031070702
ASAS14mf,0.0301521,-356.882864826594,68629.40609799401,4671.088172227213
ASAS14mw,0.0271207,-110.755381770427,107395.88392866131,210.81593351295095
ASAS14my,0.0217279,-229.1044916521753,178238.34207459106,467.44934868039513
ASAS15aj,0.0120218,155.89114501333373,631111.711551392,106934.41270511599
ASAS15al,0.0337612,377.1981638176694,217078.70012966357,500.3608548440844
ASAS15as,0.0297845,-437.71251834648064,118361.05716823437,175.46166722905934
ASAS15ba,0.0239771,-201.51842572673186,572329.2015974987,5562.620272583441
ASAS15be,0.0213892,-415.2245843186995,91734.32495621436,351.23293966664403
ASAS15bm,0.0214395,454.27801796450115,39946.14500435664,108.77100898318733
ASAS15cb,0.0411361,-168.11051493958877,45623.77136161144,17.94526138888026
ASAS15cd,0.0353887,-691.781096800276,36150.02260650682,14.411771219407486
ASAS15da,0.0488203,-606.0291923464259,32276.3279292258,74.88338298486644
ASAS15db,0.0113676,-162.17094015726707,29750.094214200315,40.94305922475526
ASAS15dd,0.0247417,568.1402629569449,35626.88365280205,7.8141991412914935
ASAS15eb,0.0173082,-171.06812863693827,52047.385641567154,57.59707496108814
ASAS15fr,0.0345082,-251.0891648473169,50855.80271560723,205.0843657319534
ASAS15ga,0.0076517,139.8678542585849,211620.70080692825,0.0
ASAS15go,0.0192546,171.41746553791162,31113.49274193707,207.5551359315178
ASAS15gr,0.0247678,712.7657956790683,45983.81768771851,109.71531129591301
ASAS15hf,0.0072452,43.519860592906,201846.20950432823,0.0
ASAS15hg,0.0308678,-449.28677845005046,153861.2579117028,574.0921751527811
ASAS15hx,0.0092051,187.21163593168018,210358.85623391753,0.0
CSP12G,0.0379661,-524.505798032359,39174.86190346845,17.74410266553032
CSP12J,0.0149235,-139.75448361198337,71200.92978081413,150.43922137216381
CSP12N,0.0982741,-42.59704798358267,185533.7982715882,0.0
CSP13N,0.0487969,-279.1936842614281,86462.49509450537,147.52715701835763
CSP13Q,0.0887656,-55.56830820326918,185898.85705379827,0.0
CSP13Z,0.0800694,-60.600974177056926,187939.55807097594,0.0
CSP13aad,0.0865709,-61.820831300696014,185672.67723110318,0.0
CSP13aaf,0.0787193,2.2109895617384634,190459.7962474537,0.0
CSP13aam,0.0750921,-135.37688423398492,183579.03655197666,0.0
CSP13aao,0.0616022,-147.1859770519023,181859.74026991718,0.0
CSP13aaq,0.0597706,-64.22638864375858,286449.21817497985,817.4522058454783
CSP13aay,0.0587551,-861.7579649539398,1182844.0930021878,3123.241132982283
CSP13abl,0.0406288,119.35349389942722,302446.418002736,14642.511715528577
CSP13abm,0.027529,-498.63593064457046,160459.60703540622,1061.4389623653901
CSP13abs,0.0783462,-46.64057441497897,187043.41643623592,0.0
CSP14aaq,0.0361755,88.29373000738426,482203.04431600665,104070.97567043334
CSP14aar,0.0423854,62.03238972228507,44342.87355691927,139.92015707612651
CSP14abn,0.0232746,-64.85628905933932,31715.170190135104,70.2770823290044
CSP14acl,0.0289327,-154.21165113919932,34893.11431945062,2.3103389276579964
CSP14acy,0.0660269,-90.73674792938515,180009.76160495295,0.0
CSP14adc,0.031651,-620.3725086278598,425969.2483150497,2510.59157793801
CSP14ade,0.0626358,-93.74649128065361,181799.70605269834,0.0
CSP15B,0.0208198,23.673060944640714,64673.626364958,700.4469756678063
CSP15aae,0.0169733,416.6622834878481,48677.98773728786,325.49183664973464
KISS13j,0.0776331,-38.96192849958373,187454.90272870005,0.0
KISS13l,0.1330018,10.054684922264432,185463.9335558855,0.0
KISS13v,0.0962132,-40.41147973912303,185629.81087931053,0.0
KISS15m,0.0253844,726.0265993510782,938616.2310230836,3994.985470014659
