sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,edist,caltype,BV,eBV,covBV_M
SN1970J,0.012549,0.0113134,0.93,0.027,14.865,0.033,-13.1,0.0689,0.0069,0.0005082,33.378,0.192,s,0.231,0.045,0.001089
SN1980N,0.005871,0.0055142,0.863,0.013,12.445,0.008,-12.8,0.018,0.0018,8.91e-06,31.817,0.394,s,0.083,0.013,6.4e-05
SN1981B,0.006031,0.0071733,0.936,0.011,11.961,0.008,-9.1,0.0157,0.0016,3.331e-05,32.389,0.303,s,0.076,0.012,6.4e-05
SN1981D,0.005871,0.0055129,0.817,0.045,12.448,0.034,-15.2,0.0178,0.0018,0.0009893,31.817,0.394,s,0.159,0.054,0.001156
SN1983G,0.003879,0.0049937,1.008,0.04,12.857,0.086,4.6,0.0278,0.0028,-0.0001712,31.602,0.435,s,0.219,0.091,0.007396
SN1991T,0.005791,0.0069323,1.183,0.016,11.564,0.006,-13.1,0.0189,0.0019,2.977e-05,32.314,0.313,s,0.161,0.008,3.6e-05
SN1992A,0.006261,0.0059396,0.786,0.008,12.539,0.006,-7.0,0.0144,0.0014,2.488e-05,31.979,0.365,s,0.039,0.007,3.6e-05
SN1992bo,0.018983,0.0182112,0.718,0.012,15.756,0.011,-7.6,0.0238,0.0024,7.487e-05,34.412,0.119,s,-0.002,0.014,0.000121
SN1994D,0.002058,0.0031773,0.797,0.007,11.777,0.006,-11.7,0.0191,0.0019,2.191e-05,30.62,0.683,s,-0.051,0.008,3.6e-05
SN1995D,0.006561,0.0076747,1.041,0.042,13.282,0.026,-2.4,0.0484,0.0048,0.0004588,32.535,0.283,s,0.058,0.029,0.000676
SN1996X,0.006945,0.0079468,0.9,0.029,13.043,0.022,-3.4,0.0596,0.006,0.0002803,32.611,0.273,s,-0.026,0.026,0.000484
SN1997E,0.013539,0.013527,0.841,0.013,15.181,0.007,-3.2,0.1101,0.011,3.447e-05,33.766,0.16,s,0.081,0.01,4.9e-05
SN1998bp,0.010431,0.0101674,0.607,0.021,15.381,0.016,-1.8,0.0667,0.0067,1.525e-05,33.146,0.213,s,0.307,0.021,0.000256
SN2000cx,0.008016,0.0069779,0.853,0.005,13.107,0.005,-9.1,0.0698,0.007,1.272e-05,32.329,0.311,s,0.062,0.007,2.5e-05
SN2003hv,0.005624,0.0051063,0.791,0.02,12.44,0.05,1.8,0.0133,0.0013,-1.413e-05,31.651,0.425,s,-0.089,0.062,0.0025
SN2006dd,0.005871,0.0055129,0.96,0.003,12.266,0.006,-10.6,0.0179,0.0018,7.029e-06,31.817,0.394,s,-0.039,0.008,3.6e-05
SN2007on,0.006494,0.0061833,0.583,0.003,13.047,0.006,-9.1,0.0098,0.001,5.52e-06,31.998,0.004,s,0.118,0.008,3.6e-05
SN2008Q,0.008016,0.0069785,0.781,0.019,13.462,0.012,-9.5,0.0716,0.0072,0.0001403,32.329,0.311,s,-0.04,0.016,0.000144
SN2011iv,0.006494,0.0061867,0.698,0.009,12.468,0.007,-3.4,0.0098,0.001,2.503e-05,32.067,0.351,s,0.049,0.01,4.9e-05
SN2012cg,0.001458,0.0025798,1.047,0.015,12.078,0.009,-15.8,0.0179,0.0018,8.24e-05,30.168,0.841,s,0.161,0.011,8.1e-05
SN2012fr,0.005457,0.0051327,1.233,0.006,11.974,0.005,-14.5,0.0177,0.0018,1.402e-05,31.662,0.423,s,0.022,0.006,2.5e-05
SN2014bv,0.005594,0.0057398,0.622,0.015,14.006,0.018,-0.2,0.0331,0.0033,-9.386e-05,31.904,0.378,s,0.212,0.022,0.000324
SN2015bp,0.004069,0.0047083,0.697,0.012,13.709,0.013,-11.4,0.0454,0.0045,8.099e-05,31.474,0.461,s,0.039,0.019,0.000169
SN2016coj,0.004523,0.0048865,0.888,0.011,13.173,0.017,-8.4,0.0163,0.0016,0.0001104,31.555,0.444,s,0.175,0.019,0.000289
SN2017fgc,0.007722,0.0066745,0.922,0.016,13.585,0.015,-14.2,0.0294,0.0029,0.0001335,32.232,0.325,s,0.23,0.018,0.000225
SN2018aoz,0.005801,0.006934,0.855,0.008,12.511,0.008,-11.9,0.0721,0.0072,3.638e-05,32.315,0.313,s,-0.097,0.011,6.4e-05
