       name        zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       Ho     eHo   method       BV     eBV    covBV_M  
    SN1970J      0.0132   0.0119644    0.95   0.054   14.808   0.067   -14.0   0.0689   0.0069     0.002535   33.499   0.181     Ho    0.180   0.104   0.004489  
    SN1980N    0.005871   0.0055142   0.903   0.006   12.458   0.009    -1.5    0.018   0.0018    4.425e-06   31.817   0.394     Ho    0.070   0.012   0.000081  
    SN1981B    0.006027   0.0071693   0.941   0.005    11.98   0.005    -6.5   0.0157   0.0016    1.136e-05   32.387   0.303     Ho    0.070   0.008   0.000025  
    SN1981D    0.005871   0.0055129   0.792   0.033   12.551   0.034    -5.4   0.0178   0.0018    0.0001706   31.817   0.394     Ho    0.172   0.038   0.001156  
    SN1983G     0.00206   0.0031747   0.901   0.049   12.902   0.074     2.7   0.0278   0.0028   -1.557e-05   30.619   0.684     Ho    0.213   0.077   0.005476  
    SN1991T    0.005791   0.0069323   1.221    0.01   11.611   0.007   -12.1   0.0189   0.0019    1.863e-05   32.314   0.313     Ho    0.156   0.009   0.000049  
    SN1992A    0.006261   0.0059396   0.786   0.008   12.539   0.006    -7.0   0.0144   0.0014    2.488e-05   31.979   0.365     Ho    0.039   0.007   0.000036  
    SN1994D     0.00149   0.0026093   0.824   0.005    11.84   0.006   -11.6   0.0191   0.0019    1.055e-05   30.193   0.832     Ho   -0.047   0.009   0.000036  
    SN1995D    0.006561   0.0076747   1.175   0.009   13.267   0.008    -2.2   0.0484   0.0048   -1.534e-05   32.535   0.283     Ho   -0.053   0.010   0.000064  
    SN1996X     0.00689   0.0078918   0.918   0.013   13.077   0.016    -3.4   0.0596    0.006    6.341e-05   32.596   0.275     Ho   -0.031   0.019   0.000256  
    SN1997E     0.01354    0.013528   0.836   0.011   15.194   0.007    -3.3   0.1101    0.011    2.951e-05   33.766    0.16     Ho    0.046   0.010   0.000049  
    SN2008Q    0.007935   0.0068975   0.789    0.02   13.469   0.012    -6.6   0.0716   0.0072    0.0001272   32.303   0.315     Ho   -0.041   0.016   0.000144  
   SN1992bo     0.01851   0.0177382   0.734   0.006   15.791   0.009    -7.9   0.0238   0.0024    2.896e-05   34.355   0.122     Ho   -0.003   0.012   0.000081  
   SN1998bp     0.01043   0.0101664   0.563   0.012   15.384   0.012    -1.9   0.0667   0.0067    9.189e-06   33.146   0.213     Ho    0.263   0.016   0.000144  
   SN2000cx    0.007929   0.0068909   0.843   0.005   13.122   0.006    -9.0   0.0698    0.007    1.128e-05   32.301   0.315     Ho    0.053   0.008   0.000036  
   SN2003hv    0.005601   0.0050833   0.789   0.019   12.449   0.049     1.8   0.0133   0.0013   -1.044e-05   31.641   0.427     Ho   -0.079   0.061   0.002401  
   SN2006dd    0.005867   0.0055089   0.951   0.003   12.245   0.005   -10.6   0.0179   0.0018    4.918e-06   31.815   0.394     Ho   -0.065   0.007   0.000025  
   SN2007on     0.00649   0.0061833   0.589   0.003   13.032   0.009    -8.4   0.0098    0.001    6.431e-06   31.998   0.004     Ho    0.115   0.012   0.000081  
   SN2011iv     0.00649   0.0061827   0.701   0.007   12.463   0.008    -3.4   0.0098    0.001    1.166e-05   32.066   0.351     Ho    0.030   0.011   0.000064  
   SN2012cg    0.001458   0.0025798   1.024   0.008   12.002   0.008   -17.5   0.0179   0.0018    3.188e-05   30.168   0.841     Ho    0.075   0.009   0.000064  
   SN2012fr   0.0054533   0.0051291   1.107   0.004   11.935   0.005   -12.7   0.0177   0.0018    1.897e-06    31.66   0.423     Ho    0.013   0.006   0.000025  
   SN2014bv    0.005594   0.0057398   0.622   0.015   14.006   0.018    -0.2   0.0331   0.0033   -9.386e-05   31.904   0.378     Ho    0.212   0.022   0.000324  
   SN2015bp    0.004069   0.0047083    0.71   0.007   13.779    0.01    -5.2   0.0454   0.0045    3.304e-05   31.474   0.461     Ho    0.083   0.013   0.000100  
   SN2020ue    0.003129   0.0042534   0.714   0.011   11.983    0.01    -9.6   0.0241   0.0024    6.045e-05   31.254    0.51     Ho   -0.089   0.013   0.000100  
  SN2016coj    0.004483   0.0048465   0.811   0.008   13.101   0.009   -11.5   0.0163   0.0016    3.193e-05   31.537   0.448     Ho    0.000   0.013   0.000081  
  SN2017fgc    0.007722   0.0066745   1.171   0.012    14.02   0.014   -13.3   0.0294   0.0029   -5.612e-06   32.232   0.325     Ho    0.376   0.017   0.000196  
  SN2018aoz    0.005801    0.006934   0.855   0.008   12.511   0.008   -11.9   0.0721   0.0072    3.635e-05   32.315   0.313     Ho   -0.222   0.010   0.000064  
