name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,BV,eBV,covBV_M
SN1997cn,0.0162,0.0169898,0.656,0.023,16.522,0.036,17.1,0.0229,0.0023,-0.0002219,0.402,0.046,0.001296
SN1999ej,0.01372,0.0127757,0.779,0.023,15.435,0.005,-2.9,0.0605,0.006,1.341e-05,0.017,0.007,2.5e-05
SN2002cs,0.01577,0.0153173,1.236,0.016,15.207,0.013,-9.4,0.0878,0.0088,8.522e-05,0.047,0.016,0.000169
SN2002ha,0.014046,0.0130545,0.832,0.005,14.744,0.005,-12.0,0.0852,0.0085,8.086e-06,-0.064,0.007,2.5e-05
SN2007cv,0.0076,0.0087491,0.711,0.01,15.06,0.012,-8.7,0.0611,0.0061,6.998e-05,0.018,0.017,0.000144
SN2008L,0.0194,0.0188584,0.768,0.015,15.272,0.019,2.4,0.1357,0.0136,0.0001465,-0.066,0.025,0.000361
SN2008hs,0.017349,0.0166411,0.625,0.006,16.052,0.019,-8.7,0.0497,0.005,3.105e-05,0.086,0.024,0.000361
SN2010Y,0.0109,0.0112644,0.66,0.006,15.005,0.013,-8.4,0.0117,0.0012,1.663e-05,0.02,0.016,0.000169
SN2016ajf,0.0203,0.0197686,0.493,0.016,16.927,0.051,-4.1,0.1417,0.0142,0.000114,0.56,0.076,0.002601
SN2019ein,0.007755,0.0083714,0.864,0.01,14.179,0.018,-6.4,0.0099,0.001,0.0001092,-0.014,0.022,0.000324
SN2008R,0.0134933,0.0128867,0.632,0.006,15.27,0.008,-1.4,0.0618,0.0062,1.943e-06,0.12,0.011,6.4e-05
PTF13ebh,0.01326,0.012484,0.632,0.004,15.042,0.007,-13.1,0.0668,0.0067,6.795e-06,0.117,0.009,4.9e-05
SN2008ia,0.0219833,0.02254,0.834,0.006,15.88,0.011,-3.7,0.1954,0.0195,8.762e-06,-0.035,0.016,0.000121
SN2006ef,0.01787,0.0170267,0.858,0.02,15.44,0.067,10.0,0.0201,0.002,-3.546e-05,-0.024,0.081,0.004489
SN2008hv,0.01254,0.01358,0.867,0.004,14.74,0.009,-10.7,0.0279,0.0028,9.466e-06,-0.047,0.011,0.000081
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.762,0.008,-6.6,0.0226,0.0023,4.715e-06,0.455,0.011,0.000064
