       name       zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       Ho     eHo   method       BV     eBV    covBV_M  
   SN1997cn     0.0162   0.0169898   0.656   0.023   16.522   0.036    17.1   0.0229   0.0023   -0.0002219   34.261   0.128       Ho    0.402   0.046   0.001296  
   SN1999ej    0.01372   0.0127757   0.779   0.023   15.435   0.005    -2.9   0.0605    0.006    1.341e-05   33.642    0.17       Ho    0.017   0.007   0.000025  
   SN2002cs    0.01577   0.0153173   1.236   0.016   15.207   0.013    -9.4   0.0878   0.0088    8.522e-05   34.036   0.142       Ho    0.047   0.016   0.000169  
   SN2002ha   0.014046   0.0130545   0.832   0.005   14.744   0.005   -12.0   0.0852   0.0085    8.086e-06   33.689   0.166       Ho   -0.064   0.007   0.000025  
   SN2007cv     0.0076   0.0087491   0.711    0.01    15.06   0.012    -8.7   0.0611   0.0061    6.998e-05    32.82   0.248       Ho    0.018   0.017   0.000144  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.272   0.019     2.4   0.1357   0.0136    0.0001465   34.488   0.115       Ho   -0.066   0.025   0.000361  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.272   0.019     2.4   0.1357   0.0136    0.0001465   34.488   0.115       Ho   -0.066   0.025   0.000361  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.272   0.019     2.4   0.1357   0.0136    0.0001465   34.488   0.115       Ho   -0.066   0.025   0.000361  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.272   0.019     2.4   0.1357   0.0136    0.0001465   34.488   0.115       Ho   -0.066   0.025   0.000361  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.272   0.019    -9.1   0.1357   0.0136    0.0001465   34.488   0.115       Ho   -0.066   0.025   0.000361  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.272   0.019    -9.1   0.1357   0.0136    0.0001465   34.488   0.115       Ho   -0.066   0.025   0.000361  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.272   0.019    -9.1   0.1357   0.0136    0.0001465   34.488   0.115       Ho   -0.066   0.025   0.000361  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.272   0.019    -9.1   0.1357   0.0136    0.0001465   34.488   0.115       Ho   -0.066   0.025   0.000361  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.052   0.019    -8.7   0.0497    0.005    3.105e-05   34.216    0.13       Ho    0.086   0.024   0.000361  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.052   0.019    -8.7   0.0497    0.005    3.105e-05   34.216    0.13       Ho    0.086   0.024   0.000361  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.052   0.019    -8.7   0.0497    0.005    3.105e-05   34.216    0.13       Ho    0.086   0.024   0.000361  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.052   0.019    -8.7   0.0497    0.005    3.105e-05   34.216    0.13       Ho    0.086   0.024   0.000361  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.052   0.019   -10.6   0.0497    0.005    3.105e-05   34.216    0.13       Ho    0.086   0.024   0.000361  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.052   0.019   -10.6   0.0497    0.005    3.105e-05   34.216    0.13       Ho    0.086   0.024   0.000361  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.052   0.019   -10.6   0.0497    0.005    3.105e-05   34.216    0.13       Ho    0.086   0.024   0.000361  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.052   0.019   -10.6   0.0497    0.005    3.105e-05   34.216    0.13       Ho    0.086   0.024   0.000361  
    SN2010Y     0.0109   0.0112644    0.66   0.006   15.005   0.013    -8.4   0.0117   0.0012    1.663e-05   33.369   0.193       Ho    0.020   0.016   0.000169  
  SN2016ajf     0.0203   0.0197686   0.493   0.016   16.927   0.051    -4.1   0.1417   0.0142     0.000114    34.59    0.11       Ho    0.560   0.076   0.002601  
  SN2019ein   0.007755   0.0083714   0.864    0.01   14.179   0.018    -6.4   0.0099    0.001    0.0001092   32.724   0.259       Ho   -0.014   0.022   0.000324  
