      name        zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       Ho     eHo   meth       BV     eBV    covBV_M  
   SN1980N    0.005871   0.0055142   0.903   0.006   12.929   0.043     9.1    0.018   0.0018    7.153e-05   31.817   0.394     Ho    0.070   0.012   0.000000  
   SN1981B    0.006027   0.0071693   0.941   0.005   12.513   0.035    10.5   0.0157   0.0016   -2.518e-06   32.387   0.303     Ho    0.070   0.008   0.000000  
   SN1981D    0.005871   0.0055129   0.792   0.033    12.99   0.044     8.0   0.0178   0.0018   -0.0001468   31.817   0.394     Ho    0.172   0.038   0.000000  
   SN1996X     0.00689   0.0078918   0.918   0.013   13.752   0.184    16.1   0.0596    0.006    0.0001393   32.596   0.275     Ho   -0.031   0.019   0.000000  
  SN2000cx    0.007929   0.0068909   0.843   0.005   14.143   0.026    -3.4   0.0698    0.007    2.688e-05   32.301   0.315     Ho    0.053   0.008   0.000000  
  SN2003hv    0.005601   0.0050833   0.789   0.019   12.999   0.035     6.5   0.0133   0.0013        3e-05   31.641   0.427     Ho   -0.079   0.061   0.000000  
  SN2006dd    0.005867   0.0055089   0.951   0.003   12.823   0.007    -6.2   0.0179   0.0018    4.609e-06   31.815   0.394     Ho   -0.065   0.007   0.000000  
  SN2007on     0.00649   0.0061833   0.589   0.003   13.285   0.013    -6.6   0.0098    0.001   -2.715e-06   31.998   0.004     Ho    0.115   0.012   0.000000  
  SN2011iv     0.00649   0.0061827   0.701   0.007   12.788   0.033     1.2   0.0098    0.001   -3.699e-05   32.066   0.351     Ho    0.030   0.011   0.000000  
  SN2012cg    0.001458   0.0025798   1.024   0.008   12.552   0.017   -10.1   0.0179   0.0018    1.078e-05   30.168   0.841     Ho    0.075   0.009   0.000000  
  SN2012fr   0.0054533   0.0051291   1.107   0.004    12.97    0.01    -7.2   0.0177   0.0018    2.492e-06    31.66   0.423     Ho    0.013   0.006   0.000000  
