name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
ASAS14ad,0.0264,0.0274352,1.0224989119492163,0.004766230359192222,17.274146003628864,0.08030798464759349,11.2,0.0159,0.0016,5.421e-06,Ho,CSPII,Ia,0.973,0,1,-0.034327842365506456,0.014701124944878234,0.0
ASAS14hp,0.0388933,0.0386676,1.0864036783619533,0.009657754645761669,17.67682008755482,0.0536261186954566,4.1,0.0295,0.0029,1.978e-05,Ho,CSPII,Ia,0.984,1,0,-0.07046663476397796,0.007398810727204866,0.0
ASAS14hr,0.0335967,0.0327196,0.785236631709155,0.006304033568374523,17.404466868080533,0.07367979479783318,1.7,0.0131,0.0013,-8.493e-06,Ho,CSPII,Ia,0.985,1,0,0.052067429853842384,0.014070757459476852,0.0
ASAS14hu,0.0215851,0.0218919,1.081973039733661,0.0074972596980795204,16.492849202344246,0.026158283589671982,-1.4,0.0612,0.0061,1.754e-05,Ho,CSPII,Ia,0.983,0,1,-0.05812988236086447,0.006884103235948342,0.0
ASAS14jc,0.0113167,0.0117796,0.9101274745393709,0.007310288734753357,14.952177229540435,0.06578417865981304,9.2,0.1346,0.0135,1.137e-05,Ho,CSPII,Ia,0.962,0,1,0.44469548206593323,0.015817726039366892,0.0
ASAS14jg,0.0148167,0.014347,1.1245166285951296,0.025547137476476932,15.614828065652187,0.0710361786298002,9.8,0.0128,0.0013,-1.272e-05,Ho,CSPII,Ia,0.961,0,1,0.09337785175103264,0.06131209702412014,0.0
ASAS14jz,0.0157891,0.0156168,0.9768344412567868,0.007515104855580631,15.33800220549511,0.0471999792395945,-4.1,0.0472,0.0047,-9.462e-06,Ho,CSPII,Ia,0.952,0,0,-0.03327912803150035,0.005943334348908313,0.0
ASAS14kd,0.0243,0.0230683,1.1344136521807762,0.010581247733024114,16.372808809194467,0.12625457950349617,14.5,0.0574,0.0057,-7.291e-06,Ho,CSPII,Ia-91T,0.941,0,0,0.2280953085562949,0.009449824637927833,0.0
ASAS14lp,0.0050967,0.0062254,1.0827805148491885,0.00527472609343439,12.430271736235197,0.0211292968736805,-8.5,0.0213,0.0021,7.614e-06,Ho,CSPII,Ia,0.335,0,1,0.24305746982761356,0.006433278714805022,0.0
ASAS14lq,0.0261733,0.0250833,0.9806057553781313,0.026311754889613733,16.984373197886583,0.12693767729127844,13.0,0.0275,0.0028,3.217e-05,Ho,CSPII,Ia,0.977,0,1,0.030621082599800786,0.07679189486415891,0.0
ASAS14lt,0.0320233,0.0314552,0.9341177496266908,0.01059711392671531,17.13473992769135,0.03788389517244705,0.9,0.0474,0.0047,2.914e-06,Ho,CSPII,Ia,0.984,1,0,-0.0018527624492996608,0.021100553236683337,0.0
ASAS14lw,0.0208855,0.0202609,1.1396973993975852,0.011883532394927046,16.534451953720257,0.11425178268491934,-4.8,0.0117,0.0012,2.512e-05,Ho,CSPII,Ia,0.939,0,1,-0.02413366399232153,0.01288199007669448,0.0
ASAS14me,0.0178,0.017386,1.0868017897595597,0.007096876128846791,16.03353883513239,0.057805792229621844,5.9,0.0175,0.0018,1.005e-05,Ho,CSPII,Ia,0.981,0,1,-0.015483211926694551,0.007993423785163115,0.0
ASAS14mw,0.0273867,0.0271207,1.0647124662683225,0.005997686080827928,16.934672772821504,0.027354316909120758,-0.3,0.0179,0.0018,8.659e-06,Ho,CSPII,Ia,0.984,1,1,-0.051445912243687886,0.006126070914194977,0.0
ASAS14my,0.0205,0.0217279,0.9053045358915472,0.005542041620623179,16.279221234681508,0.03197309444790361,-3.8,0.0316,0.0032,1.462e-06,Ho,CSPII,Ia,0.975,0,1,0.0343705282357778,0.013418371798176728,0.0
ASAS15aj,0.0109133,0.0120218,0.7577866377044061,0.006466545798845041,14.805631511350384,0.06863932983489342,2.2,0.0656,0.0066,3.01e-05,Ho,CSPII,Ia,0.952,0,1,0.09463047788340795,0.0118247159661998,0.0
ASAS15al,0.0337766,0.0337612,1.102849685750354,0.027481828344267017,17.74975164987711,0.09007403741566396,23.7,0.0293,0.0029,4.441e-05,Ho,CSPII,Ia,0.916,1,0,0.036510404552650755,0.062166913348385804,0.0
ASAS15as,0.0286801,0.0297845,1.2636444732891594,0.008138669353056207,17.203073027742345,0.0522470761884676,16.0,0.0398,0.004,-3.904e-06,Ho,CSPII,Ia,0.985,1,1,-0.0028910134131336918,0.010451728149699028,0.0
ASAS15ba,0.0231167,0.0239771,0.9683939440491436,0.00618701058384533,16.820872036965564,0.059457506137993124,9.4,0.0223,0.0022,6.377e-06,Ho,CSPII,Ia,0.983,0,1,0.021166901585900177,0.009329441186884611,0.0
ASAS15be,0.0218833,0.0213892,1.1966517726549473,0.005414643129027668,16.60148506091568,0.03052019294378529,4.1,0.0167,0.0017,4.425e-06,Ho,CSPII,Ia,0.976,0,1,0.009348413248595477,0.007924696814566125,0.0
ASAS15bm,0.0207856,0.0214395,0.9955718374382256,0.0064178313102636825,16.355477057252482,0.02370079014568886,-0.2,0.069,0.0069,5.783e-06,Ho,CSPII,Ia,0.976,0,1,0.13431088268477787,0.010930199678678656,0.0
ASAS15cb,0.04001,0.0411361,1.110301828434523,0.04351877159407786,17.441550991315353,0.0850205070895665,7.4,0.0279,0.0028,0.0004595,Ho,CSPII,Ia,0.583,1,0,0.10208314352264125,0.07923132751635208,0.0
ASAS15cd,0.0342863,0.0353887,1.0125940635941202,0.00709744851766303,17.5957796716467,0.02692181635545983,0.9,0.0261,0.0026,6.798e-06,Ho,CSPII,Ia,0.983,1,0,-0.020460670898575728,0.01174035624630064,0.0
ASAS15db,0.01099,0.0113676,0.922299103338607,0.0033724358615857142,14.974688770139014,0.039296052406765244,17.3,0.029,0.0029,2.885e-06,Ho,CSPII,Ia,0.975,0,0,0.08275731060430225,0.006961818862957195,0.0
ASAS15dd,0.0243567,0.0247417,0.827711718606551,0.00504988710685538,16.104010186247653,0.06191907958489025,14.9,0.0461,0.0046,9.761e-06,Ho,CSPII,Ia,0.962,0,0,-0.010798439153141715,0.010118851762298863,0.0
