      name        zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       Ho     eHo   meth       BV     eBV    covBV_M  
   SN1980N    0.005871   0.0055142   0.903   0.006   12.691   0.082     8.3    0.018   0.0018    3.136e-05   31.817   0.394     Ho    0.070   0.012   0.000000  
   SN1981B    0.006027   0.0071693   0.941   0.005   12.417   0.083     9.9   0.0157   0.0016     4.88e-06   32.387   0.303     Ho    0.070   0.008   0.000000  
   SN1981D    0.005871   0.0055129   0.792   0.033   12.871   0.087     6.9   0.0178   0.0018    3.485e-06   31.817   0.394     Ho    0.172   0.038   0.000000  
   SN1996X     0.00689   0.0078918   0.918   0.013   13.471    0.15    15.4   0.0596    0.006    -6.48e-05   32.596   0.275     Ho   -0.031   0.019   0.000000  
  SN2000cx    0.007929   0.0068909   0.843   0.005    13.91   0.028    -4.5   0.0698    0.007    1.167e-05   32.301   0.315     Ho    0.053   0.008   0.000000  
  SN2003hv    0.005601   0.0050833   0.789   0.019   12.798   0.071     5.4   0.0133   0.0013   -4.088e-06   31.641   0.427     Ho   -0.079   0.061   0.000000  
  SN2006dd    0.005867   0.0055089   0.951   0.003   12.739   0.008    -6.7   0.0179   0.0018    3.595e-06   31.815   0.394     Ho   -0.065   0.007   0.000000  
  SN2007on     0.00649   0.0061833   0.589   0.003   13.126   0.014    -7.8   0.0098    0.001   -1.206e-05   31.998   0.004     Ho    0.115   0.012   0.000000  
  SN2011iv     0.00649   0.0061827   0.701   0.007   12.658   0.025     0.1   0.0098    0.001   -3.169e-05   32.066   0.351     Ho    0.030   0.011   0.000000  
  SN2012cg    0.001458   0.0025798   1.024   0.008   12.323   0.016   -10.0   0.0179   0.0018    4.607e-05   30.168   0.841     Ho    0.075   0.009   0.000000  
  SN2012fr   0.0054533   0.0051291   1.107   0.004   12.717   0.009    -3.8   0.0177   0.0018    6.632e-06    31.66   0.423     Ho    0.013   0.006   0.000000  
