       name        zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       Ho     eHo   meth       BV     eBV     covBV_M  
    SN1970J      0.0132   0.0119644    0.95   0.054   14.628   0.079    -9.1   0.0689   0.0069     0.002351   33.499   0.181     Ho    0.180   0.104   -0.006241  
    SN1980N    0.005871   0.0055142   0.903   0.006   12.388   0.008    -2.9    0.018   0.0018   -5.356e-07   31.817   0.394     Ho    0.070   0.012   -0.000064  
    SN1981B    0.006027   0.0071693   0.941   0.005    11.91   0.006    -2.7   0.0157   0.0016    1.258e-05   32.387   0.303     Ho    0.070   0.008   -0.000036  
    SN1981D    0.005871   0.0055129   0.792   0.033   12.379   0.018    -6.7   0.0178   0.0018    0.0001347   31.817   0.394     Ho    0.172   0.038   -0.000324  
    SN1983G     0.00206   0.0031747   0.901   0.049   12.689   0.022    -3.9   0.0278   0.0028   -5.061e-05   30.619   0.684     Ho    0.213   0.077   -0.000484  
    SN1991T    0.005791   0.0069323   1.221    0.01   11.455   0.006   -13.4   0.0189   0.0019   -5.761e-06   32.314   0.313     Ho    0.156   0.009   -0.000036  
    SN1992A    0.006261   0.0059396   0.786   0.008     12.5   0.004    -8.2   0.0144   0.0014    1.684e-05   31.979   0.365     Ho    0.039   0.007   -0.000016  
    SN1994D     0.00149   0.0026093   0.824   0.005   11.887   0.007   -12.9   0.0191   0.0019    1.549e-05   30.193   0.832     Ho   -0.047   0.009   -0.000049  
    SN1995D    0.006561   0.0076747   1.175   0.009    13.32   0.006    -9.9   0.0484   0.0048    9.209e-06   32.535   0.283     Ho   -0.053   0.010   -0.000036  
    SN1996X     0.00689   0.0078918   0.918   0.013   13.108    0.01    -6.1   0.0596    0.006    4.419e-05   32.596   0.275     Ho   -0.031   0.019   -0.000100  
    SN1997E     0.01354    0.013528   0.836   0.011   15.148   0.007    -4.7   0.1101    0.011    4.278e-05   33.766    0.16     Ho    0.046   0.010   -0.000049  
    SN2008Q    0.007935   0.0068975   0.789    0.02    13.51    0.01    -7.8   0.0716   0.0072    8.224e-05   32.303   0.315     Ho   -0.041   0.016   -0.000100  
   SN1992bo     0.01851   0.0177382   0.734   0.006   15.794   0.008    -9.1   0.0238   0.0024    1.669e-05   34.355   0.122     Ho   -0.003   0.012   -0.000064  
   SN1998bp     0.01043   0.0101664   0.563   0.012   15.121    0.01    -3.1   0.0667   0.0067    4.135e-05   33.146   0.213     Ho    0.263   0.016   -0.000100  
   SN2000cx    0.007929   0.0068909   0.843   0.005   13.069   0.006   -10.4   0.0698    0.007    9.673e-06   32.301   0.315     Ho    0.053   0.008   -0.000036  
   SN2003hv    0.005601   0.0050833   0.789   0.019   12.528   0.036     0.5   0.0133   0.0013   -8.536e-06   31.641   0.427     Ho   -0.079   0.061   -0.001296  
   SN2006dd    0.005867   0.0055089   0.951   0.003    12.31   0.005   -14.3   0.0179   0.0018    6.264e-06   31.815   0.394     Ho   -0.065   0.007   -0.000025  
   SN2007on     0.00649   0.0061833   0.589   0.003   12.917   0.008    -9.6   0.0098    0.001    4.708e-06   31.998   0.004     Ho    0.115   0.012   -0.000064  
   SN2011iv     0.00649   0.0061827   0.701   0.007   12.433   0.007    -4.5   0.0098    0.001    1.473e-05   32.066   0.351     Ho    0.030   0.011   -0.000049  
   SN2012cg    0.001458   0.0025798   1.024   0.008   11.927   0.005   -18.7   0.0179   0.0018    5.628e-06   30.168   0.841     Ho    0.075   0.009   -0.000025  
   SN2012fr   0.0054533   0.0051291   1.107   0.004   11.922   0.003   -14.0   0.0177   0.0018      4.9e-06    31.66   0.423     Ho    0.013   0.006   -0.000009  
   SN2014bv    0.005594   0.0057398   0.622   0.015   13.794   0.013    -1.4   0.0331   0.0033     1.03e-06   31.904   0.378     Ho    0.212   0.022   -0.000169  
   SN2015bp    0.004069   0.0047083    0.71   0.007   13.696   0.008   -12.9   0.0454   0.0045    2.138e-05   31.474   0.461     Ho    0.083   0.013   -0.000064  
   SN2020ue    0.003129   0.0042534   0.714   0.011   12.072   0.008   -10.7   0.0241   0.0024     3.24e-05   31.254    0.51     Ho   -0.089   0.013   -0.000064  
  SN2016coj    0.004483   0.0048465   0.811   0.008   13.101   0.009   -12.8   0.0163   0.0016    3.716e-05   31.537   0.448     Ho    0.000   0.013   -0.000081  
  SN2017fgc    0.007722   0.0066745   1.171   0.012   13.644   0.009   -14.4   0.0294   0.0029    4.941e-05   32.232   0.325     Ho    0.376   0.017   -0.000081  
  SN2018aoz    0.005801    0.006934   0.855   0.008   12.608   0.007   -13.1   0.0721   0.0072     2.54e-05   32.315   0.313     Ho   -0.222   0.010   -0.000036  
