       name       zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw       covMs       Ho     eHo   method       BV     eBV     covBV_M  
   SN1997cn     0.0162   0.0169898   0.656   0.023    16.12   0.029    16.0   0.0229   0.0023   0.0002142   34.261   0.128       Ho    0.402   0.046   -0.000841  
   SN1999ej    0.01372   0.0127757   0.779   0.023   15.418   0.005    -4.2   0.0605    0.006   3.807e-06   33.642    0.17       Ho    0.017   0.007   -0.000025  
   SN2002cs    0.01577   0.0153173   1.236   0.016    15.16    0.01   -10.5   0.0878   0.0088   9.947e-06   34.036   0.142       Ho    0.047   0.016   -0.000100  
   SN2002ha   0.014046   0.0130545   0.832   0.005   14.808   0.005   -13.3   0.0852   0.0085   8.674e-06   33.689   0.166       Ho   -0.064   0.007   -0.000025  
   SN2007cv     0.0076   0.0087491   0.711    0.01   15.042   0.012    -9.8   0.0611   0.0061   5.898e-05    32.82   0.248       Ho    0.018   0.017   -0.000144  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.338   0.016    -3.9   0.1357   0.0136   2.148e-05   34.488   0.115       Ho   -0.066   0.025   -0.000256  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.338   0.016    -3.9   0.1357   0.0136   2.148e-05   34.488   0.115       Ho   -0.066   0.025   -0.000256  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.338   0.016   -10.3   0.1357   0.0136   2.148e-05   34.488   0.115       Ho   -0.066   0.025   -0.000256  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.338   0.016   -10.3   0.1357   0.0136   2.148e-05   34.488   0.115       Ho   -0.066   0.025   -0.000256  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.338   0.016   -10.3   0.1357   0.0136   2.148e-05   34.488   0.115       Ho   -0.066   0.025   -0.000256  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.338   0.016   -10.3   0.1357   0.0136   2.148e-05   34.488   0.115       Ho   -0.066   0.025   -0.000256  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.338   0.016    -3.9   0.1357   0.0136   2.148e-05   34.488   0.115       Ho   -0.066   0.025   -0.000256  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.338   0.016    -3.9   0.1357   0.0136   2.148e-05   34.488   0.115       Ho   -0.066   0.025   -0.000256  
   SN2008hs   0.017349   0.0166411   0.625   0.006   15.966   0.014    -9.9   0.0497    0.005   2.886e-05   34.216    0.13       Ho    0.086   0.024   -0.000196  
   SN2008hs   0.017349   0.0166411   0.625   0.006   15.966   0.014    -9.9   0.0497    0.005   2.886e-05   34.216    0.13       Ho    0.086   0.024   -0.000196  
   SN2008hs   0.017349   0.0166411   0.625   0.006   15.966   0.014    -9.9   0.0497    0.005   2.886e-05   34.216    0.13       Ho    0.086   0.024   -0.000196  
   SN2008hs   0.017349   0.0166411   0.625   0.006   15.966   0.014    -9.9   0.0497    0.005   2.886e-05   34.216    0.13       Ho    0.086   0.024   -0.000196  
   SN2008hs   0.017349   0.0166411   0.625   0.006   15.966   0.014   -11.8   0.0497    0.005   2.886e-05   34.216    0.13       Ho    0.086   0.024   -0.000196  
   SN2008hs   0.017349   0.0166411   0.625   0.006   15.966   0.014   -11.8   0.0497    0.005   2.886e-05   34.216    0.13       Ho    0.086   0.024   -0.000196  
   SN2008hs   0.017349   0.0166411   0.625   0.006   15.966   0.014   -11.8   0.0497    0.005   2.886e-05   34.216    0.13       Ho    0.086   0.024   -0.000196  
   SN2008hs   0.017349   0.0166411   0.625   0.006   15.966   0.014   -11.8   0.0497    0.005   2.886e-05   34.216    0.13       Ho    0.086   0.024   -0.000196  
    SN2010Y     0.0109   0.0112644    0.66   0.006   14.985    0.01    -9.6   0.0117   0.0012   1.981e-05   33.369   0.193       Ho    0.020   0.016   -0.000100  
  SN2016ajf     0.0203   0.0197686   0.493   0.016   16.367   0.057    -5.6   0.1417   0.0142   0.0001191    34.59    0.11       Ho    0.560   0.076   -0.003249  
  SN2019ein   0.007755   0.0083714   0.864    0.01   14.193   0.013    -7.8   0.0099    0.001   7.664e-05   32.724   0.259       Ho   -0.014   0.022   -0.000169  
