name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,BV,eBV,covBV_M
none,0.0162,0.0169898,0.656,0.023,17.042,0.054,18.7,0.0229,0.0023,-0.000486,0.402,0.046,0.0
SN2008R,0.0134933,0.0128867,0.632,0.006,15.46,0.057,5.7,0.0618,0.0062,-4.265e-05,0.12,0.011,0.0
SN2008R,0.0134933,0.0128867,0.632,0.006,15.46,0.057,2.7,0.0618,0.0062,-4.265e-05,0.12,0.011,0.0
PTF13ebh,0.01326,0.012484,0.632,0.004,15.196,0.024,-9.9,0.0668,0.0067,-3.104e-06,0.117,0.009,0.0
SN2008ia,0.0219833,0.02254,0.834,0.006,16.443,0.02,2.6,0.1954,0.0195,1.569e-05,-0.035,0.016,0.0
SN2008ia,0.0219833,0.02254,0.834,0.006,16.443,0.02,31.6,0.1954,0.0195,1.569e-05,-0.035,0.016,0.0
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.168,0.035,11.4,0.0226,0.0023,1.934e-05,0.455,0.011,0.000000
SN2008hv,0.01254,0.01358,0.867,0.004,15.428,0.015,-8.2,0.0279,0.0028,4.835e-06,-0.047,0.011,0.000000


