name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,BV,eBV,covBV_M
SN1997cn,0.0162,0.0169898,0.656,0.023,16.466,0.038,18.8,0.0229,0.0023,-0.0003931,0.402,0.046,0.0
SN1999ej,0.01372,0.0127757,0.779,0.023,15.94,0.011,-0.6,0.0605,0.006,-3.377e-06,0.017,0.007,0.0
SN2002cs,0.01577,0.0153173,1.236,0.016,15.56,0.022,-6.6,0.0878,0.0088,0.0001256,0.047,0.016,0.0
SN2002ha,0.014046,0.0130545,0.832,0.005,15.376,0.009,-9.4,0.0852,0.0085,8.998e-06,-0.064,0.007,0.0
SN2008L,0.0194,0.0188584,0.768,0.015,16.056,0.033,-6.8,0.1357,0.0136,-3.245e-06,-0.066,0.025,0.0
SN2008hs,0.017349,0.0166411,0.625,0.006,16.471,0.019,-9.2,0.0497,0.005,4.97e-06,0.086,0.024,0.0
SN2010Y,0.0109,0.0112644,0.66,0.006,15.46,0.016,-6.8,0.0117,0.0012,1.668e-06,0.02,0.016,0.0
SN2016ajf,0.0203,0.0197686,0.493,0.016,16.685,0.027,-3.7,0.1417,0.0142,5.268e-05,0.56,0.076,0.0
SN2019ein,0.007755,0.0083714,0.864,0.01,14.641,0.071,12.2,0.0099,0.001,5.333e-05,-0.014,0.022,0.0
SN2008R,0.0134933,0.0128867,0.632,0.006,15.573,0.015,0.1,0.0618,0.0062,-1.354e-05,0.12,0.011,0.0
PTF13ebh,0.01326,0.012484,0.632,0.004,15.334,0.011,-11.6,0.0668,0.0067,-1.175e-06,0.117,0.009,0.0
SN2008ia,0.0219833,0.02254,0.834,0.006,16.553,0.021,-1.1,0.1954,0.0195,7.032e-06,-0.035,0.016,0.0
SN2006ef,0.01787,0.0170267,0.858,0.02,16.141,0.066,12.8,0.0201,0.002,1.392e-05,-0.024,0.081,0.0
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.521,0.011,-6.4,0.0226,0.0023,1.338e-05,0.455,0.011,0.000000
SN2008hv,0.01254,0.01358,0.867,0.004,15.454,0.013,-7.8,0.0279,0.0028,5.977e-06,-0.047,0.011,0.000000

