       name       zhel        zcmb      st     est     Mmax   eMmax     t0    EBVmw   eEBVmw        covMs       Ho     eHo   method       BV     eBV    covBV_M  
   SN1997cn     0.0162   0.0169898   0.656   0.023   16.466   0.038   18.8   0.0229   0.0023   -0.0003931   34.261   0.128       Ho    0.402   0.046   0.000000  
   SN1999ej    0.01372   0.0127757   0.779   0.023    15.94   0.011   -0.6   0.0605    0.006   -3.377e-06   33.642    0.17       Ho    0.017   0.007   0.000000  
   SN2002cs    0.01577   0.0153173   1.236   0.016    15.56   0.022   -6.6   0.0878   0.0088    0.0001256   34.036   0.142       Ho    0.047   0.016   0.000000  
   SN2002ha   0.014046   0.0130545   0.832   0.005   15.376   0.009   -9.4   0.0852   0.0085    8.998e-06   33.689   0.166       Ho   -0.064   0.007   0.000000  
    SN2008L     0.0194   0.0188584   0.768   0.015   16.056   0.033   -6.8   0.1357   0.0136   -3.245e-06   34.488   0.115       Ho   -0.066   0.025   0.000000  
    SN2008L     0.0194   0.0188584   0.768   0.015   16.056   0.033   -6.8   0.1357   0.0136   -3.245e-06   34.488   0.115       Ho   -0.066   0.025   0.000000  
    SN2008L     0.0194   0.0188584   0.768   0.015   16.056   0.033   -6.8   0.1357   0.0136   -3.245e-06   34.488   0.115       Ho   -0.066   0.025   0.000000  
    SN2008L     0.0194   0.0188584   0.768   0.015   16.056   0.033   -6.8   0.1357   0.0136   -3.245e-06   34.488   0.115       Ho   -0.066   0.025   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.471   0.019   -9.2   0.0497    0.005     4.97e-06   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.471   0.019   -9.2   0.0497    0.005     4.97e-06   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.471   0.019   -9.2   0.0497    0.005     4.97e-06   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.471   0.019   -9.2   0.0497    0.005     4.97e-06   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.471   0.019   -7.4   0.0497    0.005     4.97e-06   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.471   0.019   -7.4   0.0497    0.005     4.97e-06   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.471   0.019   -7.4   0.0497    0.005     4.97e-06   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.471   0.019   -7.4   0.0497    0.005     4.97e-06   34.216    0.13       Ho    0.086   0.024   0.000000  
    SN2010Y     0.0109   0.0112644    0.66   0.006    15.46   0.016   -6.8   0.0117   0.0012    1.668e-06   33.369   0.193       Ho    0.020   0.016   0.000000  
  SN2016ajf     0.0203   0.0197686   0.493   0.016   16.685   0.027   -3.7   0.1417   0.0142    5.268e-05    34.59    0.11       Ho    0.560   0.076   0.000000  
  SN2019ein   0.007755   0.0083714   0.864    0.01   14.641   0.071   12.2   0.0099    0.001    5.333e-05   32.724   0.259       Ho   -0.014   0.022   0.000000  
