name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
ASAS14ad,0.0264,0.0274352,1.013,0.004,16.389,0.005,-8.7,0.0159,0.0016,3.993e-06,Ho,CSPII,Ia,0.973,0,1,-0.030,0.011,0.000000
ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.743,0.005,-6.0,0.0295,0.0029,1.611e-05,Ho,CSPII,Ia,0.984,1,0,-0.055,0.005,0.000000
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.028,0.011,-7.3,0.0131,0.0013,3.206e-05,Ho,CSPII,Ia,0.985,1,0,0.053,0.013,0.000000
ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.549,0.005,-8.4,0.0612,0.0061,8.928e-06,Ho,CSPII,Ia,0.983,0,1,-0.052,0.006,0.000000
ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.1,0.008,-6.6,0.1346,0.0135,7.991e-06,Ho,CSPII,Ia,0.962,0,1,0.426,0.010,0.000000
ASAS14jg,0.0148167,0.014347,1.3,0.017,14.848,0.025,-0.8,0.0128,0.0013,-5.627e-06,Ho,CSPII,Ia,0.961,0,1,0.068,0.059,0.000000
ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.764,0.005,-9.9,0.0472,0.0047,1.234e-06,Ho,CSPII,Ia,0.952,0,0,-0.045,0.006,0.000000
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.025,0.006,-9.4,0.0574,0.0057,8.819e-06,Ho,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.000000
ASAS14kq,0.0335767,0.0325972,1.157,0.011,16.71,0.009,-7.5,0.0155,0.0016,5.594e-05,Ho,CSPII,Ia,0.961,1,0,-0.038,0.011,0.000000
ASAS14lo,0.0199167,0.0210151,0.95,0.018,15.916,0.027,0.9,0.0282,0.0028,-8.326e-06,Ho,CSPII,Ia,0.979,0,1,0.116,0.061,0.000000
ASAS14lp,0.0050967,0.0062254,1.027,0.004,11.889,0.005,-15.4,0.0213,0.0021,4.949e-06,Ho,CSPII,Ia,0.335,0,1,0.237,0.006,0.000000
