       name        zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       Ho     eHo   meth       BV     eBV    covBV_M  
    SN1980N    0.005871   0.0055142   0.903   0.006   12.423   0.017    -2.8    0.018   0.0018    1.097e-05   31.817   0.394     Ho    0.070   0.012   0.000000  
    SN1983G     0.00206   0.0031747   0.901   0.049   12.704   0.098     5.7   0.0278   0.0028   -0.0002932   30.619   0.684     Ho    0.213   0.077   0.000000  
    SN1991T    0.005791   0.0069323   1.221    0.01   11.467   0.007   -14.9   0.0189   0.0019    2.637e-05   32.314   0.313     Ho    0.156   0.009   0.000000  
   SN1992bo     0.01851   0.0177382   0.734   0.006   15.826   0.009    -9.3   0.0238   0.0024     1.03e-05   34.355   0.122     Ho   -0.003   0.012   0.000000  
    SN1994D     0.00149   0.0026093   0.824   0.005   11.943   0.006   -14.8   0.0191   0.0019    9.897e-06   30.193   0.832     Ho   -0.047   0.009   0.000000  
    SN1995D    0.006561   0.0076747   1.175   0.009    13.37   0.008    -7.7   0.0484   0.0048    3.336e-05   32.535   0.283     Ho   -0.053   0.010   0.000000  
    SN1996X     0.00689   0.0078918   0.918   0.013   13.113   0.014    -4.7   0.0596    0.006    4.013e-05   32.596   0.275     Ho   -0.031   0.019   0.000000  
    SN1997E     0.01354    0.013528   0.836   0.011   15.117   0.008    -4.5   0.1101    0.011    2.321e-05   33.766    0.16     Ho    0.046   0.010   0.000000  
   SN1998bp     0.01043   0.0101664   0.563   0.012   14.999   0.013    -4.1   0.0667   0.0067    6.342e-05   33.146   0.213     Ho    0.263   0.016   0.000000  
   SN2000cx    0.007929   0.0068909   0.843   0.005   13.254   0.007   -10.2   0.0698    0.007    8.526e-06   32.301   0.315     Ho    0.053   0.008   0.000000  
   SN2003hv    0.005601   0.0050833   0.789   0.019   12.598   0.027     0.6   0.0133   0.0013   -9.471e-06   31.641   0.427     Ho   -0.079   0.061   0.000000  
   SN2006dd    0.005867   0.0055089   0.951   0.003   12.312   0.006   -12.0   0.0179   0.0018    3.345e-06   31.815   0.394     Ho   -0.065   0.007   0.000000  
   SN2007on     0.00649   0.0061833   0.589   0.003   12.969   0.011   -10.4   0.0098    0.001    1.485e-06   31.998   0.004     Ho    0.115   0.012   0.000000  
    SN2008Q    0.007935   0.0068975   0.789    0.02    13.55   0.012    -5.7   0.0716   0.0072    8.744e-05   32.303   0.315     Ho   -0.041   0.016   0.000000  
   SN2011iv     0.00649   0.0061827   0.701   0.007   12.463   0.009    -4.8   0.0098    0.001     1.39e-05   32.066   0.351     Ho    0.030   0.011   0.000000  
   SN2012cg    0.001458   0.0025798   1.024   0.008    11.99   0.007   -18.0   0.0179   0.0018     1.38e-05   30.168   0.841     Ho    0.075   0.009   0.000000  
   SN2012fr   0.0054533   0.0051291   1.107   0.004    12.06   0.004   -14.7   0.0177   0.0018    3.531e-06    31.66   0.423     Ho    0.013   0.006   0.000000  
   SN2015bp    0.004069   0.0047083    0.71   0.007   13.693   0.009    -6.6   0.0454   0.0045   -1.513e-07   31.474   0.461     Ho    0.083   0.013   0.000000  
  SN2016coj    0.004483   0.0048465   0.811   0.008   13.127   0.009   -12.7   0.0163   0.0016    1.939e-05   31.537   0.448     Ho    0.000   0.013   0.000000  
  SN2017fgc    0.007722   0.0066745   1.171   0.012   13.557   0.008   -15.6   0.0294   0.0029    3.371e-06   32.232   0.325     Ho    0.376   0.017   0.000000  
  SN2018aoz    0.005801    0.006934    0.87   0.004   12.827   0.007    -5.5   0.0721   0.0072    1.399e-05   32.315   0.313     Ho    0.010   0.010   0.000000  
