name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,BV,eBV,covBV_M
SN1997cn,0.0162,0.0169898,0.656,0.023,16.118,0.032,15.5,0.0229,0.0023,-0.0004895,0.402,0.046,0.0
SN1999ej,0.01372,0.0127757,0.779,0.023,15.432,0.006,-4.1,0.0605,0.006,6.506e-06,0.017,0.007,0.0
SN2002cs,0.01577,0.0153173,1.236,0.016,15.13,0.014,-12.2,0.0878,0.0088,7.288e-05,0.047,0.016,0.0
SN2002ha,0.014046,0.0130545,0.832,0.005,14.85,0.006,-13.2,0.0852,0.0085,7.421e-06,-0.064,0.007,0.0
SN2008L,0.0194,0.0188584,0.768,0.015,15.452,0.021,-10.3,0.1357,0.0136,3.325e-05,-0.066,0.025,0.0
SN2008hs,0.017349,0.0166411,0.625,0.006,16.057,0.014,-12.4,0.0497,0.005,1.416e-05,0.086,0.024,0.0
SN2010Y,0.0109,0.0112644,0.66,0.006,15.018,0.012,-10.1,0.0117,0.0012,1.828e-05,0.02,0.016,0.0
SN2016ajf,0.0203,0.0197686,0.493,0.016,16.396,0.02,-6.5,0.1417,0.0142,0.0001348,0.56,0.076,0.0
SN2019ein,0.007755,0.0083714,0.864,0.01,14.001,0.019,8.2,0.0099,0.001,7.705e-05,-0.014,0.022,0.0
SN2008R,0.0134933,0.0128867,0.632,0.006,15.167,0.009,-3.1,0.0618,0.0062,4.82e-06,0.12,0.011,0.0
PTF13ebh,0.01326,0.012484,0.632,0.004,14.915,0.008,-14.8,0.0668,0.0067,5.134e-06,0.117,0.009,0.0
SN2008ia,0.0219833,0.02254,0.834,0.006,15.97,0.013,-5.0,0.1954,0.0195,9.973e-06,-0.035,0.016,0.0
SN2006ef,0.01787,0.0170267,0.858,0.02,15.557,0.034,8.8,0.0201,0.002,-1.348e-05,-0.024,0.081,0.0
SN2008hv,0.01254,0.01358,0.867,0.004,14.868,0.009,-11.9,0.0279,0.0028,7.1e-06,-0.047,0.011,0.000000
CSP15aae,0.0161833,0.0169733,0.505,0.005,16.223,0.007,-9.3,0.0226,0.0023,9.88e-06,0.455,0.011,0.000000


