       name       zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       Ho     eHo   method       BV     eBV    covBV_M  
   SN1997cn     0.0162   0.0169898   0.656   0.023   16.118   0.032    15.5   0.0229   0.0023   -0.0004895   34.261   0.128       Ho    0.402   0.046   0.000000  
   SN1999ej    0.01372   0.0127757   0.779   0.023   15.432   0.006    -4.1   0.0605    0.006    6.506e-06   33.642    0.17       Ho    0.017   0.007   0.000000  
   SN2002cs    0.01577   0.0153173   1.236   0.016    15.13   0.014   -12.2   0.0878   0.0088    7.288e-05   34.036   0.142       Ho    0.047   0.016   0.000000  
   SN2002ha   0.014046   0.0130545   0.832   0.005    14.85   0.006   -13.2   0.0852   0.0085    7.421e-06   33.689   0.166       Ho   -0.064   0.007   0.000000  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.452   0.021   -10.3   0.1357   0.0136    3.325e-05   34.488   0.115       Ho   -0.066   0.025   0.000000  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.452   0.021   -10.3   0.1357   0.0136    3.325e-05   34.488   0.115       Ho   -0.066   0.025   0.000000  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.452   0.021   -10.3   0.1357   0.0136    3.325e-05   34.488   0.115       Ho   -0.066   0.025   0.000000  
    SN2008L     0.0194   0.0188584   0.768   0.015   15.452   0.021   -10.3   0.1357   0.0136    3.325e-05   34.488   0.115       Ho   -0.066   0.025   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.057   0.014   -12.4   0.0497    0.005    1.416e-05   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.057   0.014   -12.4   0.0497    0.005    1.416e-05   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.057   0.014   -12.4   0.0497    0.005    1.416e-05   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.057   0.014   -12.4   0.0497    0.005    1.416e-05   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.057   0.014   -10.6   0.0497    0.005    1.416e-05   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.057   0.014   -10.6   0.0497    0.005    1.416e-05   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.057   0.014   -10.6   0.0497    0.005    1.416e-05   34.216    0.13       Ho    0.086   0.024   0.000000  
   SN2008hs   0.017349   0.0166411   0.625   0.006   16.057   0.014   -10.6   0.0497    0.005    1.416e-05   34.216    0.13       Ho    0.086   0.024   0.000000  
    SN2010Y     0.0109   0.0112644    0.66   0.006   15.018   0.012   -10.1   0.0117   0.0012    1.828e-05   33.369   0.193       Ho    0.020   0.016   0.000000  
  SN2016ajf     0.0203   0.0197686   0.493   0.016   16.396    0.02    -6.5   0.1417   0.0142    0.0001348    34.59    0.11       Ho    0.560   0.076   0.000000  
  SN2019ein   0.007755   0.0083714   0.864    0.01   14.001   0.019     8.2   0.0099    0.001    7.705e-05   32.724   0.259       Ho   -0.014   0.022   0.000000  
