     name      zhel      zcmb f    st   est   Mmax  eMmax    t0  EBVmw eEBVmw  covMs     dist
ASAS14ad   0.0264000 0.0274352 B 1.013 0.004 16.238 0.010  -7.2 0.0159 0.0016  1.146e-05    Ho
ASAS14ad   0.0264000 0.0274352 H 1.013 0.004 17.230 0.061  11.2 0.0159 0.0016  5.421e-06    Ho
ASAS14ad   0.0264000 0.0274352 J 1.013 0.004 16.786 0.104  11.2 0.0159 0.0016  1.046e-05    Ho
ASAS14ad   0.0264000 0.0274352 V 1.013 0.004 16.268 0.004  -8.4 0.0159 0.0016  6.050e-06    Ho
ASAS14ad   0.0264000 0.0274352 Y 1.013 0.004 16.946 0.088  11.4 0.0159 0.0016 -5.763e-06    Ho
ASAS14ad   0.0264000 0.0274352 g 1.013 0.004 16.195 0.005  -7.5 0.0159 0.0016  6.925e-06    Ho
ASAS14ad   0.0264000 0.0274352 i 1.013 0.004 17.023 0.008  -3.8 0.0159 0.0016 -5.074e-07    Ho
ASAS14ad   0.0264000 0.0274352 r 1.013 0.004 16.389 0.005  -8.7 0.0159 0.0016  3.993e-06    Ho
ASAS14ad   0.0264000 0.0274352 u 1.013 0.004 16.687 0.007  -5.7 0.0159 0.0016  4.330e-06    Ho
ASAS14hp   0.0388933 0.0386676 B 1.077 0.010 16.496 0.004  -4.2 0.0295 0.0029  5.043e-06    Ho
ASAS14hp   0.0388933 0.0386676 H 1.077 0.010 17.641 0.025   4.1 0.0295 0.0029  1.978e-05    Ho
ASAS14hp   0.0388933 0.0386676 J 1.077 0.010 17.267 0.019   4.6 0.0295 0.0029  5.172e-06    Ho
ASAS14hp   0.0388933 0.0386676 V 1.077 0.010 16.551 0.003  -5.6 0.0295 0.0029 -2.942e-06    Ho
ASAS14hp   0.0388933 0.0386676 Y 1.077 0.010 17.426 0.030   4.4 0.0295 0.0029  1.030e-05    Ho
ASAS14hp   0.0388933 0.0386676 g 1.077 0.010 16.488 0.004  -4.5 0.0295 0.0029  8.368e-06    Ho
ASAS14hp   0.0388933 0.0386676 i 1.077 0.010 17.383 0.008  -1.0 0.0295 0.0029  3.893e-06    Ho
ASAS14hp   0.0388933 0.0386676 r 1.077 0.010 16.743 0.005  -6.0 0.0295 0.0029  1.611e-05    Ho
ASAS14hp   0.0388933 0.0386676 u 1.077 0.010 16.728 0.006  -2.7 0.0295 0.0029 -1.022e-05    Ho
ASAS14hr   0.0335967 0.0327196 B 0.803 0.009 17.081 0.010  -6.1 0.0131 0.0013  3.941e-05    Ho
ASAS14hr   0.0335967 0.0327196 H 0.803 0.009 17.390 0.051   1.7 0.0131 0.0013 -8.493e-06    Ho
ASAS14hr   0.0335967 0.0327196 J 0.803 0.009 17.258 0.027   0.6 0.0131 0.0013  1.300e-06    Ho
ASAS14hr   0.0335967 0.0327196 V 0.803 0.009 17.028 0.009  -7.4 0.0131 0.0013  3.943e-05    Ho
ASAS14hr   0.0335967 0.0327196 Y 0.803 0.009 17.296 0.047   1.1 0.0131 0.0013 -4.468e-05    Ho
ASAS14hr   0.0335967 0.0327196 g 0.803 0.009 17.050 0.009  -6.3 0.0131 0.0013  3.025e-05    Ho
ASAS14hr   0.0335967 0.0327196 i 0.803 0.009 17.537 0.017  -3.6 0.0131 0.0013  2.932e-05    Ho
ASAS14hr   0.0335967 0.0327196 r 0.803 0.009 17.028 0.011  -7.3 0.0131 0.0013  3.206e-05    Ho
ASAS14hr   0.0335967 0.0327196 u 0.803 0.009 17.994 0.014  -4.5 0.0131 0.0013  2.496e-05    Ho
ASAS14hu   0.0215851 0.0218919 B 1.050 0.007 15.384 0.005  -6.8 0.0612 0.0061  1.156e-05    Ho
ASAS14hu   0.0215851 0.0218919 H 1.050 0.007 16.467 0.015  -1.4 0.0612 0.0061  1.754e-05    Ho
ASAS14hu   0.0215851 0.0218919 J 1.050 0.007 16.190 0.012  -1.1 0.0612 0.0061  3.852e-06    Ho
ASAS14hu   0.0215851 0.0218919 V 1.050 0.007 15.436 0.004  -8.1 0.0612 0.0061 -6.662e-06    Ho
ASAS14hu   0.0215851 0.0218919 Y 1.050 0.007 16.295 0.017  -1.1 0.0612 0.0061  1.944e-05    Ho
ASAS14hu   0.0215851 0.0218919 g 1.050 0.007 15.383 0.004  -7.1 0.0612 0.0061  1.185e-05    Ho
ASAS14hu   0.0215851 0.0218919 i 1.050 0.007 16.277 0.008  -3.4 0.0612 0.0061  1.563e-07    Ho
ASAS14hu   0.0215851 0.0218919 r 1.050 0.007 15.549 0.005  -8.4 0.0612 0.0061  8.928e-06    Ho
ASAS14hu   0.0215851 0.0218919 u 1.050 0.007 15.958 0.006  -5.2 0.0612 0.0061  7.021e-06    Ho
ASAS14jc   0.0113167 0.0117796 B 0.914 0.005 15.679 0.008  -5.3 0.1346 0.0135  1.325e-05    Ho
ASAS14jc   0.0113167 0.0117796 H 0.914 0.005 14.968 0.046   9.2 0.1346 0.0135  1.137e-05    Ho
ASAS14jc   0.0113167 0.0117796 J 0.914 0.005 14.960 0.087   8.5 0.1346 0.0135  2.367e-05    Ho
ASAS14jc   0.0113167 0.0117796 V 0.914 0.005 15.253 0.006  -6.6 0.1346 0.0135  5.219e-06    Ho
ASAS14jc   0.0113167 0.0117796 Y 0.914 0.005 14.994 0.084   9.3 0.1346 0.0135 -1.452e-05    Ho
ASAS14jc   0.0113167 0.0117796 g 0.914 0.005 15.532 0.008  -5.5 0.1346 0.0135  1.030e-05    Ho
ASAS14jc   0.0113167 0.0117796 i 0.914 0.005 15.487 0.012  -2.2 0.1346 0.0135  1.311e-06    Ho
ASAS14jc   0.0113167 0.0117796 r 0.914 0.005 15.100 0.008  -6.6 0.1346 0.0135  7.991e-06    Ho
