      name        zhel        zcmb      st     est     Mmax   eMmax      t0    EBVmw   eEBVmw        covMs       Ho     eHo   meth       BV     eBV    covBV_M  
   SN1970J      0.0132   0.0119644    0.95   0.054   14.742   0.091     0.1   0.0689   0.0069     0.001199   33.499   0.181     Ho    0.180   0.104   0.000000  
   SN1981B    0.006027   0.0071693   0.941   0.005   12.526   0.009     0.0   0.0157   0.0016   -3.778e-06   32.387   0.303     Ho    0.070   0.008   0.000000  
   SN1983G     0.00206   0.0031747   0.901   0.049   13.632   0.127     4.5   0.0278   0.0028   -0.0001563   30.619   0.684     Ho    0.213   0.077   0.000000  
   SN1991T    0.005791   0.0069323   1.221    0.01   11.863   0.014   -10.4   0.0189   0.0019    1.376e-05   32.314   0.313     Ho    0.156   0.009   0.000000  
   SN1994D     0.00149   0.0026093   0.824   0.005   11.848   0.021    -7.0   0.0191   0.0019    1.322e-05   30.193   0.832     Ho   -0.047   0.009   0.000000  
   SN1996X     0.00689   0.0078918   0.918   0.013   13.274    0.04    -1.9   0.0596    0.006    1.428e-05   32.596   0.275     Ho   -0.031   0.019   0.000000  
   SN1997E     0.01354    0.013528   0.836   0.011   15.617   0.015    -1.0   0.1101    0.011    6.351e-06   33.766    0.16     Ho    0.046   0.010   0.000000  
  SN1998bp     0.01043   0.0101664   0.563   0.012   16.098   0.025    -0.3   0.0667   0.0067   -2.644e-05   33.146   0.213     Ho    0.263   0.016   0.000000  
  SN2000cx    0.007929   0.0068909   0.843   0.005   13.644   0.025    -5.5   0.0698    0.007    2.639e-06   32.301   0.315     Ho    0.053   0.008   0.000000  
  SN2006dd    0.005867   0.0055089   0.951   0.003   12.882   0.356    63.3   0.0179   0.0018    8.221e-06   31.815   0.394     Ho   -0.065   0.007   0.000000  
  SN2007on     0.00649   0.0061833   0.589   0.003   13.627   0.012    -6.9   0.0098    0.001    6.751e-07   31.998   0.004     Ho    0.115   0.012   0.000000  
  SN2011iv     0.00649   0.0061827   0.701   0.007   12.908   0.009    -1.8   0.0098    0.001   -1.586e-06   32.066   0.351     Ho    0.030   0.011   0.000000  
  SN2012cg    0.001458   0.0025798   1.024   0.008   12.376   0.015   -13.0   0.0179   0.0018    4.653e-05   30.168   0.841     Ho    0.075   0.009   0.000000  
  SN2012fr   0.0054533   0.0051291   1.107   0.004    12.38   0.005   -11.1   0.0177   0.0018    4.153e-06    31.66   0.423     Ho    0.013   0.006   0.000000  
  SN2015bp    0.004069   0.0047083    0.71   0.007   14.139   0.017    -3.6   0.0454   0.0045    1.999e-05   31.474   0.461     Ho    0.083   0.013   0.000000  
