sn_1,zhel_1,zcmb_1,st_1,est_1,Mmax_1,eMmax_1,t0_1,EBVmw_1,eEBVmw_1,covMs_1,sample_1,subtype_1,quality_1,cosmo_1,phys_1,BV_1,eBV_1,covBV_M_1,ml_1,m_1,mu_1,host_1,dist_1,edist_1,caltype_1,sn_2,zhel_2,zcmb_2,st_2,est_2,Mmax_2,eMmax_2,t0_2,EBVmw_2,eEBVmw_2,covMs_2,sample_2,subtype_2,quality_2,cosmo_2,phys_2,BV_2,eBV_2,covBV_M_2,ml_2,m_2,mu_2,host_2,dist_2,edist_2,caltype_2,sn_3,zhel_3,zcmb_3,st_3,est_3,Mmax_3,eMmax_3,t0_3,EBVmw_3,eEBVmw_3,covMs_3,sample_3,subtype_3,quality_3,cosmo_3,phys_3,BV_3,eBV_3,covBV_M_3,ml_3,m_3,mu_3,host_3,dist_3,edist_3,caltype_3,sn_4,zhel_4,zcmb_4,st_4,est_4,Mmax_4,eMmax_4,t0_4,EBVmw_4,eEBVmw_4,covMs_4,sample_4,subtype_4,quality_4,cosmo_4,phys_4,BV_4,eBV_4,covBV_M_4,ml_4,m_4,mu_4,host_4,dist_4,edist_4,caltype_4,sn_5,zhel_5,zcmb_5,st_5,est_5,Mmax_5,eMmax_5,t0_5,EBVmw_5,eEBVmw_5,covMs_5,sample_5,subtype_5,quality_5,cosmo_5,phys_5,BV_5,eBV_5,covBV_M_5,ml_5,m_5,mu_5,host_5,dist_5,edist_5,caltype_5,sn_2a,zhel_2a,zcmb_2a,st_2a,est_2a,Mmax_2a,eMmax_2a,t0_2a,EBVmw_2a,eEBVmw_2a,covMs_2a,sample_2a,subtype_2a,quality_2a,cosmo_2a,phys_2a,BV_2a,eBV_2a,covBV_M_2a,ml_2a,m_2a,mu_2a,host_2a,dist_2a,edist_2a,caltype_2a,sn_3a,zhel_3a,zcmb_3a,st_3a,est_3a,Mmax_3a,eMmax_3a,t0_3a,EBVmw_3a,eEBVmw_3a,covMs_3a,sample_3a,subtype_3a,quality_3a,cosmo_3a,phys_3a,BV_3a,eBV_3a,covBV_M_3a,ml_3a,m_3a,mu_3a,host_3a,dist_3a,edist_3a,caltype_3a,sn_4a,zhel_4a,zcmb_4a,st_4a,est_4a,Mmax_4a,eMmax_4a,t0_4a,EBVmw_4a,eEBVmw_4a,covMs_4a,sample_4a,subtype_4a,quality_4a,cosmo_4a,phys_4a,BV_4a,eBV_4a,covBV_M_4a,ml_4a,m_4a,mu_4a,host_4a,dist_4a,edist_4a,caltype_4a,sn_5a,zhel_5a,zcmb_5a,st_5a,est_5a,Mmax_5a,eMmax_5a,t0_5a,EBVmw_5a,eEBVmw_5a,covMs_5a,sample_5a,subtype_5a,quality_5a,cosmo_5a,phys_5a,BV_5a,eBV_5a,covBV_M_5a,ml_5a,m_5a,mu_5a,host_5a,dist_5a,edist_5a,caltype_5a
ASAS14ad,0.0264,0.0274352,1.013,0.004,16.687,0.007,-5.7,0.0159,0.0016,4.33E-6,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,ASAS14ad,0.0264,0.0274352,1.013,0.004,16.238,0.01,-7.2,0.0159,0.0016,1.146E-5,CSPII,Ia,0.973,0,1,-0.03,0.011,1.0E-4,8.23,8.61,8.78,N/A,-1.0,-1.0,none,ASAS14ad,0.0264,0.0274352,1.013,0.004,16.195,0.005,-7.5,0.0159,0.0016,6.925E-6,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,ASAS14ad,0.0264,0.0274352,1.013,0.004,16.268,0.004,-8.4,0.0159,0.0016,6.05E-6,CSPII,Ia,0.973,0,1,-0.03,0.011,-1.6E-5,8.23,8.61,8.78,N/A,-1.0,-1.0,none,ASAS14ad,0.0264,0.0274352,1.013,0.004,16.389,0.005,-8.7,0.0159,0.0016,3.993E-6,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,ASAS14ad,0.0264,0.0274352,1.013,0.004,17.023,0.008,-3.8,0.0159,0.0016,-5.074E-7,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,ASAS14ad,0.0264,0.0274352,1.013,0.004,16.946,0.088,11.4,0.0159,0.0016,-5.763E-6,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,ASAS14ad,0.0264,0.0274352,1.013,0.004,16.786,0.104,11.2,0.0159,0.0016,1.046E-5,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none,ASAS14ad,0.0264,0.0274352,1.013,0.004,17.23,0.061,11.2,0.0159,0.0016,5.421E-6,CSPII,Ia,0.973,0,1,-0.03,0.011,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.728,0.006,-2.7,0.0295,0.0029,-1.022E-5,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.496,0.004,-4.2,0.0295,0.0029,5.043E-6,CSPII,Ia,0.984,1,0,-0.055,0.005,1.6E-5,8.98,9.09,9.15,N/A,-1.0,-1.0,none,ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.488,0.004,-4.5,0.0295,0.0029,8.368E-6,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.551,0.003,-5.6,0.0295,0.0029,-2.942E-6,CSPII,Ia,0.984,1,0,-0.055,0.005,-9.0E-6,8.98,9.09,9.15,N/A,-1.0,-1.0,none,ASAS14hp,0.0388933,0.0386676,1.077,0.01,16.743,0.005,-6.0,0.0295,0.0029,1.611E-5,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,ASAS14hp,0.0388933,0.0386676,1.077,0.01,17.383,0.008,-1.0,0.0295,0.0029,3.893E-6,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,ASAS14hp,0.0388933,0.0386676,1.077,0.01,17.426,0.03,4.4,0.0295,0.0029,1.03E-5,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,ASAS14hp,0.0388933,0.0386676,1.077,0.01,17.267,0.019,4.6,0.0295,0.0029,5.172E-6,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none,ASAS14hp,0.0388933,0.0386676,1.077,0.01,17.641,0.025,4.1,0.0295,0.0029,1.978E-5,CSPII,Ia,0.984,1,0,-0.055,0.005,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.994,0.014,-4.5,0.0131,0.0013,2.496E-5,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.081,0.01,-6.1,0.0131,0.0013,3.941E-5,CSPII,Ia,0.985,1,0,0.053,0.013,1.0E-4,10.18,10.34,10.45,N/A,-1.0,-1.0,none,ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.05,0.009,-6.3,0.0131,0.0013,3.025E-5,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.028,0.009,-7.4,0.0131,0.0013,3.943E-5,CSPII,Ia,0.985,1,0,0.053,0.013,-8.1E-5,10.18,10.34,10.45,N/A,-1.0,-1.0,none,ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.028,0.011,-7.3,0.0131,0.0013,3.206E-5,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.537,0.017,-3.6,0.0131,0.0013,2.932E-5,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.296,0.047,1.1,0.0131,0.0013,-4.468E-5,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.258,0.027,0.6,0.0131,0.0013,1.3E-6,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none,ASAS14hr,0.0335967,0.0327196,0.803,0.009,17.39,0.051,1.7,0.0131,0.0013,-8.493E-6,CSPII,Ia,0.985,1,0,0.053,0.013,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.958,0.006,-5.2,0.0612,0.0061,7.021E-6,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.384,0.005,-6.8,0.0612,0.0061,1.156E-5,CSPII,Ia,0.983,0,1,-0.052,0.006,2.5E-5,9.8,9.93,10.24,N/A,-1.0,-1.0,none,ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.383,0.004,-7.1,0.0612,0.0061,1.185E-5,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.436,0.004,-8.1,0.0612,0.0061,-6.662E-6,CSPII,Ia,0.983,0,1,-0.052,0.006,-1.6E-5,9.8,9.93,10.24,N/A,-1.0,-1.0,none,ASAS14hu,0.0215851,0.0218919,1.05,0.007,15.549,0.005,-8.4,0.0612,0.0061,8.928E-6,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,ASAS14hu,0.0215851,0.0218919,1.05,0.007,16.277,0.008,-3.4,0.0612,0.0061,1.563E-7,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,ASAS14hu,0.0215851,0.0218919,1.05,0.007,16.295,0.017,-1.1,0.0612,0.0061,1.944E-5,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,ASAS14hu,0.0215851,0.0218919,1.05,0.007,16.19,0.012,-1.1,0.0612,0.0061,3.852E-6,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none,ASAS14hu,0.0215851,0.0218919,1.05,0.007,16.467,0.015,-1.4,0.0612,0.0061,1.754E-5,CSPII,Ia,0.983,0,1,-0.052,0.006,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.914,0.005,16.875,0.014,-3.8,0.1346,0.0135,6.929E-6,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.679,0.008,-5.3,0.1346,0.0135,1.325E-5,CSPII,Ia,0.962,0,1,0.426,0.01,6.4E-5,9.32,9.46,9.77,N/A,-1.0,-1.0,none,ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.532,0.008,-5.5,0.1346,0.0135,1.03E-5,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.253,0.006,-6.6,0.1346,0.0135,5.219E-6,CSPII,Ia,0.962,0,1,0.426,0.01,-3.6E-5,9.32,9.46,9.77,N/A,-1.0,-1.0,none,ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.1,0.008,-6.6,0.1346,0.0135,7.991E-6,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,ASAS14jc,0.0113167,0.0117796,0.914,0.005,15.487,0.012,-2.2,0.1346,0.0135,1.311E-6,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,ASAS14jc,0.0113167,0.0117796,0.914,0.005,14.994,0.084,9.3,0.1346,0.0135,-1.452E-5,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,ASAS14jc,0.0113167,0.0117796,0.914,0.005,14.96,0.087,8.5,0.1346,0.0135,2.367E-5,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none,ASAS14jc,0.0113167,0.0117796,0.914,0.005,14.968,0.046,9.2,0.1346,0.0135,1.137E-5,CSPII,Ia,0.962,0,1,0.426,0.01,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.3,0.017,15.074,0.073,4.5,0.0128,0.0013,-2.262E-5,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,ASAS14jg,0.0148167,0.014347,1.3,0.017,14.787,0.047,2.6,0.0128,0.0013,-8.079E-6,CSPII,Ia,0.961,0,1,0.068,0.059,0.002209,8.57,8.76,8.88,N/A,-1.0,-1.0,none,ASAS14jg,0.0148167,0.014347,1.3,0.017,14.723,0.027,2.9,0.0128,0.0013,-1.133E-5,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,ASAS14jg,0.0148167,0.014347,1.3,0.017,14.719,0.035,1.8,0.0128,0.0013,-3.733E-6,CSPII,Ia,0.961,0,1,0.068,0.059,-0.001225,8.57,8.76,8.88,N/A,-1.0,-1.0,none,ASAS14jg,0.0148167,0.014347,1.3,0.017,14.848,0.025,-0.8,0.0128,0.0013,-5.627E-6,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,ASAS14jg,0.0148167,0.014347,1.3,0.017,15.486,0.058,6.5,0.0128,0.0013,-5.763E-6,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,ASAS14jg,0.0148167,0.014347,1.3,0.017,15.52,0.069,10.0,0.0128,0.0013,-2.094E-5,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,ASAS14jg,0.0148167,0.014347,1.3,0.017,15.305,0.071,10.3,0.0128,0.0013,-2.225E-5,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none,ASAS14jg,0.0148167,0.014347,1.3,0.017,15.533,0.04,9.8,0.0128,0.0013,-1.272E-5,CSPII,Ia,0.961,0,1,0.068,0.059,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.987,0.005,-7.0,0.0472,0.0047,4.49E-6,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.622,0.004,-8.5,0.0472,0.0047,3.339E-6,CSPII,Ia,0.952,0,0,-0.045,0.006,1.6E-5,8.11,8.23,8.35,N/A,-1.0,-1.0,none,ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.614,0.004,-8.8,0.0472,0.0047,3.156E-6,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.667,0.004,-9.7,0.0472,0.0047,9.292E-6,CSPII,Ia,0.952,0,0,-0.045,0.006,-1.6E-5,8.11,8.23,8.35,N/A,-1.0,-1.0,none,ASAS14jz,0.0157891,0.0156168,0.985,0.005,14.764,0.005,-9.9,0.0472,0.0047,1.234E-6,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,ASAS14jz,0.0157891,0.0156168,0.985,0.005,15.352,0.008,-5.1,0.0472,0.0047,2.891E-6,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,ASAS14jz,0.0157891,0.0156168,0.985,0.005,15.37,0.033,-3.9,0.0472,0.0047,-1.897E-6,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,ASAS14jz,0.0157891,0.0156168,0.985,0.005,15.237,0.024,-4.3,0.0472,0.0047,2.815E-5,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none,ASAS14jz,0.0157891,0.0156168,0.985,0.005,15.34,0.034,-4.1,0.0472,0.0047,-9.462E-6,CSPII,Ia,0.952,0,0,-0.045,0.006,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.174,0.007,16.55,0.007,-5.2,0.0574,0.0057,-2.323E-6,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,ASAS14kd,0.0243,0.0230683,1.174,0.007,16.239,0.005,-7.0,0.0574,0.0057,4.629E-7,CSPII,Ia-91T,0.941,0,0,0.221,0.007,2.5E-5,10.03,10.14,10.23,N/A,-1.0,-1.0,none,ASAS14kd,0.0243,0.0230683,1.174,0.007,16.123,0.005,-7.1,0.0574,0.0057,3.223E-6,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,ASAS14kd,0.0243,0.0230683,1.174,0.007,16.018,0.005,-8.1,0.0574,0.0057,1.454E-5,CSPII,Ia-91T,0.941,0,0,0.221,0.007,-2.5E-5,10.03,10.14,10.23,N/A,-1.0,-1.0,none,ASAS14kd,0.0243,0.0230683,1.174,0.007,16.025,0.006,-9.4,0.0574,0.0057,8.819E-6,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,ASAS14kd,0.0243,0.0230683,1.174,0.007,16.468,0.01,-4.1,0.0574,0.0057,1.757E-5,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,ASAS14kd,0.0243,0.0230683,1.174,0.007,16.436,0.131,14.8,0.0574,0.0057,6.119E-5,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,ASAS14kd,0.0243,0.0230683,1.174,0.007,15.916,0.126,15.0,0.0574,0.0057,5.422E-5,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none,ASAS14kd,0.0243,0.0230683,1.174,0.007,16.363,0.075,14.5,0.0574,0.0057,-7.291E-6,CSPII,Ia-91T,0.941,0,0,0.221,0.007,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.751,0.007,-11.3,0.0213,0.0021,6.231E-6,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.156,0.005,-13.8,0.0213,0.0021,7.726E-6,CSPII,Ia,0.335,0,1,0.237,0.006,2.5E-5,10.6,10.74,10.91,N/A,-1.0,-1.0,none,ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.012,0.005,-14.1,0.0213,0.0021,6.979E-6,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,ASAS14lp,0.0050967,0.0062254,1.027,0.004,11.919,0.004,-15.1,0.0213,0.0021,2.205E-6,CSPII,Ia,0.335,0,1,0.237,0.006,-1.6E-5,10.6,10.74,10.91,N/A,-1.0,-1.0,none,ASAS14lp,0.0050967,0.0062254,1.027,0.004,11.889,0.005,-15.4,0.0213,0.0021,4.949E-6,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.375,0.008,-10.4,0.0213,0.0021,1.228E-6,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.273,0.019,-8.2,0.0213,0.0021,1.573E-5,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.186,0.02,-8.3,0.0213,0.0021,2.67E-5,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none,ASAS14lp,0.0050967,0.0062254,1.027,0.004,12.363,0.014,-8.5,0.0213,0.0021,7.614E-6,CSPII,Ia,0.335,0,1,0.237,0.006,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none
ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.571,0.094,7.2,0.0275,0.0028,-1.082E-4,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.025,0.063,5.7,0.0275,0.0028,-5.456E-5,CSPII,Ia,0.977,0,1,0.013,0.078,0.003969,10.46,10.65,10.73,N/A,-1.0,-1.0,none,ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.004,0.04,5.4,0.0275,0.0028,-4.932E-5,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.012,0.046,4.5,0.0275,0.0028,-4.993E-5,CSPII,Ia,0.977,0,1,0.013,0.078,-0.002116,10.46,10.65,10.73,N/A,-1.0,-1.0,none,ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.052,0.039,4.2,0.0275,0.0028,-6.35E-5,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.817,0.074,9.1,0.0275,0.0028,-7.389E-5,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.704,0.123,13.3,0.0275,0.0028,-1.85E-5,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.693,0.154,14.0,0.0275,0.0028,-1.707E-4,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none,ASAS14lq,0.0261733,0.0250833,1.005,0.024,16.98,0.089,13.0,0.0275,0.0028,3.217E-5,CSPII,Ia,0.977,0,1,0.013,0.078,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none
