sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,method,BV,eBV,covBV_M,host,dist,edist,m,ml,mu,sample,subtype,quality,caltype,covBVs
SN2004gs,0.0266267,0.0282767,0.705,0.003,17.182,0.005,-3.8,0.0257,0.0026,3.24E-06,,,,0.202,0.006403124237,2.50E-05,N/A,-1,-1,10.63,10.57,10.7,CSPI,Ia,0.982,none,-5.28E-07
SN2005bl,0.0240433,0.0251133,0.427,0.011,18.477,0.027,-6.5,0.025,0.0025,0.0001022,,,,0.689,0.03360059523,0.000729,N/A,-1,-1,11.01,10.89,11.2,CSPI,Ia-91bg,0.98,none,8.97E-05
SN2005ke,0.0048767,0.0044833,0.438,0.003,14.795,0.009,-9.8,0.02,0.002,4.61E-06,,,,0.67,0.01204159458,8.10E-05,N/A,-1,-1,10.43,10.29,10.61,CSPI,Ia-91bg,0.953,none,2.70E-06
SN2005mc,0.0252033,0.0260067,0.664,0.02,17.229,0.055,2.4,0.0379,0.0038,-5.03E-05,,,,0.314,0.06742403132,0.003025,N/A,-1,-1,10.95,10.85,11.1,CSPI,Ia,0.982,none,-3.56E-05
SN2006bd,0.0257067,0.0267967,0.398,0.009,18.737,0.033,-1.4,0.0231,0.0023,4.79E-05,,,,0.712,0.03911521443,0.001089,N/A,-1,-1,10.77,10.6,10.8,CSPI,Ia-91bg,0.981,none,3.39E-06
SN2006eq,0.0494667,0.0483667,0.649,0.023,18.58,0.063,2.1,0.0416,0.0042,-4.37E-05,,,,0.31,0.0774209274,0.003969,N/A,-1,-1,10.19,9.79,10.65,CSPI,Ia,0.973,none,-5.17E-05
SN2006gj,0.0283333,0.0269667,0.708,0.007,17.669,0.009,-1.7,0.0705,0.007,2.82E-06,,,,0.298,0.01204159458,8.10E-05,N/A,-1,-1,10.53,10.36,10.6,CSPI,Ia,0.983,none,-1.36E-06
SN2006gt,0.04474,0.0436433,0.575,0.01,18.221,0.012,-2.3,0.0323,0.0032,1.53E-05,,,,0.249,0.0162788206,0.000144,N/A,-1,-1,9.93,9.87,9.94,CSPI,Ia-91bg,0.982,none,-1.65E-05
SN2006hb,0.0153333,0.0153367,0.685,0.018,15.583,0.054,4.4,0.0236,0.0024,-2.42E-05,,,,0.185,0.06603029608,0.002916,N/A,-1,-1,10.22,10.05,10.39,CSPI,Ia-86G,0.98,none,-1.79E-05
SN2006mr,0.0058667,0.00551,0.335,0.004,15.319,0.02,-4.4,0.0179,0.0018,1.35E-05,,,,0.731,0.02758622845,0.0004,N/A,-1,-1,11.19,10.79,11.38,CSPI,Ia-91bg,0.947,none,-1.07E-05
SN2006ob,0.0591967,0.0582567,0.743,0.009,18.281,0.011,-3.1,0.0285,0.0029,2.44E-05,,,,0.111,0.01486606875,0.000121,N/A,-1,-1,11.26,11.08,11.33,CSPI,Ia,0.986,none,1.99E-05
SN2007al,0.0121133,0.0132629,0.385,0.006,17.32,0.02,-0.3,0.036,0.0036,1.57E-05,,,,0.7,0.025,0.0004,N/A,-1,-1,9.47,9.33,9.91,CSPI,Ia-91bg,0.971,none,3.76E-06
SN2007ax,0.0068567,0.0076367,0.404,0.008,16.193,0.02,-2.9,0.0446,0.0045,6.09E-05,,,,0.689,0.02561249695,0.0004,N/A,-1,-1,10.23,10.13,10.29,CSPI,Ia-91bg,0.924,none,3.09E-05
