sn,zhel,zcmb,log(czcmb),elog(czcmb),E(B-V)host,eE(B-V)host,st,st-0.5,est,u,eu,wuintercept,,B,eB,g,eg,wgintercept,,V,eV,wVintercept,,r,er,wrintercept,,i,ei,wiintercept,,Y,eY,wYintercept,,J,eJ,wJintercept,,H,eH,wHintercept,
SN2005bl,0.0240,0.0251,3.877,0.017,0.014,0.009,0.427,-0.073,0.011,19.752,0.068,#REF!,#REF!,18.477,0.027,18.151,0.024,#REF!,#REF!,17.788,0.020,#REF!,#REF!,17.561,0.031,#REF!,#REF!,17.803,0.037,#REF!,#REF!,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,
SN2006bd,0.0257,0.0268,3.905,0.016,0.143,0.029,0.398,-0.102,0.009,-9999,-9999,,,18.737,0.033,18.444,0.025,#REF!,#REF!,18.025,0.021,#REF!,#REF!,17.823,0.023,#REF!,#REF!,17.919,0.036,#REF!,#REF!,17.689,0.051,#REF!,#REF!,17.651,0.041,#REF!,#REF!,17.447,0.086,#REF!,#REF!
SN2006gt,0.0447,0.0436,4.117,0.010,0.054,0.017,0.575,0.075,0.010,19.045,0.028,#REF!,#REF!,18.221,0.012,18.053,0.011,#REF!,#REF!,17.972,0.011,#REF!,#REF!,18.055,0.012,#REF!,#REF!,18.359,0.019,#REF!,#REF!,18.375,0.026,#REF!,#REF!,18.116,0.045,#REF!,#REF!,18.308,0.092,#REF!,#REF!
SN2006ob,0.0592,0.0583,4.242,0.007,0.118,0.014,0.743,0.243,0.009,18.383,0.024,#REF!,#REF!,18.281,0.011,18.177,0.010,#REF!,#REF!,18.170,0.010,#REF!,#REF!,18.284,0.011,#REF!,#REF!,18.656,0.017,#REF!,#REF!,18.642,0.067,#REF!,#REF!,18.446,0.090,#REF!,#REF!,18.640,0.088,#REF!,#REF!
SN2007al,0.0121,0.0133,3.599,0.033,0.091,0.022,0.385,-0.115,0.006,18.494,0.037,#REF!,#REF!,17.320,0.020,16.955,0.020,#REF!,#REF!,16.620,0.015,#REF!,#REF!,16.460,0.019,#REF!,#REF!,16.539,0.030,#REF!,#REF!,16.357,0.066,#REF!,#REF!,16.129,0.072,#REF!,#REF!,15.921,0.053,#REF!,#REF!
SN2007mm,0.0664,0.0689,4.315,0.006,0.147,0.027,0.506,0.006,0.016,-9999,-9999,,,19.628,0.030,19.444,0.020,#REF!,#REF!,19.222,0.022,#REF!,#REF!,19.207,0.021,#REF!,#REF!,19.484,0.031,#REF!,#REF!,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,
SN2007ol,0.0559,0.0549,4.216,0.008,0.012,0.012,0.678,0.178,0.029,18.533,0.030,#REF!,#REF!,18.049,0.019,17.971,0.021,#REF!,#REF!,18.122,0.022,#REF!,#REF!,18.168,0.029,#REF!,#REF!,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,,-9999,-9999,,
SN2007ux,0.0309,0.0320,3.982,0.014,0.131,0.018,0.624,0.124,0.006,18.203,0.021,#REF!,#REF!,17.407,0.008,17.262,0.008,#REF!,#REF!,17.194,0.006,#REF!,#REF!,17.245,0.008,#REF!,#REF!,17.609,0.013,#REF!,#REF!,17.584,0.014,#REF!,#REF!,17.359,0.021,#REF!,#REF!,17.502,0.022,#REF!,#REF!
SN2008R,0.0135,0.0129,3.587,0.034,0.079,0.017,0.633,0.133,0.006,15.870,0.013,#REF!,#REF!,15.270,0.008,15.150,0.008,#REF!,#REF!,15.150,0.007,#REF!,#REF!,15.166,0.009,#REF!,#REF!,15.565,0.015,#REF!,#REF!,15.482,0.057,#REF!,#REF!,15.289,0.079,#REF!,#REF!,15.478,0.044,#REF!,#REF!
SN2009F,0.0129,0.0129,3.588,0.034,0.014,0.015,0.384,-0.116,0.007,17.909,0.035,#REF!,#REF!,16.908,0.019,16.613,0.018,#REF!,#REF!,16.351,0.017,#REF!,#REF!,16.100,0.029,#REF!,#REF!,16.375,0.035,#REF!,#REF!,16.101,0.074,#REF!,#REF!,16.023,0.024,#REF!,#REF!,15.977,0.034,#REF!,#REF!
