ObjID,Name,zhel,zcmb,sBV,e_sBV,mcorr,e_mcorr,BV,e_BV,mass
0,SN04dt,0.019717,0.018813,1.189,0.011,15.3788831311,0.121578359959,-0.025,0.0439089968002,10.7684974773
1,SN04ef,0.030967,0.02977,0.816,0.003,16.320098625,0.0244805132757,0.13,0.005,10.8855547401
2,SN04eo,0.01569,0.014737,0.818,0.005,14.8223099129,0.0354925411303,0.05,0.0106301458127,11.1196842176
3,SN04ey,0.015777,0.014627,1.01,0.003,14.8141112902,0.0395060669076,-0.043,0.00282842712475,10.0284705174
4,SN04gc,0.032078,0.030713,0.923,0.023,16.3185225115,0.167040553337,0.182,0.078006409993,10.5054140011
5,SN04gs,0.026627,0.028277,0.689,0.004,16.3143143078,0.0349842021047,0.195,0.00707106781187,10.7726582856
6,SN04gu,0.045827,0.046897,1.25,0.011,17.1802425851,0.0646203821424,0.154,0.0158113883008,10.435396946
7,SN05A,0.019127,0.01834,0.963,0.011,15.2755861942,0.111288611624,1.001,0.025,11.2875608034
8,SN05M,0.021997,0.02558,1.208,0.002,15.9677882285,0.0421366158137,0.032,0.00282842712475,10.3037356451
9,SN05W,0.008883,0.00795,0.923,0.008,13.6257237427,0.0358792349181,0.164,0.00848528137424,10.5457727901
10,SN05ag,0.07937,0.08008,1.19,0.007,18.6896816644,0.0420274458004,-0.02,0.00707106781187,11.4229553219
11,SN05al,0.012393,0.013287,0.858,0.003,14.8878444421,0.027896291562,-0.055,0.00707106781187,10.7183538096
12,SN05am,0.007893,0.008967,0.725,0.003,13.2414608925,0.0300937046201,0.066,0.00565685424949,10.9876973944
13,SN05be,0.035,0.035577,0.76,0.018,16.6847097103,0.150944050914,0.029,0.0674240313242,10.6891269876
14,SN05bg,0.02307,0.024157,1.002,0.027,15.770875615,0.148663469458,0.045,0.061400325732,10.2343804037
15,SN05bl,0.024043,0.025113,0.387,0.012,15.9858352222,0.113233469491,0.705,0.0372021504755,11.1847503487
16,SN05bo,0.013887,0.015013,0.85,0.007,14.7964758878,0.0383001287578,0.246,0.00707106781187,10.5738087463
17,SN05el,0.0149,0.014883,0.84,0.004,14.9081200401,0.0345165616575,-0.06,0.00989949493661,10.932345227
18,SN05eq,0.028957,0.02835,1.125,0.011,16.210336999,0.0351811872038,0.071,0.00989949493661,10.8712541711
19,SN05hc,0.045907,0.044497,1.193,0.006,17.4323371213,0.0353196477218,0.014,0.00565685424949,10.7998387778
20,SN05hj,0.05696,0.05674,1.28,0.016,17.6707837195,0.0758026410174,0.085,0.0127279220614,9.6982675892
21,SN05iq,0.03402,0.03293,0.872,0.004,16.6990052217,0.0309774538959,-0.02,0.00781024967591,10.6264035125
22,SN05ir,0.076307,0.075233,1.121,0.021,18.2475045327,0.0563882757268,0.081,0.0148660687473,10.2010150302
23,SN05kc,0.01511,0.01389,0.899,0.006,14.81224656,0.0382058638734,0.24,0.00989949493661,10.9887250137
24,SN05ke,0.004877,0.004483,0.419,0.004,12.4032541583,0.0757496779654,0.65,0.011313708499,10.522145631
25,SN05ki,0.019193,0.02037,0.825,0.003,15.4995099752,0.0255840044778,-0.024,0.00640312423743,11.1488426693
26,SN05ku,0.045407,0.044183,0.95,0.04,17.1864612176,0.163858786724,0.102,0.0798122797569,10.1237253714
27,SN05lu,0.031987,0.031293,1.13,0.034,16.5219739027,0.160693334822,0.238,0.0722011080247,10.4762871739
28,SN05mc,0.025203,0.026007,0.64,0.025,16.0281078894,0.156436911721,0.303,0.0688186021363,10.8511611634
29,SN05na,0.026303,0.026813,0.957,0.006,15.9756987098,0.0282219066551,0.000999999999998,0.00921954445729,11.1092626173
30,SN06D,0.00852,0.00964,0.815,0.003,13.6378935727,0.0506871605978,0.1,0.00640312423743,10.0429765563
31,SN06X,0.005237,0.00632,0.968,0.006,11.6882264186,0.124704871202,1.245,0.0128062484749,11.2368215691
32,SN06ax,0.016727,0.017957,0.987,0.004,15.1443003215,0.0216842460267,-0.052,0.00640312423743,10.8296494497
33,SN06bd,0.025707,0.026797,0.376,0.013,16.0485337766,0.138852021649,0.805,0.0506063237155,11.0134423787
34,SN06bh,0.01084,0.010493,0.802,0.003,14.2040817431,0.024688894202,-0.014,0.00424264068712,10.7676648177
35,SN06br,0.024573,0.025523,0.909,0.029,16.0347510819,0.187810725345,0.938,0.0912633551871,11.0035945152
36,SN06ef,0.01787,0.017027,0.837,0.02,15.1547640783,0.187500866302,-0.018,0.0848763806957,10.5033985187
37,SN06ej,0.020437,0.019337,0.829,0.018,15.4354056042,0.156481975641,0.028,0.0652150289427,11.0141052544
38,SN06eq,0.049467,0.048367,0.621,0.025,17.3996375783,0.1638621905,0.274,0.0796303962065,10.3305763375
39,SN06et,0.022157,0.021647,1.093,0.008,15.607561715,0.0304139842462,0.161,0.00781024967591,11.0039539833
40,SN06ev,0.028713,0.0276,0.845,0.019,16.2592746293,0.149946068536,0.211,0.0658027355054,11.0378904153
41,SN06fw,0.082943,0.081987,0.888,0.049,18.6527773178,0.147526263712,0.083,0.073,11.0552785037
42,SN06gj,0.028333,0.026967,0.656,0.007,16.5038137427,0.0481482581972,0.283,0.0120415945788,10.7287266345
43,SN06gt,0.04474,0.043643,0.562,0.011,17.0823457088,0.0673701269213,0.237,0.0156204993518,10.1769809911
44,SN06hb,0.015333,0.015337,0.673,0.018,14.800206418,0.157266301552,0.152,0.0608029604542,10.5423349807
45,SN06hx,0.045463,0.044403,0.988,0.017,17.112588217,0.0870738381074,0.149,0.0318276609257,10.4924489957
46,SN06is,0.031333,0.03142,1.327,0.026,16.4539323114,0.156066656485,-0.026,0.0680073525437,11.021223442
47,SN06kf,0.021287,0.0208,0.735,0.004,15.6744623234,0.0331090274384,0.013,0.00781024967591,10.8998944026
48,SN06lu,0.053367,0.054397,1.051,0.022,17.6310380795,0.142490274167,-0.014,0.065,10.5080444374
49,SN06mr,0.005867,0.00551,0.239,0.004,12.7520629247,0.140138415584,0.671,0.0304138126515,11.519180995
50,SN06ob,0.059197,0.058257,0.72,0.012,17.7856915747,0.0659341188639,0.094,0.022627416998,11.2537466992
51,SN06os,0.032787,0.03208,0.914,0.024,16.5366159541,0.157810207001,0.326,0.0708025423272,11.0295988205
52,SN06py,0.05786,0.056643,0.95,0.026,17.5388115228,0.0826104198054,0.108,0.0264007575649,10.129022903
