sn,br
SN2004dt,BL
SN2004ef,BL
SN2004eo,CL
SN2004ey,CN
SN2004gc,CL??
SN2004gu,na
SN2004gs,CL
SN2005A,BL
SN2005ag,BL
SN2005al,na
SN2005am,BL
SN2005be,CN
SN2005bg,SS
SN2005bl,CL
SN2005bo,CN
SN2005el,CN
SN2005eq,SS
SN2005hc,CN
SN2005hj,SS
SN2005iq,CN
SN2005ir,na
SN2005kc,CN
SN2005ke,CL
SN2005ki,CN
SN2005ku,CN
SN2005lu,na
SN2005M,SS
SN2005mc,CN
SN2005na,CN
SN2005W,BL
SN2006ax,CN
SN2006bd,CL
SN2006bh,CN
SN2006br,BL
SN2006D,CN
SN2006ef,BL
SN2006ej,BL
SN2006eq,CL
SN2006et,CN
SN2006ev,BL
SN2006fw,CN
SN2006gj,CL
SN2006gt,CL
SN2006hb,CL
SN2006hx,SS
SN2006is,CN
SN2006kf,CL
SN2006lu,na
SN2006mr,CL
SN2006ob,CN
SN2006os,CL
SN2006py,SS/CN
SN2006X,BL
SN2007A,CN
SN2007af,BL
SN2007ai,SS
SN2007al,CL
SN2007as,BL
SN2007ax,CL
SN2007ba,CL
SN2007bc,CL
SN2007bd,BL
SN2007bm,CN
SN2007ca,CN
SN2007cg,BL
SN2007hj,CL
SN2007hx,na
SN2007jd,BL
SN2007jg,BL
SN2007jh,CL
SN2007le,BL
SN2007mm,na
SN2007N,CL
SN2007nq,BL
SN2007ol,CN
SN2007on,CL
SN2007S,SS
SN2007so,na
SN2007sr,na
SN2007st,na
SN2007ux,CL
SN2008ar,CN
SN2008bc,CN
SN2008bd,na
SN2008bf,CN
SN2008bi,na
SN2008bq,CN
SN2008bt,CL
SN2008bz,CN
SN2008C,SS
SN2008cc,na
SN2008cd,na
SN2008cf,SS
SN2008ff,na
SN2008fl,BL
SN2008fp,CN
SN2008fr,CN
SN2008fu,na
SN2008fw,SS
SN2008gg,BL
SN2008gl,BL
SN2008go,BL
SN2008gp,CN
SN2008hj,BL
SN2008hu,BL
SN2008hv,CN
SN2008ia,BL
SN2008O,CL
SN2008R,CL
SN2009aa,CN
SN2009ab,CN
SN2009ad,SS
SN2009ag,BL
SN2009al,na
SN2009cz,CN
SN2009D,CN
SN2009ds,SS
SN2009F,CL
SN2009I,CN
SN2009le,CN
SN2009P,SS
SN2009Y,BL
ASAS14ad,CN/BL
ASAS14hp,SS
ASAS14hr,CN
ASAS14hu,CN
ASAS14jc,BL
ASAS14jg,SS/CN
ASAS14jz,CN
ASAS14kd,SS
ASAS14kq,CN
ASAS14lo,na
ASAS14lp,CN
ASAS14lq,na
ASAS14lt,SS
ASAS14lw,SS
ASAS14me,SS
ASAS14mf,CN
ASAS14mw,na
ASAS14my,BL
ASAS15aj,CL
ASAS15al,CN
ASAS15as,SS
ASAS15ba,BL
ASAS15be,CN
ASAS15bm,CN
ASAS15cb,CN
ASAS15cd,CN
ASAS15da,CN
ASAS15db,CN
ASAS15dd,CN
ASAS15eb,na
ASAS15fr,BL
ASAS15ga,CL
ASAS15go,CN
ASAS15gr,CN
ASAS15hf,CN
ASAS15hg,na
ASAS15hx,CN
CSP12G,CN/BL
CSP12J,CL
CSP12N,na
CSP13aad,SS
CSP13aaf,CN
CSP13aam,CN
CSP13aao,CN
CSP13aaq,CN
CSP13aay,BL
CSP13abl,na
CSP13abm,CN
CSP13N,SS
CSP13Q,CN
CSP13Z,SS
CSP14aal,SS
CSP14aaq,na
CSP14aar,BL
CSP14abn,na
CSP14acl,CN
CSP14acy,SS
CSP14adc,na
CSP14ade,SS
CSP15aae,CL
CSP15B,BL
KISS13j,CN
KISS13l,BL?
KISS13v,BL
KISS15m,CL
KISS15n,SS
LSQ11bk,CN
LSQ11ot,CN
LSQ11pn,CL?
LSQ12agq,BL
LSQ12aor,CL
LSQ12bld,CN
LSQ12blp,CN
LSQ12btn,BL
LSQ12ca,CN
LSQ12cda,BL
LSQ12cdl,CN
LSQ12fuk,na
LSQ12fvl,CL
LSQ12fxd,CN
LSQ12gdj,SS
LSQ12gef,na
LSQ12gln,CN
LSQ12gpw,SS
LSQ12gxj,CN
LSQ12gyc,CN
LSQ12gzm,SS
LSQ12hjm,na
LSQ12hno,CN
LSQ12hnr,SS
LSQ12hvj,SS
LSQ12hxx,na
LSQ12hzj,SS
LSQ12hzs,SS
LSQ13abo,na
LSQ13aiz,BL
LSQ13cwp,BL
LSQ13dby,SS/CN
