sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS14ad,0.0264,0.0274352,1.0224989119492163,0.004766230359192222,16.223378433370172,0.013871292543977528,-7.2,0.0159,0.0016,1.146e-05,CSPII,Ia,0.973,0,1,-0.034327842365506456,0.014701124944878234,0.0001,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.0864036783619533,0.009657754645761669,16.49503572008846,0.005135167609553606,-4.2,0.0295,0.0029,5.043e-06,CSPII,Ia,0.984,1,0,-0.07046663476397796,0.007398810727204866,1.6e-05,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.785236631709155,0.006304033568374523,17.076794407540596,0.010622125915513259,-6.1,0.0131,0.0013,3.941e-05,CSPII,Ia,0.985,1,0,0.052067429853842384,0.014070757459476852,0.0001,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.081973039733661,0.0074972596980795204,15.391414969564446,0.004562878188183651,-6.8,0.0612,0.0061,1.156e-05,CSPII,Ia,0.983,0,1,-0.05812988236086447,0.006884103235948342,2.5e-05,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.9101274745393709,0.007310288734753357,15.677919360840383,0.011922702898872935,-5.3,0.1346,0.0135,1.325e-05,CSPII,Ia,0.962,0,1,0.44469548206593323,0.015817726039366892,6.4e-05,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.1245166285951296,0.025547137476476932,14.851356133210247,0.048736380114548804,2.6,0.0128,0.0013,-8.079e-06,CSPII,Ia,0.961,0,1,0.09337785175103264,0.06131209702412014,0.002209,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.9768344412567868,0.007515104855580631,14.622857728498659,0.0038768849463402763,-8.5,0.0472,0.0047,3.339e-06,CSPII,Ia,0.952,0,0,-0.03327912803150035,0.005943334348908313,1.6e-05,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.1344136521807762,0.010581247733024114,16.245558406228803,0.006259920714073869,-7.0,0.0574,0.0057,4.629e-07,CSPII,Ia-91T,0.941,0,0,0.2280953085562949,0.009449824637927833,2.5e-05,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14kq,0.0335767,0.0325972,1.1892529014330073,0.00799440853723809,16.602843417607712,0.006609224321471698,-5.2,0.0155,0.0016,-1.662e-05,CSPII,Ia,0.961,1,0,-0.0177569738704193,0.009200489590878219,6.4e-05,8.78,8.91,9.11,N/A,-1.0,-1.0,none
ASAS14lo,0.0199167,0.0210151,0.9429326914829473,0.018884252051846552,15.957424500680544,0.05116870832261203,2.3,0.0282,0.0028,-6.944e-06,CSPII,Ia,0.979,0,1,0.12083675245889935,0.06395464970213544,0.002401,9.47,9.69,9.79,N/A,-1.0,-1.0,none
