sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS14ad,0.0264,0.0274352,1.0224989119492163,0.004766230359192222,16.19492557617277,0.004118355612559507,-7.5,0.0159,0.0016,6.925e-06,CSPII,Ia,0.973,0,1,-0.034327842365506456,0.014701124944878234,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.0864036783619533,0.009657754645761669,16.487023214174013,0.004513900535803524,-4.5,0.0295,0.0029,8.368e-06,CSPII,Ia,0.984,1,0,-0.07046663476397796,0.007398810727204866,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.785236631709155,0.006304033568374523,17.04598292175457,0.009484379410829118,-6.3,0.0131,0.0013,3.025e-05,CSPII,Ia,0.985,1,0,0.052067429853842384,0.014070757459476852,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.081973039733661,0.0074972596980795204,15.383532741381178,0.004472560285933055,-7.1,0.0612,0.0061,1.185e-05,CSPII,Ia,0.983,0,1,-0.05812988236086447,0.006884103235948342,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.9101274745393709,0.007310288734753357,15.532602077899265,0.01431972239045641,-5.5,0.1346,0.0135,1.03e-05,CSPII,Ia,0.962,0,1,0.44469548206593323,0.015817726039366892,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.1245166285951296,0.025547137476476932,14.776324173374077,0.02769691028395719,2.9,0.0128,0.0013,-1.133e-05,CSPII,Ia,0.961,0,1,0.09337785175103264,0.06131209702412014,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.9768344412567868,0.007515104855580631,14.608724191076384,0.0038687366776941805,-8.8,0.0472,0.0047,3.156e-06,CSPII,Ia,0.952,0,0,-0.03327912803150035,0.005943334348908313,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.1344136521807762,0.010581247733024114,16.1176549974891,0.006077949903091747,-7.1,0.0574,0.0057,3.223e-06,CSPII,Ia-91T,0.941,0,0,0.2280953085562949,0.009449824637927833,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14kq,0.0335767,0.0325972,1.1892529014330073,0.00799440853723809,16.569184199395057,0.006830514815170234,-5.4,0.0155,0.0016,3.903e-07,CSPII,Ia,0.961,1,0,-0.0177569738704193,0.009200489590878219,0.0,8.78,8.91,9.11,N/A,-1.0,-1.0,none
ASAS14lo,0.0199167,0.0210151,0.9429326914829473,0.018884252051846552,15.89728619352587,0.02887944021554895,2.0,0.0282,0.0028,-6.66e-06,CSPII,Ia,0.979,0,1,0.12083675245889935,0.06395464970213544,0.0,9.47,9.69,9.79,N/A,-1.0,-1.0,none
