sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M,ml,m,mu,host,dist,edist,caltype
ASAS14ad,0.0264,0.0274352,1.0224989119492163,0.004766230359192222,17.027046225433075,0.006140183422364989,-3.8,0.0159,0.0016,-5.074e-07,CSPII,Ia,0.973,0,1,-0.034327842365506456,0.014701124944878234,0.0,8.23,8.61,8.78,N/A,-1.0,-1.0,none
ASAS14hp,0.0388933,0.0386676,1.0864036783619533,0.009657754645761669,17.40584067817665,0.009132865000716485,-1.0,0.0295,0.0029,3.893e-06,CSPII,Ia,0.984,1,0,-0.07046663476397796,0.007398810727204866,0.0,8.98,9.09,9.15,N/A,-1.0,-1.0,none
ASAS14hr,0.0335967,0.0327196,0.785236631709155,0.006304033568374523,17.513090493006473,0.012741994575520587,-3.6,0.0131,0.0013,2.932e-05,CSPII,Ia,0.985,1,0,0.052067429853842384,0.014070757459476852,0.0,10.18,10.34,10.45,N/A,-1.0,-1.0,none
ASAS14hu,0.0215851,0.0218919,1.081973039733661,0.0074972596980795204,16.290687346423756,0.008287668568042295,-3.4,0.0612,0.0061,1.563e-07,CSPII,Ia,0.983,0,1,-0.05812988236086447,0.006884103235948342,0.0,9.8,9.93,10.24,N/A,-1.0,-1.0,none
ASAS14jc,0.0113167,0.0117796,0.9101274745393709,0.007310288734753357,15.442074717156864,0.014468135284254653,-2.2,0.1346,0.0135,1.311e-06,CSPII,Ia,0.962,0,1,0.44469548206593323,0.015817726039366892,0.0,9.32,9.46,9.77,N/A,-1.0,-1.0,none
ASAS14jg,0.0148167,0.014347,1.1245166285951296,0.025547137476476932,15.448675853030842,0.06269520746277636,6.5,0.0128,0.0013,-5.763e-06,CSPII,Ia,0.961,0,1,0.09337785175103264,0.06131209702412014,0.0,8.57,8.76,8.88,N/A,-1.0,-1.0,none
ASAS14jz,0.0157891,0.0156168,0.9768344412567868,0.007515104855580631,15.352018610128354,0.00677677230903922,-5.1,0.0472,0.0047,2.891e-06,CSPII,Ia,0.952,0,0,-0.03327912803150035,0.005943334348908313,0.0,8.11,8.23,8.35,N/A,-1.0,-1.0,none
ASAS14kd,0.0243,0.0230683,1.1344136521807762,0.010581247733024114,16.472120829554058,0.010120596316485125,-4.1,0.0574,0.0057,1.757e-05,CSPII,Ia-91T,0.941,0,0,0.2280953085562949,0.009449824637927833,0.0,10.03,10.14,10.23,N/A,-1.0,-1.0,none
ASAS14kq,0.0335767,0.0325972,1.1892529014330073,0.00799440853723809,17.334317957017934,0.01068482803629734,-2.3,0.0155,0.0016,5.881e-05,CSPII,Ia,0.961,1,0,-0.0177569738704193,0.009200489590878219,0.0,8.78,8.91,9.11,N/A,-1.0,-1.0,none
ASAS14lo,0.0199167,0.0210151,0.9429326914829473,0.018884252051846552,16.442856053466098,0.05963142774268745,5.5,0.0282,0.0028,-8.334e-06,CSPII,Ia,0.979,0,1,0.12083675245889935,0.06395464970213544,0.0,9.47,9.69,9.79,N/A,-1.0,-1.0,none
ASAS14lp,0.0050967,0.0062254,1.0827805148491885,0.00527472609343439,12.39551642349459,0.006719396103571582,-10.4,0.0213,0.0021,1.228e-06,CSPII,Ia,0.335,0,1,0.24305746982761356,0.006433278714805022,0.0,10.6,10.74,10.91,N/A,-1.0,-1.0,none
ASAS14lq,0.0261733,0.0250833,0.9806057553781313,0.026311754889613733,16.827008071423055,0.07011302158757773,9.1,0.0275,0.0028,-7.389e-05,CSPII,Ia,0.977,0,1,0.030621082599800786,0.07679189486415891,0.0,10.46,10.65,10.73,N/A,-1.0,-1.0,none
ASAS14lt,0.0320233,0.0314552,0.9341177496266908,0.01059711392671531,17.056819745799334,0.018370390920755385,-1.3,0.0474,0.0047,-5.389e-06,CSPII,Ia,0.984,1,0,-0.0018527624492996608,0.021100553236683337,0.0,10.56,10.64,10.7,N/A,-1.0,-1.0,none
ASAS14lw,0.0208855,0.0202609,1.1396973993975852,0.011883532394927046,16.431379618983335,0.015146389217685111,-6.3,0.0117,0.0012,2.511e-05,CSPII,Ia,0.939,0,1,-0.02413366399232153,0.01288199007669448,0.0,6.08,6.35,6.72,N/A,-1.0,-1.0,none
ASAS14me,0.0178,0.017386,1.0868017897595597,0.007096876128846791,15.816278020918977,0.009280735103109795,-8.1,0.0175,0.0018,2.609e-06,CSPII,Ia,0.981,0,1,-0.015483211926694551,0.007993423785163115,0.0,8.91,9.05,9.15,N/A,-1.0,-1.0,none
ASAS14mf,0.03108,0.0301521,0.9756878313962298,0.00824053722878542,17.135422279907754,0.013208755002619348,-1.2,0.0125,0.0013,-9.142e-06,CSPII,Ia,0.984,1,0,-0.013058636081584751,0.014319014217492636,0.0,8.66,8.93,9.03,N/A,-1.0,-1.0,none
