samp cal     filt      Ho       eHo    sHo   p2.5   p25    p50    p75    p97.5 n_eff     Rhat
All ceph     B         73.54    0.02   1.77  70.13  72.35  73.53  74.72  77.13 8649.0    1.0
All ceph     H         74.54    0.02   1.65  71.35  73.43  74.53  75.64  77.84 6031.0    1.0
All ceph     J         75.31    0.03   1.90  71.69  74.02  75.30  76.57  79.13 5694.0    1.0
All ceph     Y         73.12    0.02   2.22  68.88  71.59  73.07  74.60  77.63 9522.0    1.0
All ceph     g         75.99    0.03   2.98  70.35  73.97  75.92  77.99  81.98  10227    1.0
All ceph     i         73.46    0.02   1.45  70.69  72.49  73.45  74.41  76.37 9202.0    1.0
All ceph     r         72.65    0.02   1.63  69.48  71.56  72.64  73.73  75.88 9458.0    1.0
All ceph     u         74.44    0.03   2.96  68.75  72.42  74.40  76.39  80.47 8625.0    1.0
All sbf      B         70.67    0.02   1.79  67.19  69.47  70.64  71.86  74.24 9150.0    1.0
All sbf      H         68.63    0.03   2.34  64.17  67.06  68.59  70.15  73.35 6294.0    1.0
All sbf      J         69.46    0.03   2.61  64.45  67.67  69.41  71.20  74.70 7781.0    1.0
All sbf      Y         66.18    0.05   3.97  58.59  63.48  66.06  68.83  74.19 6174.0    1.0
All sbf      g         69.46    0.05   3.63  62.66  66.97  69.35  71.84  76.88 5304.0    1.0
All sbf      i         71.63    0.02   1.78  68.23  70.41  71.60  72.81  75.21 9437.0    1.0
All sbf      r         70.80    0.02   1.84  67.27  69.53  70.77  72.03  74.48 9107.0    1.0
All sbf      u         66.97    0.03   3.10  61.03  64.87  66.89  69.02  73.30 8617.0    1.0
All sbfj21   B         76.83    0.02   1.93  73.14  75.49  76.82  78.11  80.69  10245    1.0
All sbfj21   H         78.38    0.03   2.62  73.38  76.62  78.30  80.07  83.66 7711.0    1.0
All sbfj21   J         78.11    0.03   2.81  72.73  76.20  78.09  79.93  83.86  10189    1.0
All sbfj21   Y         75.62    0.04   2.85  70.13  73.69  75.57  77.48  81.29 5746.0    1.0
All sbfj21   g         77.00    0.03   3.12  71.05  74.89  76.93  79.05  83.35 9173.0    1.0
All sbfj21   i         76.90    0.02   1.55  73.97  75.84  76.87  77.94  80.03 8108.0    1.0
All sbfj21   r         75.96    0.02   1.76  72.56  74.75  75.93  77.16  79.47  12378    1.0
All sbfj21   u         74.64    0.03   3.31  68.37  72.37  74.58  76.82  81.35 9201.0    1.0
All trgb     B         70.10    0.02   1.64  66.96  69.00  70.07  71.18  73.34 8258.0    1.0
All trgb     H         70.99    0.02   1.47  68.15  70.00  70.98  71.96  73.95 5747.0    1.0
All trgb     J         72.00    0.02   1.78  68.62  70.78  71.97  73.18  75.60 5596.0    1.0
All trgb     Y         69.58    0.03   2.27  65.20  68.06  69.52  71.05  74.19 7516.0    1.0
All trgb     g         69.80    0.03   2.61  64.82  68.03  69.75  71.54  75.02 9671.0    1.0
All trgb     i         69.57    0.02   1.28  67.15  68.69  69.55  70.41  72.15 7032.0    1.0
All trgb     r         69.46    0.02   1.50  66.59  68.43  69.44  70.45  72.46 9220.0    1.0
All trgb     u         69.98    0.03   2.65  64.93  68.16  69.95  71.77  75.21 7358.0    1.0
