samp cal filt        Ho       eHo    sHo   p2.5   p25    p50     p75    p97.5  n_eff   Rhat
All ceph      B           73.53    0.02   1.74  70.21  72.36  73.51  74.70  77.02 6333.0    1.0
All ceph      H           75.05    0.02   1.69  71.75  73.90  75.04  76.18  78.43 5940.0    1.0
All ceph      J           73.81    0.02   1.87  70.28  72.52  73.77  75.07  77.56 7534.0    1.0
All ceph      Y           74.02    0.02   2.18  69.82  72.54  73.98  75.46  78.40  10230    1.0
All ceph      g           75.76    0.03   2.95  70.07  73.78  75.71  77.70  81.80  10613    1.0
All ceph      i           72.79    0.02   1.42  70.07  71.82  72.77  73.76  75.61 6464.0    1.0
All ceph      r           72.84    0.02   1.62  69.71  71.74  72.82  73.92  76.10 9416.0    1.0
All ceph      u           73.84    0.03   3.01  68.09  71.78  73.75  75.82  79.94  10232    1.0
All sbf       B           70.94    0.02   1.80  67.52  69.72  70.90  72.14  74.57 7818.0    1.0
All sbf       H           68.82    0.03   2.37  64.29  67.21  68.80  70.38  73.62 4960.0    1.0
All sbf       J           68.54    0.03   2.54  63.69  66.82  68.48  70.19  73.69 7238.0    1.0
All sbf       Y           69.17    0.04   4.02  61.54  66.40  69.07  71.81  77.36 8530.0    1.0
All sbf       g           68.91    0.05   3.50  62.30  66.52  68.85  71.22  75.97 5716.0    1.0
All sbf       i           70.77    0.02   1.68  67.52  69.63  70.74  71.87  74.12 7382.0    1.0
All sbf       r           70.71    0.02   1.82  67.23  69.47  70.66  71.92  74.42 7272.0    1.0
All sbf       u           65.87    0.03   2.97  60.18  63.86  65.79  67.80  71.94 8620.0    1.0
All sbfj21    B           76.84    0.02   1.93  73.12  75.54  76.81  78.10  80.71  11916    1.0
All sbfj21    H           78.98    0.03   2.66  73.85  77.16  78.94  80.76  84.35 7524.0    1.0
All sbfj21    J           77.22    0.03   2.75  72.00  75.31  77.16  79.03  82.72  10058    1.0
All sbfj21    Y           78.17    0.05   2.95  72.55  76.17  78.14  80.13  84.12 4281.0    1.0
All sbfj21    g           76.97    0.04   3.17  70.92  74.82  76.90  79.05  83.32 8109.0    1.0
All sbfj21    i           76.44    0.02   1.48  73.63  75.44  76.41  77.43  79.41 9098.0    1.0
