sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.102759311917346,0.16105485635155886,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.250624595293921,0.15576182693936347,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.1231236043792805,0.16216317287625676,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.13020318142392995,0.1724343447955684,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.06651248059543491,0.22544451750639072,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.19130908637364996,0.21931659642595425,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.26393404017665034,0.1894538214798961,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.05374261778089817,0.17063858862985354,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2689091917555757,0.15919522805293534,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.044760480600402275,0.19726206027657922,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.489361836226351,0.4241240722794937,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.03623140715996698,0.20762444935879548,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.1458217678003919,0.164035218116672,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.18448787276309275,0.1698463137090242,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.06409349282336763,0.1828007450158387,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.08591834406550447,0.1596505909871535,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.15541788725196426,0.16631505772686972,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.241875366339805,0.1739192126548042,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.1618367428570977,0.22658123805375718,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.14020264298765994,0.18188185513142713,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.19420406064549667,0.1591192602669103,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.007918527326026492,0.1639586507915345,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.07438030941995777,0.16863753228812856,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.3033954283649152,0.17354806512148296,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.2683874065147549,0.2185669047915762,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,-0.03288584419790652,0.1586127558741321,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.2916589023710401,0.19388249712191347,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.11172055156068694,0.2318266773890426,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.033112864749128335,0.16863246423444944,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.2546759665684917,0.19144629621358805,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.2894162322779934,0.188123111006063,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.518733289026855,0.3573838729303509,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.06214664763066935,0.17997316515013212,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.012027623891185613,0.16491724430012267,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.6232409990422738,0.3507277133808687,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.0924233652711095,0.1875726202758805,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.5596878509964469,0.26911491402851645,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,0.10695581395264497,0.1920025324498344,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP12J,-0.4813471036029213,0.31073148456429184,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP12N,-0.14364909549972538,0.14720867239026353,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13N,-0.32140803606264257,0.18261515676756224,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13Q,-0.02488833859981554,0.6156516598830067,0.0887656,0.768,-0.046,10.25,10.06,10.74,CSPII,none
CSP13V,-0.10169119781805591,0.23840740739182759,0.0611394,1.069,-0.075,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.12488148467795668,0.15273057489224484,0.0800694,1.215,-0.026,8.35,8.25,8.85,CSPII,none
CSP13aad,0.032304550671106824,0.19263303198562165,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13aaf,0.009167283680348248,0.15621448522018916,0.0787193,1.131,-0.056,10.66,10.53,11.04,CSPII,none
CSP13aam,-0.07805863612144037,0.15193287862113108,0.0750921,1.138,-0.15,9.05,8.65,9.23,CSPII,none
CSP13aao,-0.4926921234733115,0.21628707838566685,0.0616022,0.7,0.123,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.18244253916808617,0.15794601873358616,0.0597706,0.984,-0.057,11.5,11.5,11.5,CSPII,none
CSP13aay,0.3815945051670937,0.15855640327872034,0.0587551,1.142,0.037,11.5,11.5,11.5,CSPII,none
CSP13abl,0.7424734155698332,0.19856678673096145,0.0406288,0.812,1.061,8.91,8.9,9.04,CSPII,none
CSP13abm,0.35568777180235145,0.16872933922346373,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none
CSP13abs,0.06474949414785414,0.1502012458377257,0.0783462,1.22,-0.062,6.36,6.23,6.48,CSPII,none
CSP14aaq,-0.03125891049921847,0.16633490676392015,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none
CSP14aar,-0.10036979046624595,0.15496163539318214,0.0423854,0.982,-0.016,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.14248237709679756,0.16911461051535076,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14acl,0.4317177052201444,0.16787835583368166,0.0289327,0.959,-0.081,11.5,11.5,11.5,CSPII,none
CSP14acy,-0.38216986152193044,0.1906346374509857,0.0660269,1.215,0.085,8.19,7.86,8.33,CSPII,none
CSP14adc,-0.21259719563558832,0.16383294939464044,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none
CSP14ade,-0.2532152989458609,0.1564279220791997,0.0626358,1.181,0.034,10.49,10.33,10.97,CSPII,none
CSP15B,-0.11809777145085576,0.17785824451932697,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none
CSP15aae,-0.06017776222702764,0.19008217384902887,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none
KISS13j,-0.2332758922696101,0.16088077043969345,0.0776331,0.872,0.132,9.83,9.65,10.21,CSPII,none
KISS13l,-0.09274382944258974,0.22634273778875508,0.1330018,1.106,-0.033,8.69,8.32,8.85,CSPII,none
KISS13v,-0.029714376343839888,0.15921469917254077,0.0962132,0.985,0.085,11.5,11.5,11.5,CSPII,none
KISS15m,0.07860142070109788,0.17274249012553627,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none
KISS15n,-0.42437842860640274,0.16523476170458612,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none
LSQ11bk,0.08691946690287011,0.15234412352912735,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none
LSQ11ot,0.6773912483499913,0.16430573548888294,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none
LSQ11pn,-0.27699212643063476,0.16396899891215128,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none
LSQ12agq,0.19749415251260416,0.1873436878298974,0.0653581,1.152,0.084,9.3,9.29,9.43,CSPII,none
