sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.09372373505234322,0.16916015475103005,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.263589292158926,0.14486282658618588,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.2409703475142635,0.1563182945256142,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.0890967302889436,0.17691556144858114,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,0.15225521853955826,0.23930481834884615,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.07391553750864688,0.25576117991593983,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.29234628904165305,0.19627804865254111,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,0.0450705213540914,0.1657892307254286,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2167638548905657,0.15511862852022984,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.06786197053458665,0.23324288079412622,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.2918901330913677,0.38600285339884727,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.07867474397500729,0.25682326644932213,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.03926702466539922,0.15565594041369538,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.010170291898084827,0.18192820574376373,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.05867804968838897,0.18628546601960305,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.10300690720050198,0.1592471242433434,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.07587306411697625,0.15658479518936555,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.1351118072048152,0.19030649152091544,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,0.0205769082778815,0.23320126030421237,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.10990820212264651,0.21157239037651532,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.25437275751050237,0.1621897021269267,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.028782776191043524,0.1656601751112045,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,-0.009608439445059958,0.17602554456476344,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.1784744292299365,0.17274770441514176,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.16526988337977144,0.2486685067074669,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.030508594937082023,0.14840525689496076,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.3499209415060278,0.23975351339926235,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.23169649469567588,0.23876542214165147,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,0.06864397438585002,0.16294502669832261,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
