sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.3342859680336687,0.15803655359645763,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,0.028560940822416114,0.12979347734150884,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.020614580495603718,0.1432332516357343,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.16106830269237804,0.1572478970282014,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.6174649484791175,0.22441789167129408,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,-0.14710942951003148,0.21332714193550834,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.3180912560603204,0.18182049840282755,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.427245645664577,0.16559895849502015,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14lp,-1.507989900110033,0.3666933725439643,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.32194977695635885,0.20354323849174255,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.0003427916840621492,0.13725499454422943,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.12459212487943461,0.16935929304378072,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,0.08224618329294486,0.17288968061937843,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mw,0.14065916886436014,0.13934906963576987,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.07559597422348929,0.16631000948512722,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.27378805874076306,0.21671600683103664,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.1835040351039936,0.17111822726789072,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.0011074754708317869,0.14831021663119273,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.14329225679028212,0.1518098999748757,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.11892659353627266,0.15679862311160414,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.13840459624859847,0.15409016168107617,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.4953476503984291,0.21996669903404692,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.17993242791841624,0.12952939598668123,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15db,-0.04824927232299814,0.22315915936624245,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.35165219263281244,0.14772399900594357,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15fr,0.3027394163943171,0.16478096800075076,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,-0.2139692268568183,0.3638922256770961,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,-0.10194687625300247,0.16454842016156274,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,0.0135951282251483,0.14882481152380647,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.4525986311585939,0.32822389464934515,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hx,-0.46349943888012746,0.26852589916486236,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,-0.0826110699310334,0.18452458071434866,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP13N,-0.16505485194631575,0.166065185823701,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13abl,-1.2406200283138418,0.18099690921970413,0.0406288,0.812,1.061,8.91,8.9,9.04,CSPII,none
CSP14aal,0.04893590655211,0.1608737613742126,0.0785493,1.087,-0.078,11.5,11.5,11.5,CSPII,none
CSP14aar,0.04598700565006908,0.15366804032709747,0.0423854,0.982,-0.016,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.04317428498047349,0.16046253236644617,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14adc,-0.0164644115192516,0.14571418498038077,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none
CSP15aae,-0.2739425781106988,0.17669337731043003,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none
KISS15m,-0.31315078718257183,0.1531320569629224,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none
KISS15n,-0.6100191164900792,0.16012540466624103,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none
LSQ11bk,0.13251125901920346,0.13175571561262,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none
LSQ11ot,0.042816044466313485,0.13900727591501758,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none
LSQ11pn,-0.6254960303143093,0.13847702878857415,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none
LSQ12bld,-0.23991583999961819,0.15064548653249032,0.084303,0.892,0.101,10.55,10.42,10.64,CSPII,none
LSQ12btn,-0.08024847862429141,0.13090855513481178,0.0552706,0.832,0.098,10.9,10.84,10.94,CSPII,none
LSQ12fuk,0.06813967353193817,0.15895603483542275,0.0205571,1.003,-0.009,8.34,8.2,8.45,CSPII,none
LSQ12fvl,-0.00947730832477589,0.13645020685613785,0.055977,0.61,0.251,10.74,10.55,10.93,CSPII,none
LSQ12fxd,-0.1387903201548113,0.13541745074301845,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none
LSQ12gdj,-0.16021859830225793,0.14389564567605262,0.0292813,1.167,-0.035,8.66,8.36,8.76,CSPII,none
LSQ12hno,-0.17209597519835995,0.13010136478073708,0.0468084,0.989,0.046,7.7,7.64,7.9,CSPII,none
LSQ12hvj,-0.3809437913105498,0.13417582805902645,0.0723911,1.206,0.08,9.05,8.79,9.22,CSPII,none
LSQ12hxx,-0.11548794568681586,0.15343643221995842,0.0689135,1.204,0.077,10.45,10.28,10.58,CSPII,none
LSQ12hzj,0.16426588774955775,0.1380522881153163,0.0345752,0.97,-0.07,9.35,9.32,9.73,CSPII,none
LSQ12hzs,-0.15253405350659932,0.1380787347457709,0.0718169,1.145,0.1,10.02,9.88,10.42,CSPII,none
LSQ13cwp,-0.045372477035748204,0.15792166564562127,0.0662474,0.94,0.086,10.54,10.39,10.7,CSPII,none
LSQ13dpm,-0.01731917380183745,0.1325861832630369,0.0520617,1.055,-0.013,9.17,9.06,9.6,CSPII,none
