sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.09278853546900478,0.20359805771310904,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.25073733174225765,0.18702660158675288,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.11895038793092283,0.19581985157801476,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.12607443387229011,0.22262888436638809,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.09030694904376446,0.32197653255051467,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.21522783392529732,0.31401948989611644,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.2781443926249878,0.26502140719773554,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.044134566229246275,0.217422010338753,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.27554033530722677,0.19717901635796,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.05463173304875113,0.27312792488499166,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4906553726747056,0.5473888068502717,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.03191255960832251,0.2870069391182805,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.14296598424872542,0.19817001473359247,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.16953316431474263,0.23293855890771922,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.0663926092717233,0.2488391199664505,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.07633718761716324,0.19797762029852992,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.14453346370030573,0.20380450836426134,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.2440064547881704,0.22433143726301233,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.160947395305449,0.31715846804403386,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.12868755453931158,0.25267893528832164,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.20831179709383463,0.20401528707888422,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.02665987977438533,0.21251415550112338,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.06843745697160131,0.2240897114675286,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.30879899681326606,0.22443642538773811,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
