sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.31423373942399024,0.18987753278655933,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,0.003145392212729803,0.16655606188584846,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,-0.009549128114088035,0.17794991504351654,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.11000635708270323,0.19351036839915003,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.23466756608879535,0.27050040364316075,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.09384612488028665,0.23914638039893954,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.3568472766700026,0.22580420633686377,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.14533542327425408,0.20197590316466457,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14lp,-1.2969990487197194,0.44049053121480536,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.30268515634666926,0.20520077365934616,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.08738350029374686,0.1742552920756153,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.23805292726972738,0.2046136697438036,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,0.11379654968325781,0.2148512668436414,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mw,0.0912903402546732,0.17868157329724113,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.12378050683317099,0.19711151766246646,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.27373980435045553,0.26389126928638196,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.2759515024942871,0.17806528166581218,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.07549692686114184,0.1793556614323581,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.14658423618059402,0.18996048558089282,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.213634947926586,0.19470408360405309,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.046476288858272596,0.19389334689884044,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.3817479040081153,0.18373050734103383,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.12959257530872037,0.16811604974796715,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15db,-0.011771780932676279,0.2734688381453036,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.444164645242509,0.18649015492030852,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15fr,0.10294179578463059,0.1747430692907616,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.12712132753348726,0.41311416443112103,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.11717079013730824,0.2039370750296702,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.021085444384546292,0.1876936053558677,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.42127673854890446,0.3906806521750752,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hx,-0.45762737648981044,0.32021940179464353,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,0.11127513645927678,0.17801518475787595,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
