sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.06820171943305553,0.23451871778715982,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.14544026777819852,0.1943902125961387,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.02732889189498877,0.201780850857641,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.05504112809177286,0.2243412295029462,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.15172853907971984,0.315911953556361,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.1716883958893547,0.2796008544965394,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.26800528066092966,0.2574667938834361,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.377717716265181,0.2517722059030259,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.19847975927128658,0.20209015701054767,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lp,-1.31271590871064,0.494997996976686,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.2170489523557393,0.26584732346049333,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,0.03979151971532957,0.20326495904945016,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.32478329427881647,0.23449530892311232,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.1273226553076583,0.25409742139821323,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mw,0.008544120263749733,0.20801995279976712,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.12926993482409443,0.22877081019917606,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.20271363334138215,0.3004826222006132,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.3786180745033647,0.20994906873412536,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.05179026687020638,0.2351883147507308,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.05762776781033807,0.22812008273847273,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.11888281893566699,0.22559779853373732,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.1701770368492106,0.22421157812663803,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.16070684899903398,0.22633807757376873,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.06299750731780307,0.1965735662488869,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15db,0.22652863907639187,0.31502682840876345,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.2990319132334278,0.23226940331294907,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15fr,0.06608459179369675,0.21295963851815597,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,-0.09880740145744227,0.44275478506816257,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.13185968514639512,0.23441327133058015,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.09172395237547448,0.22640567141996445,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.08474059055798477,0.44313811431391953,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.04866766678681245,0.2247886673972007,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.47913598948073854,0.3625847653989846,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,-0.12932038853165295,0.2213455804546568,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP13N,-0.13352567654693104,0.20435489641403343,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13V,0.05628207369764482,0.22329989591885469,0.0611394,1.069,-0.075,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.09427072516226076,0.19428498645191605,0.0800694,1.215,-0.026,8.35,8.25,8.85,CSPII,none
CSP13aad,0.027664318186808146,0.22593217971947133,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13aaf,-0.3735086448039411,0.20900558819344986,0.0787193,1.131,-0.056,10.66,10.53,11.04,CSPII,none
CSP13aam,0.028256521394276035,0.2452130182166008,0.0750921,1.138,-0.15,9.05,8.65,9.23,CSPII,none
CSP13aao,0.0969771860424089,0.29309082713636875,0.0616022,0.7,0.123,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.2035766006837889,0.1865368831598829,0.0597706,0.984,-0.057,11.5,11.5,11.5,CSPII,none
CSP13aay,0.4772667026828117,0.18558730575824772,0.0587551,1.142,0.037,11.5,11.5,11.5,CSPII,none
CSP13abl,-0.1821168269144522,0.20266153547507373,0.0406288,0.812,1.061,8.91,8.9,9.04,CSPII,none
CSP13abs,-0.2050183963364418,0.1863666084559138,0.0783462,1.22,-0.062,6.36,6.23,6.48,CSPII,none
CSP14aar,-0.013920872950535568,0.22871005097873498,0.0423854,0.982,-0.016,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.12852839558108542,0.22293014445350803,0.0232746,1.004,-0.036,9.75,9.59,10.24,CSPII,none
CSP14acy,-0.5279391020062079,0.2339159042075745,0.0660269,1.215,0.085,8.19,7.86,8.33,CSPII,none
CSP14adc,0.1852295638801209,0.2061889464821168,0.031651,0.815,0.219,10.81,10.67,11.14,CSPII,none
CSP14ade,-0.4440760274301425,0.29734485715484,0.0626358,1.181,0.034,10.49,10.33,10.97,CSPII,none
CSP15B,-0.6554156619351446,0.2568136272692795,0.0208198,0.72,0.132,10.95,10.78,11.42,CSPII,none
CSP15aae,0.11680259728868236,0.2520303548372913,0.0169733,0.505,0.455,11.14,10.96,11.26,CSPII,none
KISS13j,-0.6410224547538874,0.3890902682623196,0.0776331,0.872,0.132,9.83,9.65,10.21,CSPII,none
KISS15m,0.3616484522168193,0.21421433494182615,0.0253844,0.429,0.62,9.78,9.67,9.94,CSPII,none
KISS15n,-0.4825057170906888,0.23009173677884903,0.0239783,1.241,0.102,8.0,7.8,8.17,CSPII,none
LSQ11bk,0.1264244984185936,0.19348407763399747,0.0400251,1.071,-0.079,6.53,6.5,6.59,CSPII,none
LSQ11ot,0.29090016586570755,0.20783034611537635,0.0273222,0.982,0.318,10.17,10.0,10.22,CSPII,none
LSQ11pn,-0.1786487589149246,0.20185248352454893,0.0326611,0.507,0.285,10.7,10.52,10.8,CSPII,none
LSQ12agq,-0.02392016997169577,0.2323149844659915,0.0653581,1.152,0.084,9.3,9.29,9.43,CSPII,none
LSQ12bld,0.16913264139977713,0.1853600580875169,0.084303,0.892,0.101,10.55,10.42,10.64,CSPII,none
LSQ12btn,-0.04179775722491286,0.20455753319185838,0.0552706,0.832,0.098,10.9,10.84,10.94,CSPII,none
LSQ12cdl,0.37750309605126375,0.21216257527201007,0.1090245,0.988,-0.143,8.81,8.79,8.93,CSPII,none
LSQ12fuk,-0.03965721506867936,0.23652813601271536,0.0205571,1.003,-0.009,8.34,8.2,8.45,CSPII,none
LSQ12fvl,0.003937917074615882,0.19137986435236032,0.055977,0.61,0.251,10.74,10.55,10.93,CSPII,none
LSQ12fxd,0.06095443924457555,0.20219875155004272,0.0313344,1.161,-0.008,10.28,10.16,10.4,CSPII,none
LSQ12gdj,-0.20706196690287726,0.20682405369130863,0.0292813,1.167,-0.035,8.66,8.36,8.76,CSPII,none
LSQ12hno,-0.1095524157989729,0.19024060006610347,0.0468084,0.989,0.046,7.7,7.64,7.9,CSPII,none
LSQ12hvj,0.25896477808883844,0.1866198430683824,0.0723911,1.206,0.08,9.05,8.79,9.22,CSPII,none
LSQ12hxx,0.2259683437125659,0.19202673889031444,0.0689135,1.204,0.077,10.45,10.28,10.58,CSPII,none
LSQ12hzj,0.0806083131489288,0.20064060324412136,0.0345752,0.97,-0.07,9.35,9.32,9.73,CSPII,none
LSQ12hzs,0.09121512189278747,0.18945875915561924,0.0718169,1.145,0.1,10.02,9.88,10.42,CSPII,none
LSQ13abo,0.09880740116969378,0.20076858372940637,0.0681328,0.877,0.205,10.31,10.04,10.34,CSPII,none
LSQ13cwp,0.16710374836364394,0.18838665252409378,0.0662474,0.94,0.086,10.54,10.39,10.7,CSPII,none
LSQ13dcy,0.3800207895324661,0.19092716645033858,0.0800671,1.213,0.095,9.18,9.01,9.34,CSPII,none
LSQ13dkp,0.03687675765274179,0.1908162072945929,0.0685268,0.657,0.019,10.8,10.61,10.92,CSPII,none
LSQ13dpm,-0.04868599840246901,0.19125873991997436,0.0520617,1.055,-0.013,9.17,9.06,9.6,CSPII,none
LSQ13dsm,-0.14462445570154614,0.19397788346318526,0.0419767,0.908,-0.024,9.01,8.85,9.14,CSPII,none
LSQ13lq,-0.2827211043661819,0.19869143603521836,0.0765051,1.054,-0.076,8.44,8.0,8.63,CSPII,none
LSQ13pf,-0.1614536200139156,0.24283851030861986,0.0870045,0.917,0.216,10.26,10.14,10.44,CSPII,none
LSQ13ry,0.11761342118520446,0.20399982025663246,0.031032,0.88,-0.05,9.64,9.54,9.7,CSPII,none
LSQ13vy,0.029896786269389963,0.21970707784325708,0.0421068,0.892,0.075,10.17,10.15,10.33,CSPII,none
LSQ14act,0.09426357764911586,0.19218350402409592,0.0594518,0.701,-0.002,10.17,10.07,10.61,CSPII,none
LSQ14age,0.42384309812683085,0.18843701511022373,0.0815802,1.115,-0.019,8.42,8.33,8.59,CSPII,none
LSQ14ahc,-0.024367056625997918,0.1959034944298286,0.0517592,1.252,-0.02,9.13,8.89,9.62,CSPII,none
LSQ14ahm,0.04557695433383202,0.18949890025941635,0.0509869,1.161,-0.059,8.2,8.03,8.37,CSPII,none
LSQ14auy,-0.020005458016427724,0.19018589494220509,0.0832263,1.136,-0.009,10.74,10.61,11.19,CSPII,none
LSQ14ba,0.179694207174542,0.18865072392576754,0.0787677,0.959,0.034,9.47,9.3,9.87,CSPII,none
LSQ14bjj,0.01664046204142977,0.1870669559078421,0.0819882,0.996,-0.082,8.46,8.3,8.91,CSPII,none
LSQ14fms,0.2294646395974027,0.27061690782617637,0.0773231,0.849,0.165,10.11,10.0,10.49,CSPII,none
LSQ14foj,0.059206801346363136,0.1931559809977977,0.0451705,1.015,0.047,8.44,8.33,8.7,CSPII,none
LSQ14fom,-0.023921537982097618,0.19024644346401784,0.0553279,0.947,0.021,9.54,9.4,9.72,CSPII,none
LSQ14gfb,0.02936292801899043,0.23694310717048658,0.0527873,0.605,0.526,10.3,10.11,10.64,CSPII,none
LSQ14ghv,0.3040449205653175,0.19059645433368635,0.0662566,0.949,-0.022,10.18,10.06,10.31,CSPII,none
LSQ14gov,0.019079625413233714,0.18613567328048067,0.0892443,1.141,-0.105,9.02,8.85,9.19,CSPII,none
LSQ14ip,-0.02604699333376459,0.20261120602975202,0.0624196,0.522,0.345,10.18,10.01,10.31,CSPII,none
LSQ14jp,-0.22899479258860822,0.22244325270594845,0.0464896,0.677,0.123,10.54,10.48,10.81,CSPII,none
LSQ14wp,-0.1400686699485476,0.1858138524280441,0.0706148,1.138,-0.05,7.48,7.23,7.59,CSPII,none
LSQ14xi,0.09585193688505456,0.19068915744296994,0.0519014,1.142,0.212,10.9,10.77,11.07,CSPII,none
LSQ15aja,-0.09451589709980368,0.18449599152699034,0.0699657,1.027,-0.092,7.46,7.34,7.58,CSPII,none
LSQ15alq,-0.21078434470837948,0.19572847893282244,0.0480953,0.92,-0.004,10.4,10.22,10.82,CSPII,none
LSQ15bv,0.012999838685118448,0.2300929004223195,0.0701168,0.955,-0.003,10.56,10.39,10.77,CSPII,none
PS1-14ra,-0.0047776822380924955,0.20704699663031315,0.0287982,0.778,0.052,10.65,10.35,10.72,CSPII,none
PS1-14rx,0.24485277692713225,0.196226861445524,0.0680019,0.848,-0.022,9.89,9.77,10.06,CSPII,none
PS1-14xw,-0.15379735922299886,0.22052366040213459,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none
PS15sv,-0.20027910533178073,0.20025018363119904,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none
PTF11pbp,0.11260888666234337,0.20784095879057957,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none
PTF11ppn,-0.7049463100985136,0.26749941906792163,0.0661869,0.66,0.245,11.02,10.96,11.06,CSPII,none
PTF11pra,0.18738344116110284,0.25725695871066984,0.0167242,0.442,0.935,10.68,10.57,10.75,CSPII,none
PTF11qnr,-0.05718957652623402,0.2641098358904579,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none
PTF13duj,0.2983122060451464,0.2768870188251907,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none
PTF13ebh,-0.1409722006907259,0.2921814431014844,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none
PTF13efe,0.15821878875107842,0.18366544812016813,0.0758465,1.159,-0.022,11.5,11.5,11.5,CSPII,none
PTF13ez,-0.13148958699215285,0.1943967338096132,0.0445375,0.896,0.165,9.71,9.52,9.84,CSPII,none
PTF14aje,-0.10298428193528508,0.20677805022449194,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none
PTF14gnl,-0.0333902573051148,0.19585776355221662,0.0525349,1.02,-0.06,10.06,9.86,10.5,CSPII,none
PTF14w,0.09743400675945679,0.2300181022883295,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none
PTF14yw,0.6368978404799179,0.24504167033737392,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none
PTF14yy,0.05107047410658794,0.1920077229921017,0.0440905,0.837,0.252,9.41,9.25,9.52,CSPII,none
SN1981B,0.03971759399999897,0.09701882642928433,0.0071693,0.941,0.07,10.47,10.42,10.68,,c
SN2001el,0.014734393999997764,0.06337028103232303,0.0036761,0.959,0.145,10.34,10.34,10.34,,c
SN2002fk,-0.07020536600000327,0.060898395949537325,0.0066137,0.979,-0.091,9.94,9.78,10.64,,c
SN2003du,-0.152350816000002,0.0660981250206042,0.0066521,1.004,-0.074,8.6,8.47,8.74,,c
SN2004ef,0.03479326192174881,0.22045647884292366,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none
SN2004eo,0.09706836529279173,0.26569633495914047,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none
SN2004ey,0.1706589790674542,0.27034116140543557,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none
SN2004gs,-0.1527359928320422,0.21677261333975736,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none
SN2004gu,-0.08431709714049163,0.21243064058914327,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none
SN2005A,0.012485539772775667,0.25388202361285006,0.01834,0.963,0.978,11.19,11.07,11.26,CSPI,none
SN2005M,0.1298503161497564,0.2143623659628217,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none
SN2005ag,0.35881064715160704,0.20216871268619332,0.08008,1.145,-0.036,10.9,10.84,10.95,CSPI,none
SN2005al,0.31680910039414556,0.2881485239010156,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none
SN2005am,-0.487774896823467,0.37322750781254077,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none
SN2005cf,-0.0065560540000006995,0.10124914846915209,0.007045,0.973,0.005,9.65,9.6,9.6,,c
SN2005el,0.1504298387934142,0.26697380649354485,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none
SN2005eq,0.07331487637180345,0.20641386271085294,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none
SN2005hc,0.2846430910362159,0.19054980995274182,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none
SN2005hj,-0.12325689056778089,0.19521753028593977,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none
SN2005iq,0.13321828538871472,0.19994893910473166,0.03293,0.882,-0.031,10.54,10.47,10.6,CSPI,none
SN2005kc,0.10137641673289721,0.28499144923664516,0.01389,0.933,0.234,11.06,10.6,11.5,CSPI,none
SN2005ke,0.6231974212450737,0.6645287474699088,0.0044833,0.436,0.662,10.43,10.29,10.61,CSPI,none
SN2005ki,0.034859292116614427,0.2281707892917548,0.02037,0.836,-0.019,10.8,10.62,10.86,CSPI,none
SN2005na,-0.09669154712336336,0.21939646126434417,0.0268133,0.97,-0.015,10.97,10.9,11.05,CSPI,none
SN2006D,0.010130555330675861,0.3500984084410441,0.00964,0.839,0.099,9.76,9.54,9.85,CSPI,none
SN2006X,-1.258563338342892,0.4884161457372807,0.00632,0.97,1.213,9.33,9.06,9.43,CSPI,none
SN2006ax,0.013158140879845348,0.2403843397771394,0.0179567,1.003,-0.073,10.92,10.79,11.04,CSPI,none
SN2006bd,0.26177308951282185,0.21431975074357443,0.0267967,0.395,0.733,10.77,10.6,10.8,CSPI,none
SN2006bh,0.14896032221823674,0.3266621337162158,0.0104933,0.827,-0.01,10.43,10.31,10.49,CSPI,none
