sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.10125011974442089,0.21020825742920607,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.2474355074668395,0.19263055636186963,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.1240133322063528,0.20216986647276486,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.12783663059686035,0.2305057157919218,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.09006324176834823,0.33647333093060566,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.21476313720072682,0.34268403063918307,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.26574606434956394,0.2762566876621185,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.054539738953820915,0.22574668094427167,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2777414395826483,0.20490667966273746,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.05326592977333888,0.29117278092371757,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.5013463483992773,0.575051550992271,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.03803603133289357,0.3128823317785375,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.14602103997331284,0.20554135841056684,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.1892849315901799,0.24259427560083793,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.0636251899962943,0.2589303843867237,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.08363236689258002,0.20452419960580634,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.152107679424887,0.21072608250521288,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.24416934251272693,0.23180726888977551,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.16400399203001115,0.33160208287904464,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.13769666681473325,0.27308729122265146,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.19602197281842137,0.21040917393321798,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,-0.012402551498965408,0.22024564374297503,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.07816316024702274,0.23270387740773085,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.3113837645378439,0.23311290154380682,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.2709781236876694,0.34998345748310844,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,-0.03338554037082986,0.1948212364778835,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.29867280619812675,0.28086648219936705,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.10549547938775561,0.3446538094643072,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.03166916092205696,0.21863971670451704,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.26423321739558503,0.26906369108329214,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.29465860810508104,0.2707569166836959,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.5477903398539254,0.5062722292656596,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.05293625045774775,0.24756584294392853,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.011790440064110896,0.21791948525561475,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.6201384628693489,0.5021929860231241,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.09216034409818263,0.264140314686385,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.5613583321693767,0.40816686583964257,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,0.10818875677971818,0.30226446878497093,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP12J,-0.45541728477584087,0.42695529791254067,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP12N,-0.1402325126726467,0.17614626762149938,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13N,-0.31374766023556333,0.2712555926923099,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13Q,-0.01627881577272916,0.7994524209558368,0.0887656,0.768,-0.046,10.25,10.06,10.74,CSPII,none
CSP13V,-0.09559961399099137,0.38955026223804934,0.0611394,1.069,-0.075,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.11034650885088126,0.18942789780062227,0.0800694,1.215,-0.026,8.35,8.25,8.85,CSPII,none
CSP13aad,0.042645598498182835,0.3008566894808761,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13aaf,0.018113067507428582,0.18469457808673145,0.0787193,1.131,-0.056,10.66,10.53,11.04,CSPII,none
