sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.12487755363504505,0.17675163738939476,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.11751619357620768,0.13938254616228193,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,-0.02270591390300325,0.15035557199664057,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.02949775629377882,0.16950694869288835,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.24656480687772842,0.263446608891046,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.12313002409135976,0.2293982410803659,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.22332250245893448,0.20583366170571957,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.07400686406319323,0.20932082362247545,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.21032711347327648,0.14828749214789022,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.14116845711730974,0.18742827208760157,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.3845846345086485,0.4311479297398025,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.0988849305577375,0.205394766459338,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.03578528608265685,0.14936198240741008,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.3042385864807997,0.18249253207705363,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,0.05339638889432763,0.2010580786981769,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,-0.1056219342167779,0.1909841982151005,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,0.028929154465743068,0.15337402206544368,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.07446517262209795,0.17302803623146262,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.305561405139386,0.2479098874167332,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.3377268367053645,0.15022938010232922,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.12501234107221393,0.1557132483889363,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.008559010391671507,0.1746756052388901,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.13639484713766592,0.17148747173079523,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.13862115464719693,0.17088044453181236,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.4645209647970461,0.17373714008005844,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.06758650951978495,0.1402821112049473,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15db,0.09021543327838799,0.2593733279671009,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
