sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.14295499730075534,0.17698736036119703,0.0274352,1.01,-0.010999999999999233,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.06257655791051064,0.13895696469072386,0.0386676,1.074,-0.04899999999999949,9.09,8.98,9.15,CSPII,none
ASAS14hr,-0.02907330223730753,0.14989493286339597,0.0327196,0.802,0.06099999999999994,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.0030542000405233694,0.16797626741626662,0.0218919,1.052,-0.04499999999999993,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.2218965592120128,0.2632033874510874,0.0117796,0.915,0.43700000000000117,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.10339367975705471,0.231452927164211,0.014347,1.285,0.049000000000001265,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.20599453479323415,0.20615097301649424,0.0156168,0.989,-0.04100000000000037,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.09206206439748854,0.21090822603815607,0.0230683,1.169,0.2339999999999982,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.21388306513897248,0.14766840890894462,0.0325972,1.147,-0.020999999999997243,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.11409970078300802,0.1863610107375778,0.0210151,0.952,0.12700000000000067,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4180466188429435,0.4332528436518435,0.0062254,1.029,0.24300000000000033,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.09112685822344702,0.2071146650082888,0.0250833,0.999,0.019999999999999574,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.06145237041696561,0.14880710811647488,0.0314552,0.944,-0.0329999999999977,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.4136740141465083,0.17895666368618546,0.0202609,1.25,-0.012000000000000455,6.35,6.08,6.72,CSPII,none
ASAS14me,0.047734160560040095,0.20093040712995192,0.017386,1.078,0.006999999999999673,9.05,8.91,9.15,CSPII,none
ASAS14mf,-0.0996570985510914,0.19041604474207646,0.0301521,0.984,-0.012000000000000455,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.002679333868542244,0.1529190345022982,0.0271207,1.063,-0.03399999999999892,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.09896339695639966,0.16902696285050228,0.0217279,0.923,0.014999999999998792,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.3683431574736815,0.2480652925363792,0.0120218,0.831,0.10299999999999976,11.2,11.05,11.35,CSPII,none
ASAS15al,0.3265506123710722,0.15233612959809778,0.0337612,1.077,0.054999999999999716,8.07,8.03,8.23,CSPII,none
ASAS15as,0.12971957673791223,0.15497289341890266,0.0297845,1.076,0.028999999999999915,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.05423847405737092,0.1737484152606025,0.0239771,0.967,0.008000000000000895,7.99,7.83,8.19,CSPII,none
ASAS15be,0.18224343480336103,0.17014454344591692,0.0213892,1.134,0.019000000000000128,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.13959947498150882,0.1701997240461471,0.0214395,0.991,0.12700000000000067,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.43128920913133584,0.18188209231155678,0.0411361,1.086,0.10699999999999932,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.06942156518550036,0.13945910303956147,0.0353887,1.003,-0.021000000000000796,9.95,9.85,10.02,CSPII,none
ASAS15db,0.05275705694409538,0.25987327963074025,0.0113676,0.955,0.0860000000000003,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.17315683136572346,0.17507835481228692,0.0247417,0.849,-0.0070000000000014495,10.41,10.31,10.52,CSPII,none
ASAS15fr,0.06467962566139818,0.16266222997763055,0.0345082,0.905,-0.13299999999999912,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.07983793441026421,0.37976040466057326,0.0076517,0.496,0.43100000000000094,10.38,10.18,10.48,CSPII,none
ASAS15go,0.18062470501407546,0.18348279454278948,0.0192546,1.071,0.22400000000000198,10.18,10.04,10.27,CSPII,none
ASAS15gr,0.05489721749223264,0.1714078757988567,0.0247678,1.035,-0.036000000000001364,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.22292464842567483,0.38619041207855914,0.0072452,0.943,0.009000000000000341,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.04594082665450827,0.1732773512695521,0.0308678,0.82,0.06299999999999883,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.4593663376130408,0.3056690016238279,0.0092051,1.039,-0.030000000000001137,7.45,7.06,7.89,CSPII,none
CSP12G,-0.05004280866394595,0.16831285224040893,0.0379661,1.159,0.11499999999999844,8.41,8.29,8.49,CSPII,none
CSP12N,0.15208793788368524,0.1265010214261184,0.0982741,1.053,-0.11400000000000077,7.51,7.32,7.66,CSPII,none
CSP13N,-0.16667437467923918,0.14514827896481364,0.0487969,1.138,-0.003999999999997783,10.07,9.88,10.24,CSPII,none
CSP13V,0.04672134356534485,0.20563279510479981,0.0611394,1.05,-0.14199999999999946,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.08622959129454699,0.13294302969651367,0.0800694,1.19,-0.022999999999999687,8.35,8.25,8.85,CSPII,none
CSP13aad,-0.08889932394547628,0.15083184796012042,0.0865709,1.19,0.019999999999999574,9.65,9.59,9.8,CSPII,none
CSP13aaf,-0.3116656629362353,0.15424712781824132,0.0787193,1.136,-0.05600000000000094,10.66,10.53,11.04,CSPII,none
CSP13aao,-0.1143306780898925,0.21873115849683,0.0616022,0.696,0.125,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.10402627255147934,0.1314485149416288,0.0597706,0.984,-0.054999999999999716,11.5,11.5,11.5,CSPII,none
CSP13aay,0.2518283505504968,0.12883078076023022,0.0587551,1.14,0.03900000000000148,11.5,11.5,11.5,CSPII,none
CSP13abl,0.15798440895324006,0.157896968077032,0.0406288,0.817,1.0730000000000004,8.91,8.9,9.04,CSPII,none
CSP13abs,-0.05009000446874268,0.1348497876202151,0.0783462,1.208,-0.06099999999999994,6.36,6.23,6.48,CSPII,none
CSP14aar,-0.0028345370828333216,0.1754951725577933,0.0423854,0.982,-0.021000000000000796,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.10174156771338971,0.16257638245293907,0.0232746,1.007,-0.0259999999999998,9.75,9.59,10.24,CSPII,none
CSP14acy,-0.5753513361385174,0.17761964186135423,0.0660269,0.966,0.12199999999999989,8.19,7.86,8.33,CSPII,none
CSP14adc,0.026228509747816986,0.14806258392308427,0.031651,0.811,0.23200000000000287,10.81,10.67,11.14,CSPII,none
CSP14ade,-0.06794650956244652,0.14207264846309103,0.0626358,1.228,0.03500000000000014,10.49,10.33,10.97,CSPII,none
CSP15B,-0.2338055500674514,0.17387088932456052,0.0208198,0.718,0.1399999999999988,10.95,10.78,11.42,CSPII,none
