sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.11626300561550806,0.19198857532835223,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.2354455815957408,0.16939779015457193,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.19477077807744791,0.1810307267117058,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.11001984572577328,0.2137480680802488,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,0.0877823271027367,0.32862997854625686,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.14195742207181894,0.3208054327118296,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.2135047544784925,0.2643949802128287,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.04267665008272559,0.2079834310093947,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.27530824545373633,0.18095527741009168,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.010302855097755526,0.26945297947558833,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.4651092225281879,0.5768102108670532,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.0010685214618106897,0.28474834860037246,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.11647359410221014,0.18496449832555198,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.21162576046125992,0.2250496397728487,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.027287269125217506,0.24563297112575067,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.11154524776367225,0.18487503406188424,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.15104259355378957,0.19180488761787026,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.1945887686416441,0.21537813905508235,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.13239360715892445,0.32312712159799567,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.17956524068581814,0.23747384475978744,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
