sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.06860270125368828,0.1964592487260135,0.0274352,1.01,-0.010999999999999233,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.21782891795756143,0.16859634028470483,0.0386676,1.074,-0.04899999999999949,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.16325574571563095,0.17978051252889743,0.0327196,0.802,0.06099999999999994,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.0944386520875824,0.20988917323137782,0.0218919,1.052,-0.04499999999999993,9.93,9.8,10.24,CSPII,none
ASAS14jc,0.02055051974092237,0.3194980600197735,0.0117796,0.915,0.43700000000000117,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.26907875871000186,0.3237181610933345,0.014347,1.285,0.049000000000001265,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.19932879984029483,0.25796029190054215,0.0156168,0.989,-0.04100000000000037,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.044041489444545334,0.2044141885997555,0.0230683,1.169,0.2339999999999982,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.2725835680919104,0.18057537912312485,0.0325972,1.147,-0.020999999999997243,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.01786515126405419,0.27055180519619837,0.0210151,0.952,0.12700000000000067,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.473508963890005,0.5584350024551699,0.0062254,1.029,0.24300000000000033,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.013802726823620048,0.29335830844118904,0.0250833,0.999,0.019999999999999574,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.12131047046403864,0.1832662693444571,0.0314552,0.944,-0.0329999999999977,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.4398261180994396,0.22013251592672695,0.0202609,1.25,-0.012000000000000455,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.009865111487030731,0.2398351356406659,0.017386,1.078,0.006999999999999673,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.10461112140186657,0.18201130864280107,0.0301521,0.984,-0.012000000000000455,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.1364908709156154,0.18890704801462826,0.0271207,1.063,-0.03399999999999892,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.20742737400346556,0.21106642410674792,0.0217279,0.923,0.014999999999998792,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.16136458252074704,0.3143531811376897,0.0120218,0.831,0.10299999999999976,11.2,11.05,11.35,CSPII,none
ASAS15al,0.1752066353240096,0.24772625939259463,0.0337612,1.077,0.054999999999999716,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.15711348330915342,0.1865718023228067,0.0297845,1.076,0.028999999999999915,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.040135257010305736,0.19926115375575684,0.0239771,0.967,0.008000000000000895,7.99,7.83,8.19,CSPII,none
ASAS15be,0.11452835475630252,0.21214364589956214,0.0213892,1.134,0.019000000000000128,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.25395018002857483,0.21250987639176125,0.0214395,0.991,0.12700000000000067,10.02,9.89,10.15,CSPII,none
ASAS15cd,-0.030435531861556342,0.1717755063539831,0.0353887,1.003,-0.021000000000000796,9.95,9.85,10.02,CSPII,none
ASAS15da,0.33619661470739004,0.26140468576667225,0.0488203,0.853,-0.1319999999999979,10.4,10.23,10.48,CSPII,none
ASAS15db,0.1365849358970337,0.327859317321163,0.0113676,0.955,0.0860000000000003,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.018149616412792113,0.19733230695714385,0.0247417,0.849,-0.0070000000000014495,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.2570269669048528,0.2476956241951549,0.0173082,0.821,-0.12899999999999956,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.27564650461434326,0.24958313836589383,0.0345082,0.905,-0.13299999999999912,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.5553715143631948,0.4863230651799791,0.0076517,0.496,0.43100000000000094,10.38,10.18,10.48,CSPII,none
ASAS15go,0.088550559967004,0.22790915993441893,0.0192546,1.071,0.22400000000000198,10.18,10.04,10.27,CSPII,none
ASAS15gr,0.027032296445163695,0.1970572870959846,0.0247678,1.035,-0.036000000000001364,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.6513951913786258,0.4857992935691184,0.0072452,0.943,0.009000000000000341,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.09743183060745508,0.24399183718137407,0.0308678,0.82,0.06299999999999883,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.49724320266009414,0.39180086667948655,0.0092051,1.039,-0.030000000000001137,7.45,7.06,7.89,CSPII,none
CSP12J,-0.4336511502665772,0.4320413856733994,0.0149235,0.484,0.5549999999999997,10.09,9.97,10.2,CSPII,none
CSP12N,-0.08658435916337481,0.15126915109452851,0.0982741,1.053,-0.11400000000000077,7.51,7.32,7.66,CSPII,none
CSP13aad,0.06470638000745765,0.25856235748370254,0.0865709,1.19,0.019999999999999574,9.65,9.59,9.8,CSPII,none
CSP13abm,0.34004117213871154,0.1900816669888758,0.027529,1.129,-0.006000000000000227,11.5,11.5,11.5,CSPII,none
CSP14aaq,0.009330918837129332,0.1828493599254339,0.0361755,0.898,-0.08999999999999986,11.08,11.01,11.48,CSPII,none
CSP14abn,-0.11899622476045124,0.20208229897939836,0.0232746,1.007,-0.0259999999999998,9.75,9.59,10.24,CSPII,none
CSP14acl,0.4104432105564726,0.18762249031252473,0.0289327,0.96,-0.07099999999999795,11.5,11.5,11.5,CSPII,none
CSP14adc,-0.18666815529925174,0.18058774533896677,0.031651,0.811,0.23200000000000287,10.81,10.67,11.14,CSPII,none
