sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.1805952088438687,0.18716982698542,0.0274352,1.01,-0.010999999999999233,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.14734103436739332,0.16805695222527056,0.0386676,1.074,-0.04899999999999949,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.08688735730578401,0.1765728736888417,0.0327196,0.802,0.06099999999999994,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.008571040497422189,0.20392160311734683,0.0218919,1.052,-0.04499999999999993,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.04830797266891551,0.30019908860707567,0.0117796,0.915,0.43700000000000117,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.1749742663001541,0.27653649379212825,0.014347,1.285,0.049000000000001265,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.23895439625012926,0.24614645750009337,0.0156168,0.989,-0.04100000000000037,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.15963864585437904,0.19925300921241895,0.0230683,1.169,0.2339999999999982,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.18653945968208063,0.17685070408305703,0.0325972,1.147,-0.020999999999997243,8.91,8.78,9.11,CSPII,none
ASAS14lo,0.05673206032610523,0.22716084828426492,0.0210151,0.952,0.12700000000000067,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.481323840299833,0.5156865363966356,0.0062254,1.029,0.24300000000000033,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.09656155676654521,0.22562054614333382,0.0250833,0.999,0.019999999999999574,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.13707242687387122,0.17879273856514954,0.0314552,0.944,-0.0329999999999977,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.4356160256896189,0.21225756624716796,0.0202609,1.25,-0.012000000000000455,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.02049661989686058,0.23038140696214623,0.017386,1.078,0.006999999999999673,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.054611284992020614,0.17986400355053406,0.0301521,0.984,-0.012000000000000455,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.07819261932544919,0.18616823049249728,0.0271207,1.063,-0.03399999999999892,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.2642671624132831,0.20482088934511147,0.0217279,0.923,0.014999999999998792,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.343466738930573,0.2957136209193847,0.0120218,0.831,0.10299999999999976,11.2,11.05,11.35,CSPII,none
ASAS15al,0.20843684691417508,0.19843058116896722,0.0337612,1.077,0.054999999999999716,8.07,8.03,8.23,CSPII,none
ASAS15as,0.015567200281012106,0.18123400069027645,0.0297845,1.076,0.028999999999999915,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.05948062860048253,0.19545526652307282,0.0239771,0.967,0.008000000000000895,7.99,7.83,8.19,CSPII,none
ASAS15be,0.16314871834646993,0.20617084045784903,0.0213892,1.134,0.019000000000000128,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.21132081643839484,0.20618173506035536,0.0214395,0.991,0.12700000000000067,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.1587426455882408,0.2164809112668017,0.0411361,1.086,0.10699999999999932,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.0750787597286049,0.17156906361996907,0.0353887,1.003,-0.021000000000000796,9.95,9.85,10.02,CSPII,none
ASAS15da,0.26736750629756045,0.1962241693681728,0.0488203,0.853,-0.1319999999999979,10.4,10.23,10.48,CSPII,none
ASAS15db,0.06595624348720719,0.3081671826018144,0.0113676,0.955,0.0860000000000003,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.056817532822620365,0.19318711870063335,0.0247417,0.849,-0.0070000000000014495,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.13132329049501834,0.23319405281503183,0.0173082,0.821,-0.12899999999999956,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.28306481220450763,0.19951740466634657,0.0345082,0.905,-0.13299999999999912,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.304180437953363,0.46496655866014613,0.0076517,0.496,0.43100000000000094,10.38,10.18,10.48,CSPII,none
ASAS15go,0.14758988355718117,0.2181760425373293,0.0192546,1.071,0.22400000000000198,10.18,10.04,10.27,CSPII,none
ASAS15gr,-0.006427195964668897,0.19304479399382052,0.0247678,1.035,-0.036000000000001364,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.5915377229687948,0.4497544570418582,0.0072452,0.943,0.009000000000000341,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.05522913819762465,0.20099471432150995,0.0308678,0.82,0.06299999999999883,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.4358773990699305,0.3652885913862706,0.0092051,1.039,-0.030000000000001137,7.45,7.06,7.89,CSPII,none
CSP12G,0.0496642498791644,0.2049098936419836,0.0379661,1.159,0.11499999999999844,8.41,8.29,8.49,CSPII,none
CSP12J,-0.4014799866763994,0.3009550358995016,0.0149235,0.484,0.5549999999999997,10.09,9.97,10.2,CSPII,none
CSP12N,0.055687732426797254,0.15199171021370997,0.0982741,1.053,-0.11400000000000077,7.51,7.32,7.66,CSPII,none
CSP13N,-0.2536586351361265,0.19087314646756537,0.0487969,1.138,-0.003999999999997783,10.07,9.88,10.24,CSPII,none
CSP13Q,-0.028632901673297795,0.31510715527680677,0.0887656,0.76,-0.046999999999997044,10.25,10.06,10.74,CSPII,none
CSP13V,0.11173335510845561,0.24926719030617298,0.0611394,1.05,-0.14199999999999946,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.14656137975144645,0.15538967570766443,0.0800694,1.19,-0.022999999999999687,8.35,8.25,8.85,CSPII,none
CSP13aad,-0.08445011240237932,0.19186164589396895,0.0865709,1.19,0.019999999999999574,9.65,9.59,9.8,CSPII,none
CSP13aaf,-0.013014399393128429,0.1545940204778584,0.0787193,1.136,-0.05600000000000094,10.66,10.53,11.04,CSPII,none
CSP13aam,0.24621742480508146,0.15629294591926737,0.0750921,1.136,-0.15500000000000114,9.05,8.65,9.23,CSPII,none
CSP13aao,-0.3921093745467914,0.21184159696708427,0.0616022,0.696,0.125,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.16051365609459367,0.15738636732307099,0.0597706,0.984,-0.054999999999999716,11.5,11.5,11.5,CSPII,none
CSP13aay,0.2999150620936035,0.15797397727212434,0.0587551,1.14,0.03900000000000148,11.5,11.5,11.5,CSPII,none
CSP13abl,0.3422903634963532,0.19495246951713893,0.0406288,0.817,1.0730000000000004,8.91,8.9,9.04,CSPII,none
CSP13abm,0.37608209572887574,0.18583909041619812,0.027529,1.129,-0.006000000000000227,11.5,11.5,11.5,CSPII,none
CSP13abs,-0.08219412492562128,0.1561464670960429,0.0783462,1.208,-0.06099999999999994,6.36,6.23,6.48,CSPII,none
CSP14aaq,-0.07100126957269737,0.17542097780197094,0.0361755,0.898,-0.08999999999999986,11.08,11.01,11.48,CSPII,none
CSP14aar,-0.008418437539724266,0.16704875009762887,0.0423854,0.982,-0.021000000000000796,9.07,8.9,9.42,CSPII,none
CSP14abn,-0.0906118931702764,0.19793036290216479,0.0232746,1.007,-0.0259999999999998,9.75,9.59,10.24,CSPII,none
CSP14acl,0.5748497181466519,0.18331580317125012,0.0289327,0.96,-0.07099999999999795,11.5,11.5,11.5,CSPII,none
CSP14acy,-0.6865066525954049,0.15722067827955527,0.0660269,0.966,0.12199999999999989,8.19,7.86,8.33,CSPII,none
CSP14adc,-0.08935315170907643,0.17782159164829173,0.031651,0.811,0.23200000000000287,10.81,10.67,11.14,CSPII,none
CSP14ade,-0.13016799001934487,0.15798365574743475,0.0626358,1.228,0.03500000000000014,10.49,10.33,10.97,CSPII,none
CSP15B,-0.11645205052434449,0.20914393922356966,0.0208198,0.718,0.1399999999999988,10.95,10.78,11.42,CSPII,none
CSP15aae,-0.017495182300507395,0.234011165966709,0.0169733,0.505,0.4540000000000006,11.14,10.96,11.26,CSPII,none
KISS13j,-0.0479008003430863,0.15968926682658963,0.0776331,0.895,0.1319999999999979,9.83,9.65,10.21,CSPII,none
KISS13l,-0.06698470551608438,0.2599276709667886,0.1330018,1.087,-0.038000000000000256,8.69,8.32,8.85,CSPII,none
KISS13v,-0.19338626741732412,0.1546723171506744,0.0962132,0.984,0.0940000000000012,11.5,11.5,11.5,CSPII,none
KISS15m,0.10968788862761869,0.197257087954245,0.0253844,0.425,0.6219999999999999,9.78,9.67,9.94,CSPII,none
KISS15n,-0.4479032406798993,0.19670433217297345,0.0239783,1.225,0.09700000000000131,8.0,7.8,8.17,CSPII,none
