sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.11392320033799308,0.05403224473833464,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.12654562687326631,0.0385632809323247,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.020659612799924787,0.04096419438667165,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,0.0453008799967094,0.04908405144251307,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.09623485117478481,0.09531811026117687,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.17322564779429683,0.07551556180962209,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.2068033037560042,0.06478801600505438,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.39098494836024855,0.06328702781609291,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.21430892017621517,0.04098400192639714,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lp,-1.328106467805707,0.22899705128087694,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,0.1893247292606688,0.06975947017004525,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,0.01265324062026707,0.04189787111420319,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.4402655221837435,0.05365616064170883,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.10260415940273049,0.06352373070627182,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mw,-0.030326598831322826,0.04359942231694175,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.1394381019191684,0.04951094406409602,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.23833848143645042,0.08645145940433349,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.4437739074083069,0.04405209933653351,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,0.1307919077751336,0.054716781383749614,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.017590209094606735,0.051778381619944885,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.1831936708405948,0.04986339388403764,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.16433212394426988,0.049818135654034625,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.17597929309410887,0.04967582282753531,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,0.05880250022273259,0.03934946951732139,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15db,0.2280537599813286,0.09535758523086613,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
