sn,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal
ASAS14ad,0.11931646778501204,0.044155098615394586,0.0274352,1.013,-0.03,8.61,8.23,8.78,CSPII,none
ASAS14hp,-0.23693067942624424,0.03706020121787523,0.0386676,1.077,-0.055,9.09,8.98,9.15,CSPII,none
ASAS14hr,0.12425240024695228,0.04084301068937427,0.0327196,0.803,0.053,10.34,10.18,10.45,CSPII,none
ASAS14hu,-0.12670549455626912,0.053178818738472966,0.0218919,1.05,-0.052,9.93,9.8,10.24,CSPII,none
ASAS14jc,-0.07440669772776687,0.11384684292826375,0.0117796,0.914,0.426,9.46,9.32,9.77,CSPII,none
ASAS14jg,0.22256427324131778,0.11694870858258324,0.014347,1.3,0.068,8.76,8.57,8.88,CSPII,none
ASAS14jz,-0.24282862830898466,0.0767122935480609,0.0156168,0.985,-0.045,8.23,8.11,8.35,CSPII,none
ASAS14kd,-0.05578295491322649,0.05107316474729651,0.0230683,1.174,0.221,10.14,10.03,10.23,CSPII,none
ASAS14kq,0.28823082762324503,0.04187005464259321,0.0325972,1.157,-0.038,8.91,8.78,9.11,CSPII,none
ASAS14lo,-0.04510279373274528,0.08418078584294918,0.0210151,0.95,0.116,9.69,9.47,9.79,CSPII,none
ASAS14lp,-1.5053831203586796,0.33341297022034716,0.0062254,1.027,0.237,10.74,10.6,10.91,CSPII,none
ASAS14lq,-0.04369619529230562,0.09662924862252634,0.0250833,1.005,0.013,10.65,10.46,10.73,CSPII,none
ASAS14lt,-0.15131997193271474,0.04225178751908927,0.0314552,0.947,-0.034,10.64,10.56,10.7,CSPII,none
ASAS14lw,0.23092059563077072,0.05889055532887795,0.0202609,1.156,-0.01,6.35,6.08,6.72,CSPII,none
ASAS14me,-0.051882421955696145,0.06734395564799119,0.017386,1.078,0.001,9.05,8.91,9.15,CSPII,none
ASAS14mf,0.09852065493316786,0.0418357975705093,0.0301521,0.982,-0.022,8.93,8.66,9.03,CSPII,none
ASAS14mw,-0.16014693138429692,0.04448309154781532,0.0271207,1.063,-0.042,10.68,10.59,10.75,CSPII,none
ASAS14my,-0.24464473847213242,0.05364627108079069,0.0217279,0.921,0.007,10.31,10.11,10.74,CSPII,none
ASAS15aj,-0.1734676559894197,0.11059538163925324,0.0120218,0.83,0.095,11.2,11.05,11.35,CSPII,none
ASAS15al,0.16176127085532244,0.07340703284880391,0.0337612,1.079,0.043,8.07,8.03,8.23,CSPII,none
ASAS15as,-0.16733514477782307,0.0440743626779268,0.0297845,1.077,0.018,7.66,7.47,8.01,CSPII,none
ASAS15ba,0.014332884541623514,0.048623033519354875,0.0239771,0.965,0.0,7.99,7.83,8.19,CSPII,none
ASAS15be,0.10318509628762484,0.054250491262337726,0.0213892,1.14,0.008,7.8,7.66,8.16,CSPII,none
ASAS15bm,-0.3077169204972492,0.0544938925478884,0.0214395,0.989,0.119,10.02,9.89,10.15,CSPII,none
ASAS15cb,-0.27284767564707124,0.11883764861488136,0.0411361,1.088,0.102,10.28,10.17,10.4,CSPII,none
ASAS15cd,-0.031174456330241185,0.03798743516813732,0.0353887,1.001,-0.03,9.95,9.85,10.02,CSPII,none
ASAS15da,0.29558749023870945,0.07770583170287433,0.0488203,0.851,-0.133,10.4,10.23,10.48,CSPII,none
ASAS15db,0.10804774742835832,0.1195887857794877,0.0113676,0.953,0.078,10.11,9.98,10.19,CSPII,none
ASAS15dd,-0.03324567688146374,0.047912146765010946,0.0247417,0.849,-0.017,10.41,10.31,10.52,CSPII,none
ASAS15eb,0.25441355343618,0.07220755857220869,0.0173082,0.82,-0.136,10.96,10.79,11.4,CSPII,none
ASAS15fr,0.2961304441456747,0.07245338892458637,0.0345082,0.905,-0.147,9.98,9.89,10.06,CSPII,none
ASAS15ga,0.5471734758945246,0.2574210193107364,0.0076517,0.5,0.421,10.38,10.18,10.48,CSPII,none
ASAS15go,0.0542558184983335,0.06142135186006051,0.0192546,1.072,0.214,10.18,10.04,10.27,CSPII,none
ASAS15gr,0.0017267239764890974,0.04760611707448284,0.0247678,1.031,-0.046,8.94,8.82,9.02,CSPII,none
ASAS15hf,0.6284281069099364,0.25404010132514776,0.0072452,0.939,0.004,9.56,9.39,9.97,CSPII,none
ASAS15hg,0.09139872813877048,0.06910371080802805,0.0308678,0.824,0.048,10.42,10.3,10.51,CSPII,none
ASAS15hx,-0.5298713081287829,0.16761394467013732,0.0092051,1.034,-0.035,7.45,7.06,7.89,CSPII,none
CSP12G,0.12670176482031792,0.0896416228723522,0.0379661,1.158,0.109,8.41,8.29,8.49,CSPII,none
CSP12J,-0.4512354607352478,0.18091498067298625,0.0149235,0.484,0.555,10.09,9.97,10.2,CSPII,none
CSP12N,-0.11115926463205028,0.03086705868079098,0.0982741,1.062,-0.11,7.51,7.32,7.66,CSPII,none
CSP13N,-0.31645182419496365,0.0722631983685113,0.0487969,1.145,-0.015,10.07,9.88,10.24,CSPII,none
CSP13Q,-0.016496527732144273,0.6027401900416196,0.0887656,0.768,-0.046,10.25,10.06,10.74,CSPII,none
CSP13V,-0.1140900499503914,0.14754451100112267,0.0611394,1.069,-0.075,11.5,11.5,11.5,CSPII,none
CSP13Z,-0.09513507281030087,0.0353548724085031,0.0800694,1.215,-0.026,8.35,8.25,8.85,CSPII,none
CSP13aad,0.04388978653877729,0.08823542668061395,0.0865709,1.193,0.029,9.65,9.59,9.8,CSPII,none
CSP13aaf,0.008207831548020295,0.033672102367148606,0.0787193,1.131,-0.056,10.66,10.53,11.04,CSPII,none
CSP13aam,-0.057597605253768336,0.03381153064331473,0.0750921,1.138,-0.15,9.05,8.65,9.23,CSPII,none
CSP13aao,-0.4798319366056347,0.10083073786618846,0.0616022,0.7,0.123,9.93,9.8,10.09,CSPII,none
CSP13aaq,0.16799818203574546,0.03271507043005824,0.0597706,0.984,-0.057,11.5,11.5,11.5,CSPII,none
CSP13aay,0.36880965603477023,0.033993856601465616,0.0587551,1.142,0.037,11.5,11.5,11.5,CSPII,none
CSP13abl,0.723409746437504,0.08313570016702193,0.0406288,0.812,1.061,8.91,8.9,9.04,CSPII,none
CSP13abm,0.3447025586700292,0.045118124529202025,0.027529,1.14,-0.018,11.5,11.5,11.5,CSPII,none
CSP13abs,0.11811308101551532,0.0371645229466372,0.0783462,1.22,-0.062,6.36,6.23,6.48,CSPII,none
CSP14aaq,-0.03881469863154052,0.0428628776325346,0.0361755,0.905,-0.085,11.08,11.01,11.48,CSPII,none
